"동부","계","80~84",171984,4273,3653,9912,8337,17430,30368,31118,15969,24017,26907
"동부","계","85세 이상",110886,2214,1864,5720,4932,9420,18596,20000,10636,15567,21937
"동부","남자","합계",2630040,163476,170835,325791,252667,360821,501364,373347,156863,188220,136656
"동부","남자","20세 미만",27897,7810,11147,5807,1871,1262,-,-,-,-,-
"동부","남자","20~24",186078,27843,38037,46548,30315,29772,13563,-,-,-,-
"동부","남자","25~29",377922,36620,39074,72668,54691,71778,80914,22177,-,-,-
"동부","남자","30~34",341893,22950,21782,47987,38078,58454,85463,57475,9704,-,-
"동부","남자","35~39",270189,14661,12682,31180,25675,39147,61803,47877,24590,12574,-
"동부","남자","40~44",223989,10228,9593,22141,18839,28570,44114,39693,19215,27636,3960
"동부","남자","45~49",239658,9932,9662,22187,18588,28194,42219,39028,19945,29497,20406
"동부","남자","50~54",231506,9212,8705,21237,17083,26418,40940,37975,16702,25727,27507
"동부","남자","55~59",217066,7761,6872,17975,15078,23671,39595,36435,18338,24528,26813
"동부","남자","60~64",194122,6738,5477,15144,12641,19427,34072,34670,18234,24528,23191
"동부","남자","65~69",127458,3674,3123,8748,7848,12740,21780,23048,12630,18602,15265
"동부","남자","70~74",83427,2321,1858,5630,4829,8498,14962,15457,7952,12076,9844
"동부","남자","75~79",54562,1707,1260,3764,3525,6121,10523,9970,4978,6948,5766
"동부","남자","80~84",33732,1216,921,2801,2109,4130,6888,6065,2944,4091,2567
"동부","남자","85세 이상",20541,803,642,1974,1497,2639,4528,3477,1631,2013,1337
"동부","여자","합계",2671072,147183,157538,304143,240099,365257,500030,375972,175196,228761,176893
"동부","여자","20세 미만",33569,8908,12822,8075,2424,1340,-,-,-,-,-
"동부","여자","20~24",248837,31117,42611,58559,42070,53063,21417,-,-,-,-
"동부","여자","25~29",315132,28153,30005,54508,44520,61670,80121,16155,-,-,-
"동부","여자","30~34",204497,13571,13346,29206,22491,33533,51397,36206,4747,-,-
"동부","여자","35~39",159234,8329,8259,18511,15377,23463,35183,27767,16161,6184,-
"동부","여자","40~44",135448,5762,5535,13513,11204,18509,27714,24519,11823,15289,1580
"동부","여자","45~49",150873,6778,6244,15484,12611,18636,27690,25413,13911,16145,7961
"동부","여자","50~54",161804,7961,6569,17825,13695,20147,28246,25662,13675,17115,10909
"동부","여자","55~59",196760,8819,7211,19639,16147,23865,35656,31861,17772,22815,12975
"동부","여자","60~64",245899,8041,6987,20881,17813,29008,46335,41645,20752,35905,18532
"동부","여자","65~69",214612,5955,5868,14795,12798,23462,40924,37641,19010,30529,23630
"동부","여자","70~74",194691,5021,4215,12375,10398,19957,35325,35690,18516,26304,26890
"동부","여자","75~79",181119,4300,3912,9915,8888,18523,32474,31837,16799,24995,29476
"동부","여자","80~84",138252,3057,2732,7111,6228,13300,23480,25053,13025,19926,24340
"동부","여자","85세 이상",90345,1411,1222,3746,3435,6781,14068,16523,9005,13554,20600
"읍부","계","합계",621763,36109,36100,69257,55598,84904,114530,88040,39715,55708,41802
