"행정구역별","성별","연령별","경제활동상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"읍부","여자","55~59","합계","2020년","24955","6197","20","6174","548","8172","3690","154",
"읍부","여자","55~59","주로 일하였음","2020년","16334","5344","","3643","86","4880","2323","58",
"읍부","여자","55~59","틈틈이 일하였음","2020년","719","207","","182","23","215","81","11",
"읍부","여자","55~59","일시 휴직","2020년","345","89","","107","5","112","26","6",
"읍부","여자","55~59","일하지 않았음","2020년","7557","557","20","2242","434","2965","1260","79",
"읍부","여자","60~64","합계","2020년","29394","4261","","6559","704","9651","8096","123",
"읍부","여자","60~64","주로 일하였음","2020년","15046","3496","","2938","109","4581","3893","29",
"읍부","여자","60~64","틈틈이 일하였음","2020년","641","71","","193","22","241","114","",
"읍부","여자","60~64","일시 휴직","2020년","303","59","","66","9","97","72","",
"읍부","여자","60~64","일하지 않았음","2020년","13404","635","","3362","564","4732","4017","94",
"읍부","여자","65~69","합계","2020년","26798","1975","","4538","610","8432","11131","112",
"읍부","여자","65~69","주로 일하였음","2020년","10234","1454","","1480","73","3059","4145","23",
"읍부","여자","65~69","틈틈이 일하였음","2020년","601","79","","133","","210","168","11",
"읍부","여자","65~69","일시 휴직","2020년","232","11","","59","","66","96","",
"읍부","여자","65~69","일하지 않았음","2020년","15731","431","","2866","537","5097","6722","78",
"읍부","여자","70~74","합계","2020년","26221","953","","3094","706","7868","13490","110",
"읍부","여자","70~74","주로 일하였음","2020년","7405","666","","725","81","2129","3804","",
"읍부","여자","70~74","틈틈이 일하였음","2020년","647","26","","46","7","231","334","3",
"읍부","여자","70~74","일시 휴직","2020년","181","7","","24","10","77","63","",
"읍부","여자","70~74","일하지 않았음","2020년","17988","254","","2299","608","5431","9289","107",
"읍부","여자","75~79","합계","2020년","29585","583","","1820","594","8811","17740","37",
"읍부","여자","75~79","주로 일하였음","2020년","6153","252","","335","24","1876","3659","7",
"읍부","여자","75~79","틈틈이 일하였음","2020년","602","7","","65","","195","335","",
"읍부","여자","75~79","일시 휴직","2020년","141","1","","11","","72","57","",
"읍부","여자","75~79","일하지 않았음","2020년","22689","323","","1409","570","6668","13689","30",
"읍부","여자","80~84","합계","2020년","25914","78","","","650","8834","16306","46",
"읍부","여자","80~84","주로 일하였음","2020년","3447","40","","","58","1265","2083","1",
"읍부","여자","80~84","틈틈이 일하였음","2020년","367","","","","3","161","203","",
"읍부","여자","80~84","일시 휴직","2020년","67","","","","","36","31","",
"읍부","여자","80~84","일하지 않았음","2020년","22033","38","","","589","7372","13989","45",
"읍부","여자","85세 이상","합계","2020년","18587","","","","579","6190","11804","14",
"읍부","여자","85세 이상","주로 일하였음","2020년","964","","","","8","351","605","",
"읍부","여자","85세 이상","틈틈이 일하였음","2020년","106","","","","","58","48","",
"읍부","여자","85세 이상","일시 휴직","2020년","11","","","","","8","3","",
"읍부","여자","85세 이상","일하지 않았음","2020년","17506","","","","571","5773","11148","14",
"면부","계","합계","합계","2020년","720455","182321","17027","107962","21498","158490","229212","3945",
"면부","계","합계","주로 일하였음","2020년","358324","163022","126","60349","3618","63803","65653","1753",
"면부","계","합계","틈틈이 일하였음","2020년","17542","4546","3069","2742","325","3129","3643","88",
"면부","계","합계","일시 휴직","2020년","7463","2537","65","2157","292","1520","829","63",
"면부","계","합계","일하지 않았음","2020년","337126","12216","13767","42714","17263","90038","159087","2041",
"면부","계","15~19","합계","2020년","4804","794","3897","","","84","29","",
"면부","계","15~19","주로 일하였음","2020년","613","490","111","","","12","","",
"면부","계","15~19","틈틈이 일하였음","2020년","633","88","511","","","23","11","",
"면부","계","15~19","일시 휴직","2020년","5","4","1","","","","","",
"면부","계","15~19","일하지 않았음","2020년","3553","212","3274","","","49","18","",
"면부","계","20~24","합계","2020년","24263","8944","11550","2288","","1191","269","21",
"면부","계","20~24","주로 일하였음","2020년","8332","6889","3","1061","","282","92","5",
"면부","계","20~24","틈틈이 일하였음","2020년","3769","1105","2250","179","","157","78","",
"면부","계","20~24","일시 휴직","2020년","145","63","42","36","","3","1","",
"면부","계","20~24","일하지 않았음","2020년","12017","887","9255","1012","","749","98","16",
"면부","계","25~29","합계","2020년","28508","20622","1390","4613","","1241","554","88",
"면부","계","25~29","주로 일하였음","2020년","22908","18601","","3152","","728","350","77",
"면부","계","25~29","틈틈이 일하였음","2020년","1591","935","267","248","","97","44","",
"면부","계","25~29","일시 휴직","2020년","378","197","11","122","","38","8","2",
"면부","계","25~29","일하지 않았음","2020년","3631","889","1112","1091","","378","152","9",
"면부","계","30~34","합계","2020년","25239","17976","128","5098","144","1243","550","100",
"면부","계","30~34","주로 일하였음","2020년","21843","16608","5","3969","37","762","405","57",
"면부","계","30~34","틈틈이 일하였음","2020년","702","410","38","173","7","43","31","",
"면부","계","30~34","일시 휴직","2020년","444","207","6","184","3","26","3","15",
"면부","계","30~34","일하지 않았음","2020년","2250","751","79","772","97","412","111","28",
"면부","계","35~39","합계","2020년","24637","15496","27","6166","278","1667","830","173",
"면부","계","35~39","주로 일하였음","2020년","20970","14387","","4731","40","1170","543","99",
"면부","계","35~39","틈틈이 일하였음","2020년","434","219","3","106","12","65","27","2",
"면부","계","35~39","일시 휴직","2020년","492","207","5","178","16","56","27","3",
"면부","계","35~39","일하지 않았음","2020년","2741","683","19","1151","210","376","233","69",
"면부","계","40~44","합계","2020년","26951","15949","15","6539","522","2480","1199","247",
"면부","계","40~44","주로 일하였음","2020년","22405","14719","","4881","185","1722","756","142",
"면부","계","40~44","틈틈이 일하였음","2020년","455","199","","138","15","62","37","4",
"면부","계","40~44","일시 휴직","2020년","608","318","","185","12","63","27","3",
"면부","계","40~44","일하지 않았음","2020년","3483","713","15","1335","310","633","379","98",
"면부","계","45~49","합계","2020년","37051","19010","17","9693","923","4802","2298","308",
"면부","계","45~49","주로 일하였음","2020년","29373","17497","6","6709","196","3337","1488","140",
"면부","계","45~49","틈틈이 일하였음","2020년","754","258","","237","20","142","82","15",
"면부","계","45~49","일시 휴직","2020년","823","357","","318","26","64","50","8",
"면부","계","45~49","일하지 않았음","2020년","6101","898","11","2429","681","1259","678","145",
"면부","계","50~54","합계","2020년","51269","22575","1","12226","1816","9933","4166","552",
"면부","계","50~54","주로 일하였음","2020년","39128","20669","1","8017","441","7017","2742","241",
"면부","계","50~54","틈틈이 일하였음","2020년","1083","371","","373","41","194","84","20",
"면부","계","50~54","일시 휴직","2020년","877","317","","270","39","176","72","3",
"면부","계","50~54","일하지 않았음","2020년","10181","1218","","3566","1295","2546","1268","288",
"면부","계","55~59","합계","2020년","69914","24630","2","16596","3166","16359","8367","794",
"면부","계","55~59","주로 일하였음","2020년","49027","22334","","9759","651","10728","5146","409",
"면부","계","55~59","틈틈이 일하였음","2020년","1304","321","","395","67","371","129","21",
"면부","계","55~59","일시 휴직","2020년","1173","358","","362","56","280","99","18",
"면부","계","55~59","일하지 않았음","2020년","18410","1617","2","6080","2392","4980","2993","346",
"면부","계","60~64","합계","2020년","81943","19891","","18562","4082","21978","16781","649",
"면부","계","60~64","주로 일하였음","2020년","49194","17375","","9295","704","12327","9173","320",
"면부","계","60~64","틈틈이 일하였음","2020년","1633","332","","438","48","483","316","16",
"면부","계","60~64","일시 휴직","2020년","1177","335","","308","84","284","161","5",
"면부","계","60~64","일하지 않았음","2020년","29939","1849","","8521","3246","8884","7131","308",
"면부","계","65~69","합계","2020년","70655","9804","","13634","3498","19650","23588","481",
"면부","계","65~69","주로 일하였음","2020년","33990","8316","","5274","653","8878","10721","148",
"면부","계","65~69","틈틈이 일하였음","2020년","1402","195","","262","39","403","497","6",
"면부","계","65~69","일시 휴직","2020년","613","138","","122","42","184","124","3",
"면부","계","65~69","일하지 않았음","2020년","34650","1155","","7976","2764","10185","12246","324",
"면부","계","70~74","합계","2020년","65692","4533","","8178","2559","18035","32162","225",
"면부","계","70~74","주로 일하였음","2020년","24588","3657","","2437","360","6498","11571","65",
"면부","계","70~74","틈틈이 일하였음","2020년","1266","67","","112","34","384","667","2",
"면부","계","70~74","일시 휴직","2020년","268","25","","45","10","105","81","2",
"면부","계","70~74","일하지 않았음","2020년","39570","784","","5584","2155","11048","19843","156",
"면부","계","75~79","합계","2020년","76725","1906","","4369","1824","21018","47412","196",
"면부","계","75~79","주로 일하였음","2020년","20038","1354","","1064","236","5246","12097","41",
"면부","계","75~79","틈틈이 일하였음","2020년","1460","44","","81","36","379","918","2",
"면부","계","75~79","일시 휴직","2020년","265","11","","27","3","133","90","1",
"면부","계","75~79","일하지 않았음","2020년","54962","497","","3197","1549","15260","34307","152",
"면부","계","80~84","합계","2020년","75066","191","","","1443","22528","50832","72",
"면부","계","80~84","주로 일하였음","2020년","12097","126","","","94","3876","7992","9",
"면부","계","80~84","틈틈이 일하였음","2020년","785","2","","","6","246","531","",
"면부","계","80~84","일시 휴직","2020년","150","","","","","83","67","",
"면부","계","80~84","일하지 않았음","2020년","62034","63","","","1343","18323","42242","63",
"면부","계","85세 이상","합계","2020년","57738","","","","1243","16281","40175","39",
"면부","계","85세 이상","주로 일하였음","2020년","3818","","","","21","1220","2577","",
"면부","계","85세 이상","틈틈이 일하였음","2020년","271","","","","","80","191","",
"면부","계","85세 이상","일시 휴직","2020년","45","","","","1","25","19","",
"면부","계","85세 이상","일하지 않았음","2020년","53604","","","","1221","14956","37388","39",
"면부","남자","합계","합계","2020년","345905","138262","9085","71431","13436","61942","49068","2681",
"면부","남자","합계","주로 일하였음","2020년","223310","125664","60","41613","2575","33258","18811","1329",
"면부","남자","합계","틈틈이 일하였음","2020년","7659","2862","1438","1458","174","960","711","56",
"면부","남자","합계","일시 휴직","2020년","4728","1850","36","1444","199","789","364","46",
"면부","남자","합계","일하지 않았음","2020년","110208","7886","7551","26916","10488","26935","29182","1250",
"면부","남자","15~19","합계","2020년","2816","537","2220","","","43","16","",
"면부","남자","15~19","주로 일하였음","2020년","397","330","55","","","12","","",
"면부","남자","15~19","틈틈이 일하였음","2020년","275","58","208","","","9","","",
"면부","남자","15~19","일시 휴직","2020년","5","4","1","","","","","",
"면부","남자","15~19","일하지 않았음","2020년","2139","145","1956","","","22","16","",
"면부","남자","20~24","합계","2020년","13733","5830","5696","1301","","715","174","17",
"면부","남자","20~24","주로 일하였음","2020년","5400","4539","","607","","182","67","5",
"면부","남자","20~24","틈틈이 일하였음","2020년","1967","736","1019","66","","96","50","",
"면부","남자","20~24","일시 휴직","2020년","80","25","28","26","","","1","",
"면부","남자","20~24","일하지 않았음","2020년","6286","530","4649","602","","437","56","12",
"면부","남자","25~29","합계","2020년","20280","14978","1098","2927","","762","451","64",
"면부","남자","25~29","주로 일하였음","2020년","16391","13587","","2035","","424","285","60",
"면부","남자","25~29","틈틈이 일하였음","2020년","1114","684","194","157","","45","34","",
"면부","남자","25~29","일시 휴직","2020년","257","127","7","81","","34","8","",
"면부","남자","25~29","일하지 않았음","2020년","2518","580","897","654","","259","124","4",
"면부","남자","30~34","합계","2020년","19082","14175","61","3540","93","743","390","80",
"면부","남자","30~34","주로 일하였음","2020년","16977","13262","5","2842","28","503","293","44",
"면부","남자","30~34","틈틈이 일하였음","2020년","462","280","14","119","","25","24","",
"면부","남자","30~34","일시 휴직","2020년","251","113","","103","3","14","3","15",
"면부","남자","30~34","일하지 않았음","2020년","1392","520","42","476","62","201","70","21",
"면부","남자","35~39","합계","2020년","18553","12453","4","4191","177","1026","611","91",
"면부","남자","35~39","주로 일하였음","2020년","16278","11706","","3316","30","756","408","62",
"면부","남자","35~39","틈틈이 일하였음","2020년","264","119","3","55","7","57","23","",
"면부","남자","35~39","일시 휴직","2020년","294","137","","116","3","20","15","3",
"면부","남자","35~39","일하지 않았음","2020년","1717","491","1","704","137","193","165","26",
"면부","남자","40~44","합계","2020년","20101","12717","5","4345","318","1597","965","154",
"면부","남자","40~44","주로 일하였음","2020년","17397","11880","","3400","115","1269","642","91",
"면부","남자","40~44","틈틈이 일하였음","2020년","195","88","","59","4","7","33","4",
"면부","남자","40~44","일시 휴직","2020년","392","211","","123","10","30","18","",
"면부","남자","40~44","일하지 않았음","2020년","2117","538","5","763","189","291","272","59",
"면부","남자","45~49","합계","2020년","26977","15117","1","6490","609","2820","1714","226",
"면부","남자","45~49","주로 일하였음","2020년","22210","14120","","4577","129","2161","1124","99",
"면부","남자","45~49","틈틈이 일하였음","2020년","371","141","","93","15","52","59","11",
"면부","남자","45~49","일시 휴직","2020년","590","281","","219","19","33","30","8",
"면부","남자","45~49","일하지 않았음","2020년","3806","575","1","1601","446","574","501","108",
"면부","남자","50~54","합계","2020년","35378","17256","","8308","1229","5564","2616","405",
"면부","남자","50~54","주로 일하였음","2020년","28233","16016","","5710","293","4290","1742","182",
"면부","남자","50~54","틈틈이 일하였음","2020년","492","178","","185","18","66","33","12",
"면부","남자","50~54","일시 휴직","2020년","549","239","","137","22","108","40","3",
"면부","남자","50~54","일하지 않았음","2020년","6104","823","","2276","896","1100","801","208",
"면부","남자","55~59","합계","2020년","44313","18262","","11115","2111","8685","3603","537",
"면부","남자","55~59","주로 일하였음","2020년","32813","16800","","6791","461","6264","2174","323",
"면부","남자","55~59","틈틈이 일하였음","2020년","576","159","","205","39","136","30","7",
"면부","남자","55~59","일시 휴직","2020년","844","290","","265","45","169","65","10",
"면부","남자","55~59","일하지 않았음","2020년","10080","1013","","3854","1566","2116","1334","197",
"면부","남자","60~64","합계","2020년","47052","14702","","12469","2848","11387","5191","455",
"면부","남자","60~64","주로 일하였음","2020년","29803","13048","","6350","536","6926","2682","261",
"면부","남자","60~64","틈틈이 일하였음","2020년","801","216","","283","24","181","81","16",
"면부","남자","60~64","일시 휴직","2020년","843","273","","251","61","166","90","2",
"면부","남자","60~64","일하지 않았음","2020년","15605","1165","","5585","2227","4114","2338","176",
"면부","남자","65~69","합계","2020년","34278","7439","","9220","2355","9264","5669","331",
"면부","남자","65~69","주로 일하였음","2020년","17860","6433","","3714","473","4581","2548","111",
"면부","남자","65~69","틈틈이 일하였음","2020년","492","132","","137","31","110","78","4",
"면부","남자","65~69","일시 휴직","2020년","357","125","","80","28","89","32","3",
"면부","남자","65~69","일하지 않았음","2020년","15569","749","","5289","1823","4484","3011","213",
"면부","남자","70~74","합계","2020년","23208","3432","","5163","1736","6697","6020","160",
"면부","남자","70~74","주로 일하였음","2020년","9798","2836","","1618","271","2707","2313","53",
"면부","남자","70~74","틈틈이 일하였음","2020년","272","40","","63","19","95","55","",
"면부","남자","70~74","일시 휴직","2020년","128","22","","31","5","41","27","2",
"면부","남자","70~74","일하지 않았음","2020년","13010","534","","3451","1441","3854","3625","105",
"면부","남자","75~79","합계","2020년","17127","1258","","2362","1021","4971","7398","117",
"면부","남자","75~79","주로 일하였음","2020년","5762","1013","","653","175","1649","2241","31",
"면부","남자","75~79","틈틈이 일하였음","2020년","210","31","","36","17","30","94","2",
"면부","남자","75~79","일시 휴직","2020년","81","3","","12","2","42","22","",
"면부","남자","75~79","일하지 않았음","2020년","11074","211","","1661","827","3250","5041","84",
"면부","남자","80~84","합계","2020년","13441","106","","","581","4822","7903","29",
"면부","남자","80~84","주로 일하였음","2020년","2976","94","","","52","1161","1662","7",
"면부","남자","80~84","틈틈이 일하였음","2020년","113","","","","","33","80","",
"면부","남자","80~84","일시 휴직","2020년","36","","","","","28","8","",
"면부","남자","80~84","일하지 않았음","2020년","10316","12","","","529","3600","6153","22",
"면부","남자","85세 이상","합계","2020년","9566","","","","358","2846","6347","15",
"면부","남자","85세 이상","주로 일하였음","2020년","1015","","","","12","373","630","",
"면부","남자","85세 이상","틈틈이 일하였음","2020년","55","","","","","18","37","",
"면부","남자","85세 이상","일시 휴직","2020년","21","","","","1","15","5","",
"면부","남자","85세 이상","일하지 않았음","2020년","8475","","","","345","2440","5675","15",
"면부","여자","합계","합계","2020년","374550","44059","7942","36531","8062","96548","180144","1264",
"면부","여자","합계","주로 일하였음","2020년","135014","37358","66","18736","1043","30545","46842","424",
"면부","여자","합계","틈틈이 일하였음","2020년","9883","1684","1631","1284","151","2169","2932","32",
"면부","여자","합계","일시 휴직","2020년","2735","687","29","713","93","731","465","17",
"면부","여자","합계","일하지 않았음","2020년","226918","4330","6216","15798","6775","63103","129905","791",
"면부","여자","15~19","합계","2020년","1988","257","1677","","","41","13","",
"면부","여자","15~19","주로 일하였음","2020년","216","160","56","","","","","",
"면부","여자","15~19","틈틈이 일하였음","2020년","358","30","303","","","14","11","",
"면부","여자","15~19","일하지 않았음","2020년","1414","67","1318","","","27","2","",
"면부","여자","20~24","합계","2020년","10530","3114","5854","987","","476","95","4",
"면부","여자","20~24","주로 일하였음","2020년","2932","2350","3","454","","100","25","",
"면부","여자","20~24","틈틈이 일하였음","2020년","1802","369","1231","113","","61","28","",
"면부","여자","20~24","일시 휴직","2020년","65","38","14","10","","3","","",
"면부","여자","20~24","일하지 않았음","2020년","5731","357","4606","410","","312","42","4",
"면부","여자","25~29","합계","2020년","8228","5644","292","1686","","479","103","24",
"면부","여자","25~29","주로 일하였음","2020년","6517","5014","","1117","","304","65","17",
"면부","여자","25~29","틈틈이 일하였음","2020년","477","251","73","91","","52","10","",
"면부","여자","25~29","일시 휴직","2020년","121","70","4","41","","4","","2",
"면부","여자","25~29","일하지 않았음","2020년","1113","309","215","437","","119","28","5",
"면부","여자","30~34","합계","2020년","6157","3801","67","1558","51","500","160","20",
"면부","여자","30~34","주로 일하였음","2020년","4866","3346","","1127","9","259","112","13",
"면부","여자","30~34","틈틈이 일하였음","2020년","240","130","24","54","7","18","7","",
"면부","여자","30~34","일시 휴직","2020년","193","94","6","81","","12","","",
"면부","여자","30~34","일하지 않았음","2020년","858","231","37","296","35","211","41","7",
"면부","여자","35~39","합계","2020년","6084","3043","23","1975","101","641","219","82",
"면부","여자","35~39","주로 일하였음","2020년","4692","2681","","1415","10","414","135","37",
"면부","여자","35~39","틈틈이 일하였음","2020년","170","100","","51","5","8","4","2",
"면부","여자","35~39","일시 휴직","2020년","198","70","5","62","13","36","12","",
"면부","여자","35~39","일하지 않았음","2020년","1024","192","18","447","73","183","68","43",
"면부","여자","40~44","합계","2020년","6850","3232","10","2194","204","883","234","93",
"면부","여자","40~44","주로 일하였음","2020년","5008","2839","","1481","70","453","114","51",
"면부","여자","40~44","틈틈이 일하였음","2020년","260","111","","79","11","55","4","",
"면부","여자","40~44","일시 휴직","2020년","216","107","","62","2","33","9","3",
"면부","여자","40~44","일하지 않았음","2020년","1366","175","10","572","121","342","107","39",
"면부","여자","45~49","합계","2020년","10074","3893","16","3203","314","1982","584","82",
"면부","여자","45~49","주로 일하였음","2020년","7163","3377","6","2132","67","1176","364","41",
"면부","여자","45~49","틈틈이 일하였음","2020년","383","117","","144","5","90","23","4",
"면부","여자","45~49","일시 휴직","2020년","233","76","","99","7","31","20","",
"면부","여자","45~49","일하지 않았음","2020년","2295","323","10","828","235","685","177","37",
"면부","여자","50~54","합계","2020년","15891","5319","1","3918","587","4369","1550","147",
"면부","여자","50~54","주로 일하였음","2020년","10895","4653","1","2307","148","2727","1000","59",
"면부","여자","50~54","틈틈이 일하였음","2020년","591","193","","188","23","128","51","8",
"면부","여자","50~54","일시 휴직","2020년","328","78","","133","17","68","32","",
"면부","여자","50~54","일하지 않았음","2020년","4077","395","","1290","399","1446","467","80",
"면부","여자","55~59","합계","2020년","25601","6368","2","5481","1055","7674","4764","257",
"면부","여자","55~59","주로 일하였음","2020년","16214","5534","","2968","190","4464","2972","86",
"면부","여자","55~59","틈틈이 일하였음","2020년","728","162","","190","28","235","99","14",
"면부","여자","55~59","일시 휴직","2020년","329","68","","97","11","111","34","8",
"면부","여자","55~59","일하지 않았음","2020년","8330","604","2","2226","826","2864","1659","149",
"면부","여자","60~64","합계","2020년","34891","5189","","6093","1234","10591","11590","194",
"면부","여자","60~64","주로 일하였음","2020년","19391","4327","","2945","168","5401","6491","59",
"면부","여자","60~64","틈틈이 일하였음","2020년","832","116","","155","24","302","235","",
"면부","여자","60~64","일시 휴직","2020년","334","62","","57","23","118","71","3",
"면부","여자","60~64","일하지 않았음","2020년","14334","684","","2936","1019","4770","4793","132",
"면부","여자","65~69","합계","2020년","36377","2365","","4414","1143","10386","17919","150",
"면부","여자","65~69","주로 일하였음","2020년","16130","1883","","1560","180","4297","8173","37",
"면부","여자","65~69","틈틈이 일하였음","2020년","910","63","","125","8","293","419","2",
"면부","여자","65~69","일시 휴직","2020년","256","13","","42","14","95","92","",
"면부","여자","65~69","일하지 않았음","2020년","19081","406","","2687","941","5701","9235","111",
"면부","여자","70~74","합계","2020년","42484","1101","","3015","823","11338","26142","65",
"면부","여자","70~74","주로 일하였음","2020년","14790","821","","819","89","3791","9258","12",
"면부","여자","70~74","틈틈이 일하였음","2020년","994","27","","49","15","289","612","2",
"면부","여자","70~74","일시 휴직","2020년","140","3","","14","5","64","54","",
"면부","여자","70~74","일하지 않았음","2020년","26560","250","","2133","714","7194","16218","51",
"면부","여자","75~79","합계","2020년","59598","648","","2007","803","16047","40014","79",
"면부","여자","75~79","주로 일하였음","2020년","14276","341","","411","61","3597","9856","10",
"면부","여자","75~79","틈틈이 일하였음","2020년","1250","13","","45","19","349","824","",
"면부","여자","75~79","일시 휴직","2020년","184","8","","15","1","91","68","1",
"면부","여자","75~79","일하지 않았음","2020년","43888","286","","1536","722","12010","29266","68",
"면부","여자","80~84","합계","2020년","61625","85","","","862","17706","42929","43",
"면부","여자","80~84","주로 일하였음","2020년","9121","32","","","42","2715","6330","2",
"면부","여자","80~84","틈틈이 일하였음","2020년","672","2","","","6","213","451","",
"면부","여자","80~84","일시 휴직","2020년","114","","","","","55","59","",
"면부","여자","80~84","일하지 않았음","2020년","51718","51","","","814","14723","36089","41",
"면부","여자","85세 이상","합계","2020년","48172","","","","885","13435","33828","24",
"면부","여자","85세 이상","주로 일하였음","2020년","2803","","","","9","847","1947","",
"면부","여자","85세 이상","틈틈이 일하였음","2020년","216","","","","","62","154","",
"면부","여자","85세 이상","일시 휴직","2020년","24","","","","","10","14","",
"면부","여자","85세 이상","일하지 않았음","2020년","45129","","","","876","12516","31713","24",
"서울특별시","계","합계","합계","2020년","1390673","550099","77829","407126","14891","180902","151814","8012",
"서울특별시","계","합계","주로 일하였음","2020년","799960","441772","972","242865","1643","71047","38280","3381",
"서울특별시","계","합계","틈틈이 일하였음","2020년","69049","23987","20422","15844","177","5744","2676","199",
"서울특별시","계","합계","일시 휴직","2020년","32852","14174","584","12672","234","3224","1670","294",
"서울특별시","계","합계","일하지 않았음","2020년","488812","70166","55851","135745","12837","100887","109188","4138",
"서울특별시","계","15~19","합계","2020년","14209","2260","11385","","","482","66","16",
"서울특별시","계","15~19","주로 일하였음","2020년","1502","947","482","","","44","18","11",
"서울특별시","계","15~19","틈틈이 일하였음","2020년","2490","309","2053","","","99","29","",
"서울특별시","계","15~19","일시 휴직","2020년","176","64","112","","","","","",
"서울특별시","계","15~19","일하지 않았음","2020년","10041","940","8738","","","339","19","5",
"서울특별시","계","20~24","합계","2020년","123938","47713","46626","22830","","5134","1434","201",
"서울특별시","계","20~24","주로 일하였음","2020년","40445","29167","98","9250","","1435","381","114",
"서울특별시","계","20~24","틈틈이 일하였음","2020년","24488","6727","12980","3428","","1007","341","5",
"서울특별시","계","20~24","일시 휴직","2020년","1707","856","288","449","","93","21","",
"서울특별시","계","20~24","일하지 않았음","2020년","57298","10963","33260","9703","","2599","691","82",
"서울특별시","계","25~29","합계","2020년","238517","156784","17231","53153","","7898","2775","676",
"서울특별시","계","25~29","주로 일하였음","2020년","167902","125220","227","35346","","4892","1840","377",
"서울특별시","계","25~29","틈틈이 일하였음","2020년","16314","7615","4640","3285","","519","245","10",
"서울특별시","계","25~29","일시 휴직","2020년","5297","3520","141","1388","","188","41","19",
"서울특별시","계","25~29","일하지 않았음","2020년","49004","20429","12223","13134","","2299","649","270",
"서울특별시","계","30~34","합계","2020년","183573","118293","1906","51814","408","7720","2762","670",
"서울특별시","계","30~34","주로 일하였음","2020년","147467","100120","32","39097","127","5573","2085","433",
"서울특별시","계","30~34","틈틈이 일하였음","2020년","7609","4310","595","2099","39","423","96","47",
"서울특별시","계","30~34","일시 휴직","2020년","5238","3120","18","1760","7","223","91","19",
"서울특별시","계","30~34","일하지 않았음","2020년","23259","10743","1261","8858","235","1501","490","171",
"서울특별시","계","35~39","합계","2020년","126485","68462","475","46590","504","6820","3000","634",
"서울특별시","계","35~39","주로 일하였음","2020년","101680","58936","58","35029","138","4947","2197","375",
"서울특별시","계","35~39","틈틈이 일하였음","2020년","3401","1591","129","1371","13","192","99","6",
"서울특별시","계","35~39","일시 휴직","2020년","4499","1987","22","1948","54","346","109","33",
"서울특별시","계","35~39","일하지 않았음","2020년","16905","5948","266","8242","299","1335","595","220",
"서울특별시","계","40~44","합계","2020년","91518","41742","104","38144","898","6721","3207","702",
"서울특별시","계","40~44","주로 일하였음","2020년","71067","35486","34","28232","193","4596","2169","357",
"서울특별시","계","40~44","틈틈이 일하였음","2020년","2283","912","20","1004","15","233","81","18",
"서울특별시","계","40~44","일시 휴직","2020년","3740","1486","3","1829","44","225","124","29",
"서울특별시","계","40~44","일하지 않았음","2020년","14428","3858","47","7079","646","1667","833","298",
"서울특별시","계","45~49","합계","2020년","90186","35842","62","38873","1023","9053","4551","782",
"서울특별시","계","45~49","주로 일하였음","2020년","66845","30116","21","26803","203","6428","2927","347",
"서울특별시","계","45~49","틈틈이 일하였음","2020년","2361","784","5","1131","16","231","176","18",
"서울특별시","계","45~49","일시 휴직","2020년","3191","1153","","1538","29","269","174","28",
"서울특별시","계","45~49","일하지 않았음","2020년","17789","3789","36","9401","775","2125","1274","389",
"서울특별시","계","50~54","합계","2020년","82704","26887","18","36019","1206","11675","5881","1018",
"서울특별시","계","50~54","주로 일하였음","2020년","57124","22779","12","23164","177","7421","3181","390",
"서울특별시","계","50~54","틈틈이 일하였음","2020년","2085","530","","1002","17","325","167","44",
"서울특별시","계","50~54","일시 휴직","2020년","2595","707","","1192","20","345","290","41",
"서울특별시","계","50~54","일하지 않았음","2020년","20900","2871","6","10661","992","3584","2243","543",
"서울특별시","계","55~59","합계","2020년","84976","21572","8","34060","1914","17656","8515","1251",
"서울특별시","계","55~59","주로 일하였음","2020년","51641","17837","8","18508","266","10255","4305","462",
"서울특별시","계","55~59","틈틈이 일하였음","2020년","1975","433","","749","27","629","107","30",
"서울특별시","계","55~59","일시 휴직","2020년","2371","555","","1124","47","417","154","74",
"서울특별시","계","55~59","일하지 않았음","2020년","28989","2747","","13679","1574","6355","3949","685",
"서울특별시","계","60~64","합계","2020년","94834","16725","6","34168","2181","25448","15612","694",
"서울특별시","계","60~64","주로 일하였음","2020년","46502","12687","","15232","293","11643","6389","258",
"서울특별시","계","60~64","틈틈이 일하였음","2020년","2296","406","","855","10","762","242","21",
"서울특별시","계","60~64","일시 휴직","2020년","2112","442","","770","14","561","292","33",
"서울특별시","계","60~64","일하지 않았음","2020년","43924","3190","6","17311","1864","12482","8689","382",
"서울특별시","계","65~69","합계","2020년","77047","7953","","25000","1764","21958","19707","665",
"서울특별시","계","65~69","주로 일하였음","2020년","25305","5430","","7560","117","6917","5093","188",
"서울특별시","계","65~69","틈틈이 일하였음","2020년","1677","206","","496","32","549","394","",
"서울특별시","계","65~69","일시 휴직","2020년","1048","186","","350","11","325","164","12",
"서울특별시","계","65~69","일하지 않았음","2020년","49017","2131","","16594","1604","14167","14056","465",
"서울특별시","계","70~74","합계","2020년","65469","3719","8","17501","1245","18465","24227","304",
"서울특별시","계","70~74","주로 일하였음","2020년","13563","2201","","3543","53","3660","4055","51",
