"행정구역별","성별","연령별","경제활동상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"전국","계","70~74","주로 일하였음","2020년","96022","14565","","15719","807","27725","36914","292",
"전국","계","70~74","틈틈이 일하였음","2020년","6603","394","","1169","88","2309","2609","34",
"전국","계","70~74","일시 휴직","2020년","2327","281","","569","42","765","662","8",
"전국","계","70~74","일하지 않았음","2020년","277572","5756","14","57881","9258","83927","119551","1185",
"전국","계","75~79","합계","2020년","350186","9608","","38936","8903","106822","184816","1101",
"전국","계","75~79","주로 일하였음","2020년","59881","5124","","5842","488","17806","30493","128",
"전국","계","75~79","틈틈이 일하였음","2020년","5344","224","","633","78","1719","2684","6",
"전국","계","75~79","일시 휴직","2020년","1270","94","","233","15","422","497","9",
"전국","계","75~79","일하지 않았음","2020년","283691","4166","","32228","8322","86875","151142","958",
"전국","계","80~84","합계","2020년","278847","1166","","","7194","104742","165218","527",
"전국","계","80~84","주로 일하였음","2020년","28726","461","","","270","10981","16990","24",
"전국","계","80~84","틈틈이 일하였음","2020년","2599","20","","","16","1154","1409","",
"전국","계","80~84","일시 휴직","2020년","542","","","","","311","231","",
"전국","계","80~84","일하지 않았음","2020년","246980","685","","","6908","92296","146588","503",
"전국","계","85세 이상","합계","2020년","190870","","","","7277","66148","117013","432",
"전국","계","85세 이상","주로 일하였음","2020년","8239","","","","72","3276","4877","14",
"전국","계","85세 이상","틈틈이 일하였음","2020년","821","","","","6","344","471","",
"전국","계","85세 이상","일시 휴직","2020년","180","","","","7","83","90","",
"전국","계","85세 이상","일하지 않았음","2020년","181630","","","","7192","62445","111575","418",
"전국","남자","합계","합계","2020년","3304220","1437882","175197","960142","53446","389434","265211","22908",
"전국","남자","합계","주로 일하였음","2020년","2184433","1253654","1591","607526","7375","201886","101785","10616",
"전국","남자","합계","틈틈이 일하였음","2020년","105522","36211","33009","22718","600","8393","4191","400",
"전국","남자","합계","일시 휴직","2020년","64013","26323","691","24685","856","7001","3709","748",
"전국","남자","합계","일하지 않았음","2020년","950252","121694","139906","305213","44615","172154","155526","11144",
"전국","남자","15~19","합계","2020년","33676","5802","26604","","","1092","161","17",
"전국","남자","15~19","주로 일하였음","2020년","4241","2904","1169","","","128","34","6",
"전국","남자","15~19","틈틈이 일하였음","2020년","4101","986","2900","","","194","21","",
"전국","남자","15~19","일시 휴직","2020년","150","58","92","","","","","",
"전국","남자","15~19","일하지 않았음","2020년","25184","1854","22443","","","770","106","11",
"전국","남자","20~24","합계","2020년","219029","64115","105909","35675","","10132","2735","463",
"전국","남자","20~24","주로 일하였음","2020년","62570","43950","23","15376","","2157","813","251",
"전국","남자","20~24","틈틈이 일하였음","2020년","33525","7538","20181","3781","","1498","505","22",
"전국","남자","20~24","일시 휴직","2020년","2208","829","353","792","","139","85","10",
"전국","남자","20~24","일하지 않았음","2020년","120726","11798","85352","15726","","6338","1332","180",
"전국","남자","25~29","합계","2020년","433190","271334","38218","100088","","16139","5962","1449",
"전국","남자","25~29","주로 일하였음","2020년","312258","229265","202","68481","","9448","3964","898",
"전국","남자","25~29","틈틈이 일하였음","2020년","26921","11499","8875","4887","","1097","508","55",
"전국","남자","25~29","일시 휴직","2020년","6828","3988","220","2053","","372","141","54",
"전국","남자","25~29","일하지 않았음","2020년","87183","26582","28921","24667","","5222","1349","442",
"전국","남자","30~34","합계","2020년","394473","256851","3680","108065","958","16327","6613","1979",
"전국","남자","30~34","주로 일하였음","2020년","332432","229220","59","84195","316","12270","5083","1289",
"전국","남자","30~34","틈틈이 일하였음","2020년","11639","6648","924","3002","67","684","270","44",
"전국","남자","30~34","일시 휴직","2020년","7572","4178","19","2783","16","337","158","81",
"전국","남자","30~34","일하지 않았음","2020년","42830","16805","2678","18085","559","3036","1102","565",
"전국","남자","35~39","합계","2020년","320100","182074","479","108009","1637","17596","8559","1746",
"전국","남자","35~39","주로 일하였음","2020년","272418","165174","69","85391","348","13936","6411","1089",
"전국","남자","35~39","틈틈이 일하였음","2020년","5073","2400","77","1884","30","427","241","14",
"전국","남자","35~39","일시 휴직","2020년","7947","3649","2","3268","108","497","351","72",
"전국","남자","35~39","일하지 않았음","2020년","34662","10851","331","17466","1151","2736","1556","571",
"전국","남자","40~44","합계","2020년","272897","145296","163","94727","2828","17643","10081","2159",
"전국","남자","40~44","주로 일하였음","2020년","226471","131605","23","72553","545","13727","6862","1156",
"전국","남자","40~44","틈틈이 일하였음","2020년","3704","1500","25","1623","40","294","187","35",
"전국","남자","40~44","일시 휴직","2020년","7491","3247","","3141","104","509","380","110",
"전국","남자","40~44","일하지 않았음","2020년","35231","8944","115","17410","2139","3113","2652","858",
"전국","남자","45~49","합계","2020년","299310","146858","102","104252","4058","25940","15283","2817",
"전국","남자","45~49","주로 일하였음","2020년","240410","132424","22","75729","728","19930","10145","1432",
"전국","남자","45~49","틈틈이 일하였음","2020년","4222","1557","21","1656","58","474","426","30",
"전국","남자","45~49","일시 휴직","2020년","7965","3330","5","3302","63","692","474","99",
"전국","남자","45~49","일하지 않았음","2020년","46713","9547","54","23565","3209","4844","4238","1256",
"전국","남자","50~54","합계","2020년","300477","131404","31","104065","6193","36730","18578","3476",
"전국","남자","50~54","주로 일하였음","2020년","229702","118890","19","69909","1074","27102","11336","1372",
"전국","남자","50~54","틈틈이 일하였음","2020년","3830","1165","6","1659","79","524","303","94",
"전국","남자","50~54","일시 휴직","2020년","7383","2564","","3096","159","856","596","112",
"전국","남자","50~54","일하지 않았음","2020년","59562","8785","6","29401","4881","8248","6343","1898",
"전국","남자","55~59","합계","2020년","294220","108224","","100679","8644","49610","23587","3476",
"전국","남자","55~59","주로 일하였음","2020년","204716","96776","","59132","1242","33145","13016","1405",
"전국","남자","55~59","틈틈이 일하였음","2020년","3722","1106","","1472","93","739","283","29",
"전국","남자","55~59","일시 휴직","2020년","6973","2042","","3005","183","1204","428","111",
"전국","남자","55~59","일하지 않았음","2020년","78809","8300","","37070","7126","14522","9860","1931",
"전국","남자","60~64","합계","2020년","270517","74627","5","93812","9807","59716","30412","2138",
"전국","남자","60~64","주로 일하였음","2020년","156220","63312","5","44388","1372","32124","14086","933",
"전국","남자","60~64","틈틈이 일하였음","2020년","3731","1019","","1383","82","898","305","44",
"전국","남자","60~64","일시 휴직","2020년","5406","1491","","2010","135","1191","515","64",
"전국","남자","60~64","일하지 않았음","2020년","105160","8805","","46031","8218","25503","15506","1097",
"전국","남자","65~69","합계","2020년","180497","32857","","61174","7157","46983","30776","1550",
"전국","남자","65~69","주로 일하였음","2020년","79334","26825","","21231","873","18972","10975","458",
"전국","남자","65~69","틈틈이 일하였음","2020년","2307","487","","767","96","617","318","22",
"전국","남자","65~69","일시 휴직","2020년","2479","658","","781","62","717","234","27",
"전국","남자","65~69","일하지 않았음","2020년","96377","4887","","38395","6126","26677","19249","1043",
"전국","남자","70~74","합계","2020년","119128","12991","6","34841","5076","33341","32048","825",
"전국","남자","70~74","주로 일하였음","2020년","36781","9767","","8462","461","9801","8057","233",
"전국","남자","70~74","틈틈이 일하였음","2020년","1368","180","","393","34","464","292","5",
"전국","남자","70~74","일시 휴직","2020년","1045","226","","340","17","277","177","8",
"전국","남자","70~74","일하지 않았음","2020년","79934","2818","6","25646","4564","22799","23522","579",
"전국","남자","75~79","합계","2020년","79884","4911","","14755","3306","24425","31982","505",
"전국","남자","75~79","주로 일하였음","2020년","17208","3235","","2679","275","4958","5993","68",
"전국","남자","75~79","틈틈이 일하였음","2020년","864","113","","211","19","246","269","6",
"전국","남자","75~79","일시 휴직","2020년","382","63","","114","8","91","106","",
"전국","남자","75~79","일하지 않았음","2020년","61430","1500","","11751","3004","19130","25614","431",
"전국","남자","80~84","합계","2020년","53056","538","","","2167","21840","28343","168",
