"읍부","남자","합계",191116,140346,136132,2713,1501,50770
"읍부","남자","15~19세",2067,540,378,162,,1527
"읍부","남자","20~24세",11356,4149,3379,744,26,7207
"읍부","남자","25~29세",16562,13734,13377,263,94,2828
"읍부","남자","30~34세",19465,18044,17826,101,117,1421
"읍부","남자","35~39세",18367,16871,16647,91,133,1496
"읍부","남자","40~44세",19548,17524,17181,117,226,2024
"읍부","남자","45~49세",20516,18038,17689,135,214,2478
"읍부","남자","50~54세",21203,17651,17225,206,220,3552
"읍부","남자","55~59세",19820,15290,14849,243,198,4530
"읍부","남자","60~64세",12738,8507,8203,175,129,4231
"읍부","남자","65~69세",9377,4729,4479,180,70,4648
"읍부","남자","70세 이상",20097,5269,4899,296,74,14828
"읍부","여자","합계",259715,111154,103467,6429,1258,148561
"읍부","여자","15~19세",2015,408,211,190,7,1607
"읍부","여자","20~24세",10391,4691,4034,626,31,5700
"읍부","여자","25~29세",8993,7853,7627,176,50,1140
"읍부","여자","30~34세",8696,7104,6886,106,112,1592
"읍부","여자","35~39세",7281,5742,5461,147,134,1539
"읍부","여자","40~44세",9475,7425,7091,248,86,2050
"읍부","여자","45~49세",13117,9975,9473,349,153,3142
"읍부","여자","50~54세",17266,12047,11613,283,151,5219
"읍부","여자","55~59세",22133,14176,13509,532,135,7957
"읍부","여자","60~64세",21234,10992,10252,644,96,10242
"읍부","여자","65~69세",24618,9309,8455,786,68,15309
"읍부","여자","70세 이상",114496,21432,18855,2342,235,93064
"면부","계","합계",636777,298171,280086,15140,2945,338606
"면부","계","15~19세",3510,552,281,263,8,2958
"면부","계","20~24세",16010,4587,3702,864,21,11423
"면부","계","25~29세",13913,11180,10818,283,79,2733
"면부","계","30~34세",15165,13434,13148,154,132,1731
"면부","계","35~39세",15443,13655,13393,126,136,1788
"면부","계","40~44세",20369,17556,17161,223,172,2813
"면부","계","45~49세",27635,22362,21698,401,263,5273
"면부","계","50~54세",40459,31315,30161,789,365,9144
"면부","계","55~59세",52340,37587,36121,1035,431,14753
"면부","계","60~64세",50959,31889,30203,1346,340,19070
"면부","계","65~69세",59410,30331,28242,1848,241,29079
"면부","계","70세 이상",321564,83723,75158,7808,757,237841
"면부","남자","합계",211890,140753,135828,3384,1541,71137
"면부","남자","15~19세",1964,365,197,160,8,1599
"면부","남자","20~24세",9470,2800,2286,495,19,6670
"면부","남자","25~29세",9942,7961,7730,200,31,1981
"면부","남자","30~34세",11379,10307,10121,114,72,1072
"면부","남자","35~39세",11611,10656,10493,63,100,955
"면부","남자","40~44세",14911,13290,13037,117,136,1621
"면부","남자","45~49세",18538,15656,15306,178,172,2882
"면부","남자","50~54세",24402,19921,19332,347,242,4481
"면부","남자","55~59세",27184,20670,20073,359,238,6514
"면부","남자","60~64세",21139,14204,13647,364,193,6935
"면부","남자","65~69세",17498,9689,9248,312,129,7809
"면부","남자","70세 이상",43852,15234,14358,675,201,28618
"면부","여자","합계",424887,157418,144258,11756,1404,267469
"면부","여자","15~19세",1546,187,84,103,,1359
"면부","여자","20~24세",6540,1787,1416,369,2,4753
"면부","여자","25~29세",3971,3219,3088,83,48,752
"면부","여자","30~34세",3786,3127,3027,40,60,659
"면부","여자","35~39세",3832,2999,2900,63,36,833
"면부","여자","40~44세",5458,4266,4124,106,36,1192
"면부","여자","45~49세",9097,6706,6392,223,91,2391
"면부","여자","50~54세",16057,11394,10829,442,123,4663
"면부","여자","55~59세",25156,16917,16048,676,193,8239
"면부","여자","60~64세",29820,17685,16556,982,147,12135
"면부","여자","65~69세",41912,20642,18994,1536,112,21270
"면부","여자","70세 이상",277712,68489,60800,7133,556,209223
"서울특별시","계","합계",1114944,658984,612789,34249,11946,455960
"서울특별시","계","15~19세",12592,2932,957,1892,83,9660
"서울특별시","계","20~24세",93906,40804,29726,10409,669,53102
"서울특별시","계","25~29세",157730,115082,107015,6421,1646,42648
"서울특별시","계","30~34세",144964,121822,116514,3078,2230,23142
"서울특별시","계","35~39세",100013,83919,80341,1868,1710,16094
"서울특별시","계","40~44세",88614,71950,68410,1950,1590,16664
"서울특별시","계","45~49세",75893,58722,55947,1546,1229,17171
"서울특별시","계","50~54세",72223,51242,48776,1558,908,20981
"서울특별시","계","55~59세",77869,48625,46200,1562,863,29244
"서울특별시","계","60~64세",66776,31395,29580,1319,496,35381
"서울특별시","계","65~69세",65104,17789,16409,1062,318,47315
"서울특별시","계","70세 이상",159260,14702,12914,1584,204,144558
"서울특별시","남자","합계",511641,342652,322237,14257,6158,168989
"서울특별시","남자","15~19세",5767,1175,443,683,49,4592
