"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"전국","충청남도","2인",21651,22325,21997,22192,22100,22598,19457,21968,21768,20288
"전국","충청남도","3인",14899,14764,14776,14782,14599,14461,11277,12520,11360,10438
"전국","충청남도","4인",11486,11516,11532,11029,11260,10500,7764,8370,7733,6745
"전국","충청남도","5인",2869,2891,2850,2616,2593,2473,1801,1887,1723,1545
"전국","전라북도","계",165906,173640,169266,163737,157626,162415,157601,172515,163853,147929
"전국","전라북도","1인",118307,122313,121391,119462,117849,119571,119517,131379,130112,118352
"전국","전라북도","2인",21011,22139,21032,19994,18838,19675,17885,19326,17370,15658
"전국","전라북도","3인",13010,14093,13367,12352,10721,11790,10323,11290,8869,7661
"전국","전라북도","4인",9936,11038,9974,8800,7480,8536,7440,7974,5716,4817
"전국","전라북도","5인",2961,3274,2831,2503,2196,2316,1975,2133,1432,1200
"전국","전라남도","계",160999,170245,167502,159063,158053,159766,163017,173799,165120,145329
"전국","전라남도","1인",117714,124016,124210,119172,120679,123989,128815,137757,132070,118305
"전국","전라남도","2인",19475,20352,19755,18518,17854,17990,17360,17917,16928,14414
"전국","전라남도","3인",11651,12436,11736,10981,10057,9494,9001,9499,8801,7097
"전국","전라남도","4인",8852,9793,8592,7593,7015,6081,5800,6619,5638,4287
"전국","전라남도","5인",2692,3013,2638,2313,2013,1797,1648,1675,1419,1034
"전국","경상북도","계",218249,226831,231553,213718,210443,214184,217277,230516,233783,203711
"전국","경상북도","1인",159917,167965,171097,159011,156466,162101,167743,181157,185544,167983
"전국","경상북도","2인",25726,26967,27601,25043,24617,24804,24188,24954,24976,20181
"전국","경상북도","3인",16826,16693,17179,15764,15486,14647,13945,13531,13038,9022
"전국","경상북도","4인",12321,11754,12223,10905,11054,9943,8992,8742,8270,5131
"전국","경상북도","5인",2897,2828,2863,2489,2369,2241,1987,1800,1654,1204
"전국","경상남도","계",266158,284201,286650,268490,264833,258718,263060,275841,266031,238201
"전국","경상남도","1인",184970,195207,201201,193672,188116,189338,193021,207484,205249,189153
"전국","경상남도","2인",32155,34778,34533,32089,32151,30807,30381,31024,29829,25589
"전국","경상남도","3인",24197,26716,25291,22187,22931,20258,20796,19847,17188,13368
"전국","경상남도","4인",19513,21481,20043,16133,17124,14375,14984,13907,11083,8079
"전국","경상남도","5인",4443,5025,4666,3655,3772,3321,3290,3012,2299,1721
"전국","제주특별자치도","계",53556,57697,62716,68545,69621,69953,65846,69060,66976,62569
"전국","제주특별자치도","1인",35999,39766,44436,48688,50899,51425,49841,52869,51199,48559
"전국","제주특별자치도","2인",7012,7750,8157,8615,8453,8799,7796,8051,7955,7328
"전국","제주특별자치도","3인",5154,5110,5237,5814,5487,5167,4490,4510,4443,3900
"전국","제주특별자치도","4인",3906,3726,3587,3991,3484,3373,2757,2742,2556,2118
"전국","제주특별자치도","5인",1227,1127,1073,1186,1034,995,785,725,677,548
"서울특별시","전국","계",971609,993875,1032191,1008507,977222,988935,970308,1082959,1037104,879362
"서울특별시","전국","1인",643377,658687,681407,678366,671536,695181,702430,785965,773446,681539
"서울특별시","전국","2인",130601,130994,138351,132895,125439,125165,116420,129702,120629,94461
"서울특별시","전국","3인",98950,102126,106979,101037,93021,89085,81094,89127,77103,57269
"서울특별시","전국","4인",78643,80984,84559,77040,70310,64135,57257,63808,53838,37664
"서울특별시","전국","5인",16566,17262,17085,15670,13819,12547,10869,11932,10124,7024
"서울특별시","서울특별시","계",588651,607415,627112,605667,593047,594474,590455,668379,618818,523992
"서울특별시","서울특별시","1인",358981,367096,379006,377369,378689,396281,403407,460952,440429,390708
"서울특별시","서울특별시","2인",86711,88434,92536,87690,83450,81307,77550,86086,77083,60566
"서울특별시","서울특별시","3인",69648,73746,76227,70521,65886,60342,57512,63268,53265,39139
"서울특별시","서울특별시","4인",58241,61772,63626,56130,52515,45683,42499,47514,39381,27480
"서울특별시","서울특별시","5인",12458,13374,12866,11438,10264,8903,7864,8788,7271,5096
"서울특별시","부산광역시","계",12745,13722,13491,12268,11874,10821,10673,11164,11376,10011
"서울특별시","부산광역시","1인",10800,11730,11539,10654,10389,9505,9440,9933,10331,9055
"서울특별시","부산광역시","2인",997,977,965,832,751,672,655,684,598,566
"서울특별시","부산광역시","3인",526,553,539,454,418,380,319,323,268,241
"서울특별시","부산광역시","4인",345,369,354,270,259,226,214,189,151,127
"서울특별시","부산광역시","5인",67,68,70,49,45,29,38,28,25,19
"서울특별시","대구광역시","계",8236,7978,8118,7848,7282,7049,6737,7636,7274,6782
"서울특별시","대구광역시","1인",6944,6798,6993,6812,6363,6224,6041,6935,6620,6201
"서울특별시","대구광역시","2인",602,604,529,537,467,435,379,395,371,334
"서울특별시","대구광역시","3인",370,313,303,299,254,236,189,180,166,164
"서울특별시","대구광역시","4인",249,213,245,167,165,132,111,104,101,67
"서울특별시","대구광역시","5인",56,41,41,27,26,18,15,21,11,12
"서울특별시","인천광역시","계",31430,29554,30519,30576,29018,29750,28972,30430,33653,32297
"서울특별시","인천광역시","1인",22906,22106,22728,23266,22617,23236,23407,24960,27042,25590
"서울특별시","인천광역시","2인",3745,3412,3540,3488,3131,3231,2869,2819,3492,3420
"서울특별시","인천광역시","3인",2643,2306,2386,2201,1866,1933,1620,1551,1913,1978
"서울특별시","인천광역시","4인",1687,1373,1477,1285,1108,1084,867,902,978,1076
"서울특별시","인천광역시","5인",359,290,314,278,233,207,170,175,194,191
"서울특별시","광주광역시","계",7224,7847,7264,6767,6472,6273,6083,6276,6316,5448
"서울특별시","광주광역시","1인",6130,6756,6191,5853,5613,5589,5507,5712,5791,5005
"서울특별시","광주광역시","2인",571,566,526,474,464,401,327,337,321,258
"서울특별시","광주광역시","3인",287,297,280,252,230,170,157,134,125,116
"서울특별시","광주광역시","4인",189,176,209,155,132,88,80,76,61,57
"서울특별시","광주광역시","5인",43,42,53,25,26,25,11,16,15,10
"서울특별시","대전광역시","계",9971,10153,10325,9994,9458,9427,8972,9417,9650,8967
"서울특별시","대전광역시","1인",8130,8353,8574,8519,8127,8180,7922,8444,8701,8054
"서울특별시","대전광역시","2인",814,854,834,728,677,645,565,542,573,525
