"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"대구광역시","부산광역시","계",4088,4607,4020,3947,3972,3874,4327,4550,4441,4413
"대구광역시","부산광역시","1인",3339,3798,3397,3440,3480,3390,3850,4031,4067,4043
"대구광역시","부산광역시","2인",345,372,283,237,249,256,246,276,209,197
"대구광역시","부산광역시","3인",184,226,180,158,135,130,129,129,99,106
"대구광역시","부산광역시","4인",157,152,126,95,89,79,79,90,55,56
"대구광역시","부산광역시","5인",47,38,29,12,13,17,18,21,10,10
"대구광역시","대구광역시","계",136714,136185,142357,134362,134109,137289,138110,155047,139241,118457
"대구광역시","대구광역시","1인",78172,79539,84968,81842,83019,87376,89977,102594,95331,83636
"대구광역시","대구광역시","2인",20491,20339,20967,19229,19360,19682,20028,21727,19332,15126
"대구광역시","대구광역시","3인",18236,17584,17950,16683,16059,15515,14450,15987,13022,10610
"대구광역시","대구광역시","4인",15719,14792,14747,13350,12712,11832,11037,12096,9501,7577
"대구광역시","대구광역시","5인",3379,3244,3076,2726,2493,2406,2194,2275,1764,1326
"대구광역시","인천광역시","계",1640,1523,1495,1532,1600,1646,1750,1754,1716,1654
"대구광역시","인천광역시","1인",1330,1265,1234,1302,1412,1453,1539,1555,1538,1491
"대구광역시","인천광역시","2인",144,121,116,97,90,112,123,98,97,79
"대구광역시","인천광역시","3인",95,64,79,74,61,41,51,50,49,44
"대구광역시","인천광역시","4인",57,53,51,52,30,34,33,44,25,33
"대구광역시","인천광역시","5인",13,16,10,6,7,5,4,7,7,6
"대구광역시","광주광역시","계",436,651,450,423,400,443,457,503,546,469
"대구광역시","광주광역시","1인",337,526,360,345,330,383,391,433,497,431
"대구광역시","광주광역시","2인",46,51,35,43,37,33,31,33,26,25
"대구광역시","광주광역시","3인",24,34,27,25,23,15,20,23,12,7
"대구광역시","광주광역시","4인",25,31,24,9,8,7,13,14,10,3
"대구광역시","광주광역시","5인",3,7,2,1,2,3,2,0,1,3
"대구광역시","대전광역시","계",1565,1567,1554,1477,1555,1624,1751,1893,1896,1883
"대구광역시","대전광역시","1인",1240,1209,1266,1229,1324,1379,1530,1684,1689,1746
"대구광역시","대전광역시","2인",118,153,143,111,107,114,96,108,115,69
"대구광역시","대전광역시","3인",106,109,61,65,69,74,67,61,54,40
"대구광역시","대전광역시","4인",84,76,74,57,44,47,47,30,33,21
"대구광역시","대전광역시","5인",13,13,7,15,9,10,10,9,4,4
"대구광역시","울산광역시","계",2973,3031,2991,2677,2146,2203,2341,2528,2460,2296
"대구광역시","울산광역시","1인",2514,2593,2591,2351,1895,1961,2073,2277,2290,2130
"대구광역시","울산광역시","2인",201,201,217,149,122,140,138,147,104,97
"대구광역시","울산광역시","3인",138,127,102,101,67,57,56,57,41,44
"대구광역시","울산광역시","4인",99,93,65,66,48,37,60,36,19,21
"대구광역시","울산광역시","5인",19,15,12,10,12,7,12,11,4,2
"대구광역시","세종특별자치시","계",163,312,508,413,519,575,552,619,622,642
"대구광역시","세종특별자치시","1인",133,211,324,300,373,417,417,484,513,519
"대구광역시","세종특별자치시","2인",7,33,69,40,47,57,56,60,46,60
"대구광역시","세종특별자치시","3인",10,29,52,43,50,55,37,38,27,32
"대구광역시","세종특별자치시","4인",10,34,54,20,36,41,34,26,26,24
"대구광역시","세종특별자치시","5인",2,4,9,8,12,4,6,9,9,6
"대구광역시","경기도","계",10088,9587,9433,9323,9543,10223,10836,12007,11760,10564
"대구광역시","경기도","1인",8246,7949,7871,7929,8052,8609,9334,10351,10450,9583
"대구광역시","경기도","2인",787,672,722,622,680,751,710,800,708,549
"대구광역시","경기도","3인",516,463,434,407,401,434,443,434,325,242
"대구광역시","경기도","4인",430,405,339,314,330,344,285,350,223,156
"대구광역시","경기도","5인",91,83,56,42,65,74,55,63,46,29
"대구광역시","강원도","계",1399,1436,1455,1336,1331,1319,1363,1574,1514,1329
"대구광역시","강원도","1인",1178,1198,1222,1114,1148,1125,1169,1366,1319,1171
"대구광역시","강원도","2인",98,112,111,111,92,95,94,110,104,84
"대구광역시","강원도","3인",58,65,65,51,47,45,49,44,42,43
"대구광역시","강원도","4인",54,44,42,45,37,45,48,43,33,21
"대구광역시","강원도","5인",10,13,14,11,6,8,2,10,15,9
"대구광역시","충청북도","계",1474,1508,1532,1431,1454,1607,1798,1820,1916,1752
"대구광역시","충청북도","1인",1208,1238,1299,1237,1250,1383,1579,1572,1703,1603
"대구광역시","충청북도","2인",124,120,113,97,99,103,114,137,107,76
"대구광역시","충청북도","3인",79,78,62,56,54,67,63,61,62,37
"대구광역시","충청북도","4인",52,56,45,33,42,44,35,36,39,33
"대구광역시","충청북도","5인",9,10,12,8,8,9,6,12,5,3
"대구광역시","충청남도","계",1928,2024,1852,1797,1944,1974,1993,2150,2145,1971
"대구광역시","충청남도","1인",1578,1683,1515,1511,1603,1684,1672,1859,1892,1737
"대구광역시","충청남도","2인",167,163,151,139,159,135,170,155,128,130
"대구광역시","충청남도","3인",76,81,84,74,96,78,77,80,66,56
"대구광역시","충청남도","4인",83,66,79,57,64,64,64,48,53,40
"대구광역시","충청남도","5인",18,24,21,13,19,12,9,5,6,6
"대구광역시","전라북도","계",742,761,700,718,713,688,692,779,784,723
"대구광역시","전라북도","1인",610,639,571,598,601,591,606,679,697,653
"대구광역시","전라북도","2인",68,51,54,68,62,62,54,59,56,39
"대구광역시","전라북도","3인",31,39,42,26,27,20,16,22,19,20
"대구광역시","전라북도","4인",22,22,30,22,15,10,15,18,11,8
"대구광역시","전라북도","5인",8,10,3,4,4,5,0,1,1,2
"대구광역시","전라남도","계",719,778,761,734,723,800,845,895,851,817
"대구광역시","전라남도","1인",596,655,654,631,614,688,749,798,753,719
"대구광역시","전라남도","2인",60,72,52,57,66,61,62,57,60,58
"대구광역시","전라남도","3인",29,23,31,25,27,31,21,30,22,26
"대구광역시","전라남도","4인",25,24,21,18,12,19,12,8,13,14
"대구광역시","전라남도","5인",9,3,1,3,2,1,1,2,2,0
"대구광역시","경상북도","계",32480,38037,34626,31277,31156,32584,34807,35415,37182,32032
"대구광역시","경상북도","1인",25413,30067,27509,25314,25007,26519,28517,29506,30857,28198
"대구광역시","경상북도","2인",3508,4180,3786,3219,3232,3336,3452,3370,3543,2527
"대구광역시","경상북도","3인",1992,2166,1876,1580,1687,1600,1651,1482,1661,798
"대구광역시","경상북도","4인",1264,1268,1148,930,1022,932,935,889,935,421
"대구광역시","경상북도","5인",252,297,256,189,170,167,216,146,157,76
"대구광역시","경상남도","계",6729,7109,6918,6581,6135,6073,6414,6740,6729,5922
"대구광역시","경상남도","1인",5457,5804,5744,5554,5161,5103,5388,5821,5905,5279
"대구광역시","경상남도","2인",660,672,644,573,564,552,576,553,502,423
"대구광역시","경상남도","3인",337,370,301,242,251,236,265,216,190,111
"대구광역시","경상남도","4인",229,210,167,178,135,146,151,120,104,84
"대구광역시","경상남도","5인",39,45,55,32,22,32,30,21,24,20
"대구광역시","제주특별자치도","계",645,782,1022,1096,1289,1211,1126,1106,1098,1053
"대구광역시","제주특별자치도","1인",535,637,846,920,1086,1008,960,946,915,911
"대구광역시","제주특별자치도","2인",53,61,97,93,102,99,83,90,98,79
"대구광역시","제주특별자치도","3인",30,46,46,53,68,60,44,46,56,37
"대구광역시","제주특별자치도","4인",19,29,26,23,29,35,31,23,23,21
"대구광역시","제주특별자치도","5인",8,7,7,5,3,9,7,1,5,4
"인천광역시","전국","계",255942,260731,272202,262408,254487,268561,272013,298143,285868,254052
"인천광역시","전국","1인",165154,170190,176615,174464,174258,183493,192602,212857,211917,191668
"인천광역시","전국","2인",34081,34603,36862,35014,32906,35110,34606,36935,34553,30001
"인천광역시","전국","3인",28040,27628,29345,27172,24284,25829,23774,25221,21288,17780
"인천광역시","전국","4인",22530,22262,23018,20199,18200,19238,16863,18657,14486,11728
"인천광역시","전국","5인",5075,4964,5246,4559,3926,4050,3455,3765,3039,2407
"인천광역시","서울특별시","계",24256,25332,25155,24790,25260,26100,27817,30878,28402,27438
"인천광역시","서울특별시","1인",19510,20430,20481,20525,21249,22480,23811,26613,24906,24448
"인천광역시","서울특별시","2인",2210,2259,2260,2065,1967,1885,2070,2109,1878,1691
"인천광역시","서울특별시","3인",1319,1433,1334,1211,1082,950,1094,1216,951,758
"인천광역시","서울특별시","4인",1001,962,874,780,767,649,708,785,536,444
"인천광역시","서울특별시","5인",180,208,170,182,157,108,115,142,106,83
"인천광역시","부산광역시","계",1951,2244,2140,1961,1987,1662,1700,1944,1793,1702
"인천광역시","부산광역시","1인",1551,1803,1719,1602,1644,1399,1445,1694,1585,1510
"인천광역시","부산광역시","2인",188,199,197,173,164,142,120,132,112,107
"인천광역시","부산광역시","3인",119,122,119,103,96,71,75,67,53,49
"인천광역시","부산광역시","4인",81,94,77,63,59,39,49,37,35,30
"인천광역시","부산광역시","5인",7,13,19,14,21,11,8,11,6,2
"인천광역시","대구광역시","계",1320,1273,1274,1192,1240,1191,1202,1299,1177,1196
"인천광역시","대구광역시","1인",1061,1039,1046,998,1045,1023,1009,1130,1045,1061
"인천광역시","대구광역시","2인",121,90,105,84,100,72,102,93,71,61
"인천광역시","대구광역시","3인",78,75,67,59,48,57,46,45,41,37
"인천광역시","대구광역시","4인",43,57,47,47,38,31,38,29,11,28
"인천광역시","대구광역시","5인",16,10,8,4,8,8,5,2,9,8
"인천광역시","인천광역시","계",157460,157829,167474,159330,150549,162440,162916,177146,172480,151238
"인천광역시","인천광역시","1인",89933,91023,95646,94054,92370,99322,104354,115029,116677,103328
"인천광역시","인천광역시","2인",23625,23955,26107,24679,22741,24827,24342,25720,24769,21970
"인천광역시","인천광역시","3인",21317,20809,22450,20477,17981,19608,17900,18659,16566,14055
"인천광역시","인천광역시","4인",17716,17313,18102,15712,13659,14842,13005,14249,11558,9560
"인천광역시","인천광역시","5인",3994,3883,4267,3580,3066,3174,2733,2923,2437,1948
"인천광역시","광주광역시","계",1391,1502,1417,1339,1193,1157,1118,1258,1217,1154
"인천광역시","광주광역시","1인",1092,1232,1156,1096,1008,992,975,1096,1095,1037
"인천광역시","광주광역시","2인",137,121,133,124,98,81,89,83,65,69
"인천광역시","광주광역시","3인",95,87,67,74,49,46,28,44,34,31
"인천광역시","광주광역시","4인",49,42,41,34,28,31,19,26,20,13
"인천광역시","광주광역시","5인",16,17,16,8,8,7,6,9,3,4
"인천광역시","대전광역시","계",1907,1946,2031,1951,1937,1856,1919,2057,2014,1927
"인천광역시","대전광역시","1인",1506,1526,1644,1606,1607,1617,1664,1814,1794,1718
"인천광역시","대전광역시","2인",178,185,170,133,144,124,131,129,114,126
"인천광역시","대전광역시","3인",112,118,121,120,99,70,72,67,52,51
"인천광역시","대전광역시","4인",85,101,75,79,75,39,44,35,42,25
"인천광역시","대전광역시","5인",22,14,18,12,12,4,7,10,11,4
"인천광역시","울산광역시","계",935,834,974,793,725,621,632,690,713,651
"인천광역시","울산광역시","1인",749,697,784,630,608,538,550,630,635,594
"인천광역시","울산광역시","2인",83,61,84,80,51,39,52,32,50,32
"인천광역시","울산광역시","3인",59,45,47,45,28,19,18,14,12,14
"인천광역시","울산광역시","4인",25,26,37,35,28,20,11,13,11,9
"인천광역시","울산광역시","5인",17,5,15,3,8,5,1,1,5,1
"인천광역시","세종특별자치시","계",381,565,812,811,778,745,799,806,753,678
"인천광역시","세종특별자치시","1인",286,359,501,528,539,554,608,633,603,556
"인천광역시","세종특별자치시","2인",27,71,87,97,83,77,63,86,68,53
"인천광역시","세종특별자치시","3인",31,59,100,90,74,54,76,43,37,51
"인천광역시","세종특별자치시","4인",27,68,102,77,73,47,40,38,39,12
"인천광역시","세종특별자치시","5인",9,8,19,16,8,12,10,5,4,5
"인천광역시","경기도","계",40962,42781,43572,44283,45007,48227,49119,55799,50793,43640
"인천광역시","경기도","1인",29373,30853,31721,32493,33039,35308,37321,41995,40995,36373
"인천광역시","경기도","2인",4872,5021,4964,4999,5103,5516,5394,6211,5023,3852
"인천광역시","경기도","3인",3466,3500,3594,3639,3584,3867,3494,4066,2652,1930
"인천광역시","경기도","4인",2565,2684,2685,2526,2691,2844,2375,2877,1713,1194
"인천광역시","경기도","5인",586,592,498,529,487,582,456,553,347,244
"인천광역시","강원도","계",4180,4185,4525,4248,4197,3948,4075,4351,4359,3954
"인천광역시","강원도","1인",3393,3415,3717,3476,3486,3253,3391,3611,3670,3403
"인천광역시","강원도","2인",394,400,440,395,395,395,393,445,438,336
"인천광역시","강원도","3인",227,200,204,221,176,156,168,176,151,119
"인천광역시","강원도","4인",124,126,136,120,114,116,107,91,83,73
"인천광역시","강원도","5인",37,36,21,28,21,20,15,21,14,20
"인천광역시","충청북도","계",3050,3175,3375,3192,3127,3209,3189,3412,3339,3208
"인천광역시","충청북도","1인",2418,2564,2667,2562,2584,2628,2690,2889,2841,2788
"인천광역시","충청북도","2인",315,342,360,333,294,315,296,303,311,246
"인천광역시","충청북도","3인",179,148,191,146,146,155,111,123,95,98
"인천광역시","충청북도","4인",106,93,125,121,84,91,78,83,76,55
"인천광역시","충청북도","5인",29,23,28,27,11,17,12,12,12,17
"인천광역시","충청남도","계",6293,6604,6658,6391,6495,6280,6077,6518,6699,6182
"인천광역시","충청남도","1인",4909,5259,5279,5062,5219,5140,5083,5512,5676,5274
"인천광역시","충청남도","2인",688,684,692,689,659,629,600,629,642,585
"인천광역시","충청남도","3인",386,371,384,345,333,300,236,213,221,198
"인천광역시","충청남도","4인",250,233,243,233,232,169,118,135,125,98
"인천광역시","충청남도","5인",52,50,49,52,46,33,34,23,31,20
"인천광역시","전라북도","계",2662,2789,2703,2817,2697,2422,2395,2674,2575,2322
"인천광역시","전라북도","1인",2124,2248,2189,2277,2219,2024,2062,2286,2219,2027
"인천광역시","전라북도","2인",285,282,281,288,268,222,182,223,225,182
"인천광역시","전라북도","3인",153,143,121,142,117,99,78,97,80,76
"인천광역시","전라북도","4인",77,85,93,81,77,65,58,51,42,28
"인천광역시","전라북도","5인",22,25,19,23,12,10,13,11,9,9
"인천광역시","전라남도","계",2800,2892,2847,2660,2529,2456,2669,2669,2574,2353
"인천광역시","전라남도","1인",2264,2347,2263,2158,2120,2067,2315,2303,2240,2070
"인천광역시","전라남도","2인",275,290,303,275,231,237,212,215,198,172
"인천광역시","전라남도","3인",132,133,152,129,107,82,93,105,78,70
"인천광역시","전라남도","4인",107,90,99,72,57,53,38,38,48,30
"인천광역시","전라남도","5인",19,30,25,21,13,13,9,6,10,9
"인천광역시","경상북도","계",2861,2960,3012,2730,2645,2477,2656,2776,2966,2660
"인천광역시","경상북도","1인",2266,2403,2484,2244,2236,2100,2285,2401,2590,2354
"인천광역시","경상북도","2인",287,278,255,243,218,185,217,208,224,167
"인천광역시","경상북도","3인",163,156,137,134,104,94,82,103,94,84
"인천광역시","경상북도","4인",119,102,106,89,69,74,57,53,49,41
"인천광역시","경상북도","5인",19,14,27,19,16,19,11,10,7,13
"인천광역시","경상남도","계",2363,2474,2651,2207,2201,2068,2111,2207,2278,2104
"인천광역시","경상남도","1인",1846,1960,2109,1810,1792,1703,1774,1900,1949,1790
"인천광역시","경상남도","2인",253,219,255,185,199,185,172,171,192,188
"인천광역시","경상남도","3인",124,149,144,114,127,99,93,78,79,79
"인천광역시","경상남도","4인",103,119,105,74,67,64,59,47,44,36
"인천광역시","경상남도","5인",30,18,31,22,16,16,11,11,13,11
"인천광역시","제주특별자치도","계",1170,1346,1582,1713,1920,1702,1619,1659,1736,1645
"인천광역시","제주특별자치도","1인",873,1032,1209,1343,1493,1345,1265,1321,1397,1337
"인천광역시","제주특별자치도","2인",143,146,169,172,191,179,171,146,173,164
"인천광역시","제주특별자치도","3인",80,80,113,123,133,102,110,105,92,80
"인천광역시","제주특별자치도","4인",52,67,71,56,82,64,59,70,54,52
"인천광역시","제주특별자치도","5인",20,18,16,19,16,11,9,15,15,9
"광주광역시","전국","계",143952,155008,151402,143458,142374,150004,151361,160011,154765,138456
"광주광역시","전국","1인",100975,109261,109072,103303,103860,110226,114247,121313,119715,109388
"광주광역시","전국","2인",17672,18743,18062,17260,16863,17960,17020,17698,16757,14278
"광주광역시","전국","3인",12378,13174,12163,11631,11122,11392,10446,11024,9733,8094
"광주광역시","전국","4인",9518,10268,9024,8544,7960,7891,7329,7818,6774,5357
"광주광역시","전국","5인",2841,2872,2536,2260,2104,2112,1946,1839,1541,1168
"광주광역시","서울특별시","계",9142,9696,9211,9078,9231,9572,9559,10131,9368,8958
"광주광역시","서울특별시","1인",8050,8638,8231,8262,8418,8780,8846,9423,8728,8425
"광주광역시","서울특별시","2인",623,573,543,478,482,460,438,450,422,342
"광주광역시","서울특별시","3인",257,266,244,180,174,200,128,145,131,110
"광주광역시","서울특별시","4인",167,176,157,123,133,107,121,94,72,71
"광주광역시","서울특별시","5인",41,34,33,28,21,20,22,17,13,10
"광주광역시","부산광역시","계",896,1250,1106,1034,911,919,945,1002,992,910
"광주광역시","부산광역시","1인",754,1048,947,893,787,813,853,892,913,836
"광주광역시","부산광역시","2인",61,86,71,73,58,52,44,65,47,42
"광주광역시","부산광역시","3인",46,53,48,51,38,26,34,24,12,18
"광주광역시","부산광역시","4인",32,40,25,14,22,22,11,18,15,11
"광주광역시","부산광역시","5인",3,15,9,2,6,4,3,2,5,3
"광주광역시","대구광역시","계",450,555,414,442,473,495,416,475,465,459
"광주광역시","대구광역시","1인",340,451,343,369,387,430,343,432,411,406
"광주광역시","대구광역시","2인",43,48,33,38,30,31,38,21,24,32
"광주광역시","대구광역시","3인",29,33,20,11,30,18,20,10,14,14
"광주광역시","대구광역시","4인",30,17,14,21,20,13,9,9,13,6
"광주광역시","대구광역시","5인",5,5,3,3,6,2,6,3,3,1
"광주광역시","인천광역시","계",1588,1570,1646,1607,1578,1607,1698,1583,1679,1540
"광주광역시","인천광역시","1인",1298,1319,1372,1348,1344,1391,1498,1414,1514,1380
"광주광역시","인천광역시","2인",134,132,122,133,119,107,111,89,78,90
"광주광역시","인천광역시","3인",93,64,75,64,61,62,48,36,57,37
"광주광역시","인천광역시","4인",52,41,62,42,42,37,34,35,22,30
"광주광역시","인천광역시","5인",10,13,12,16,8,9,7,8,6,3
"광주광역시","광주광역시","계",87561,92518,87869,85239,84090,90349,92677,99128,95734,84311
"광주광역시","광주광역시","1인",54630,57690,56508,54825,54633,59656,63248,68026,67691,60872
"광주광역시","광주광역시","2인",12440,13027,12459,12236,12094,13126,12723,13487,12730,10860
"광주광역시","광주광역시","3인",9748,10327,9297,9098,8770,9015,8539,9136,8021,6793
"광주광역시","광주광역시","4인",7832,8502,7110,6883,6449,6462,6194,6629,5781,4623
"광주광역시","광주광역시","5인",2417,2402,2061,1826,1745,1736,1648,1578,1302,1014
"광주광역시","대전광역시","계",1124,1227,1121,1176,1073,1176,1178,1263,1195,1244
"광주광역시","대전광역시","1인",878,999,926,991,914,1017,1059,1122,1103,1113
"광주광역시","대전광역시","2인",98,98,84,75,67,69,56,62,49,76
"광주광역시","대전광역시","3인",75,61,62,58,46,49,39,52,25,32
"광주광역시","대전광역시","4인",55,59,44,42,39,33,19,18,16,20
"광주광역시","대전광역시","5인",17,9,5,7,3,7,5,9,2,2
"광주광역시","울산광역시","계",360,401,420,316,280,289,281,294,223,292
"광주광역시","울산광역시","1인",308,339,362,269,253,256,238,258,202,261
"광주광역시","울산광역시","2인",27,30,26,25,18,18,25,20,14,22
"광주광역시","울산광역시","3인",16,15,14,11,4,12,6,8,2,3
"광주광역시","울산광역시","4인",7,11,12,9,4,2,11,7,4,6
"광주광역시","울산광역시","5인",2,6,2,2,1,0,1,1,1,0
"광주광역시","세종특별자치시","계",157,382,523,439,530,608,552,607,577,466
"광주광역시","세종특별자치시","1인",118,279,333,315,406,450,446,482,472,399
"광주광역시","세종특별자치시","2인",17,42,57,37,48,73,42,56,35,25
"광주광역시","세종특별자치시","3인",11,26,69,40,40,45,41,36,33,13
"광주광역시","세종특별자치시","4인",4,25,51,38,28,34,16,30,32,25
"광주광역시","세종특별자치시","5인",4,8,10,9,5,6,5,3,5,3
"광주광역시","경기도","계",8134,8849,8352,7911,7772,8319,8240,8676,8586,7504
"광주광역시","경기도","1인",6688,7241,7064,6741,6638,6993,7126,7600,7679,6793
"광주광역시","경기도","2인",648,688,587,585,556,626,546,525,516,395
"광주광역시","경기도","3인",389,454,331,306,317,378,291,285,203,186
"광주광역시","경기도","4인",319,363,303,228,207,254,218,220,148,108
"광주광역시","경기도","5인",79,82,59,44,44,64,53,32,36,18
"광주광역시","강원도","계",670,708,800,642,693,581,614,662,683,631
"광주광역시","강원도","1인",550,579,686,535,605,494,520,574,596,551
"광주광역시","강원도","2인",54,56,48,54,38,48,48,38,43,45
"광주광역시","강원도","3인",37,41,32,32,29,21,23,29,22,16
"광주광역시","강원도","4인",17,23,21,17,14,13,18,16,14,13
"광주광역시","강원도","5인",11,7,11,4,7,5,4,5,7,5
"광주광역시","충청북도","계",607,727,765,666,720,814,818,833,906,819
"광주광역시","충청북도","1인",512,604,645,567,620,704,710,728,816,740
"광주광역시","충청북도","2인",47,57,69,49,39,41,47,66,43,39
"광주광역시","충청북도","3인",27,44,26,25,35,38,33,24,28,22
"광주광역시","충청북도","4인",13,16,18,18,23,27,21,11,14,15
"광주광역시","충청북도","5인",5,5,5,6,3,4,6,3,5,3
"광주광역시","충청남도","계",1422,1669,1561,1539,1611,1618,1486,1644,1624,1598
"광주광역시","충청남도","1인",1198,1368,1306,1303,1393,1400,1316,1456,1449,1420
"광주광역시","충청남도","2인",100,155,115,119,112,103,82,101,107,104
"광주광역시","충청남도","3인",63,72,68,61,66,67,58,58,37,36
"광주광역시","충청남도","4인",53,55,52,40,31,36,25,23,22,30
"광주광역시","충청남도","5인",6,15,16,14,8,9,4,6,7,8
"광주광역시","전라북도","계",4085,4308,4325,4358,4203,4004,3997,4557,4429,4151
"광주광역시","전라북도","1인",3239,3450,3540,3614,3540,3371,3453,3990,3925,3717
"광주광역시","전라북도","2인",444,468,452,415,402,349,289,310,303,285
"광주광역시","전라북도","3인",229,205,185,190,137,170,139,137,123,96
"광주광역시","전라북도","4인",136,136,113,102,91,86,91,92,54,36
"광주광역시","전라북도","5인",31,41,29,29,32,23,23,22,21,16
"광주광역시","전라남도","계",25403,28347,30353,26379,26685,27099,26497,26642,25773,23237
"광주광역시","전라남도","1인",20461,22960,24344,21067,21813,22323,22510,22734,21971,20408
"광주광역시","전라남도","2인",2753,3036,3170,2728,2590,2655,2348,2224,2207,1778
"광주광역시","전라남도","3인",1255,1387,1563,1404,1264,1187,963,959,941,646
"광주광역시","전라남도","4인",710,715,957,878,781,685,499,567,514,328
"광주광역시","전라남도","5인",186,201,257,253,202,207,146,137,118,67
"광주광역시","경상북도","계",664,772,789,655,651,668,637,642,727,670
"광주광역시","경상북도","1인",575,649,673,562,553,579,553,567,658,593
"광주광역시","경상북도","2인",44,71,56,44,48,46,53,41,40,37
"광주광역시","경상북도","3인",25,23,29,22,26,19,19,19,17,23
"광주광역시","경상북도","4인",19,24,22,19,19,22,10,12,10,13
"광주광역시","경상북도","5인",1,5,7,5,4,2,2,2,2,3
"광주광역시","경상남도","계",1109,1295,1304,1105,974,995,942,989,994,888
"광주광역시","경상남도","1인",920,1066,1121,914,815,835,828,852,879,783
"광주광역시","경상남도","2인",84,107,88,94,92,84,61,68,48,56
"광주광역시","경상남도","3인",49,56,51,48,35,37,27,38,33,30
"광주광역시","경상남도","4인",41,36,31,39,24,28,19,24,28,10
"광주광역시","경상남도","5인",14,17,9,9,6,8,7,7,6,7
"광주광역시","제주특별자치도","계",580,734,843,872,899,891,824,883,810,778
"광주광역시","제주특별자치도","1인",456,581,671,728,741,734,700,763,708,691
"광주광역시","제주특별자치도","2인",55,69,82,77,70,72,69,75,51,50
"광주광역시","제주특별자치도","3인",29,47,49,30,50,48,38,28,34,19
"광주광역시","제주특별자치도","4인",31,29,32,31,33,30,13,13,15,12
"광주광역시","제주특별자치도","5인",9,7,8,3,3,6,4,4,2,5
"대전광역시","전국","계",140156,148185,147970,146012,145333,150155,155417,167669,157349,147626
"대전광역시","전국","1인",95249,99108,101575,103353,103477,109933,116540,127486,123085,117496
"대전광역시","전국","2인",17400,18234,17846,17279,16980,17212,17390,18072,16175,14875
"대전광역시","전국","3인",13410,14844,14014,12848,12506,11794,11219,11393,9421,8356
"대전광역시","전국","4인",10938,12504,11284,9835,9768,8742,8053,8459,6877,5422
"대전광역시","전국","5인",2607,2909,2714,2226,2149,2052,1808,1903,1529,1224
"대전광역시","서울특별시","계",11169,11382,11086,11452,11767,12195,12620,13245,12229,11975
"대전광역시","서울특별시","1인",9494,9868,9713,10160,10456,11018,11375,12136,11249,11203
"대전광역시","서울특별시","2인",837,716,672,674,661,638,675,606,560,489
"대전광역시","서울특별시","3인",425,406,369,324,313,289,318,286,232,173
"대전광역시","서울특별시","4인",360,320,277,233,285,199,222,180,155,84
"대전광역시","서울특별시","5인",45,60,47,55,51,45,23,32,30,24
"대전광역시","부산광역시","계",1393,1596,1531,1359,1386,1260,1414,1514,1521,1459
"대전광역시","부산광역시","1인",1100,1291,1247,1134,1177,1075,1226,1322,1362,1308
"대전광역시","부산광역시","2인",115,123,135,90,108,87,98,94,80,92
"대전광역시","부산광역시","3인",75,98,85,73,47,46,44,55,50,41
"대전광역시","부산광역시","4인",84,67,48,43,44,43,41,38,21,13
"대전광역시","부산광역시","5인",19,13,10,13,8,6,5,3,8,4
"대전광역시","대구광역시","계",1224,1263,1210,1254,1135,1202,1155,1323,1278,1287
"대전광역시","대구광역시","1인",944,971,967,1012,923,1024,979,1162,1154,1162
"대전광역시","대구광역시","2인",117,126,106,110,104,80,84,80,62,65
"대전광역시","대구광역시","3인",84,85,75,63,52,61,51,44,31,38
"대전광역시","대구광역시","4인",65,68,53,59,46,29,33,31,24,18
"대전광역시","대구광역시","5인",12,10,4,8,7,6,7,6,7,4
"대전광역시","인천광역시","계",1913,1931,1919,1907,1932,2073,2110,2116,2084,2047
"대전광역시","인천광역시","1인",1523,1573,1598,1608,1637,1790,1852,1833,1829,1807
"대전광역시","인천광역시","2인",167,152,147,137,136,140,127,155,142,126
"대전광역시","인천광역시","3인",111,104,89,81,100,81,72,73,65,65
"대전광역시","인천광역시","4인",92,81,68,69,49,46,50,45,37,35
"대전광역시","인천광역시","5인",18,18,17,10,8,16,9,9,11,9
"대전광역시","광주광역시","계",882,897,965,848,782,886,909,950,975,891
"대전광역시","광주광역시","1인",694,713,776,716,662,753,801,841,887,792
"대전광역시","광주광역시","2인",83,75,92,62,47,60,59,52,45,56
"대전광역시","광주광역시","3인",49,59,44,36,37,36,27,29,28,25
"대전광역시","광주광역시","4인",43,43,40,29,25,32,19,23,12,17
"대전광역시","광주광역시","5인",12,6,10,5,8,4,3,4,3,1
"대전광역시","대전광역시","계",81424,84420,79321,80420,77945,81440,84399,95488,86781,82849
"대전광역시","대전광역시","1인",48717,49392,49342,51110,50792,54700,58384,66676,62810,60801
"대전광역시","대전광역시","2인",11902,12454,11466,11379,10786,11193,11365,12523,10962,10387
"대전광역시","대전광역시","3인",10070,10846,9295,9137,8339,8019,7635,8362,6757,6345
"대전광역시","대전광역시","4인",8237,9125,7104,6831,6288,5847,5469,6229,4979,4159
"대전광역시","대전광역시","5인",2029,2158,1749,1605,1412,1391,1240,1430,1074,955
"대전광역시","울산광역시","계",624,654,700,518,516,462,503,564,527,474
"대전광역시","울산광역시","1인",517,528,579,435,454,387,425,488,486,434
"대전광역시","울산광역시","2인",42,51,48,39,33,41,42,40,20,25
"대전광역시","울산광역시","3인",41,37,42,29,18,15,22,19,11,13
"대전광역시","울산광역시","4인",22,26,23,13,8,14,8,11,8,2
"대전광역시","울산광역시","5인",2,9,5,2,3,5,4,5,2,0
