"동부","남자","55~59",162313,33104,22319,16889,18335,40875,13234,7387,5456,4714,
"동부","남자","60~64",110088,18417,13251,10400,11403,28791,11098,5880,5490,5358,
"동부","남자","65~69",81490,11453,8268,6852,7457,21646,9047,5283,4895,6589,
"동부","남자","70~74",62575,7345,5531,4555,5572,15520,7200,4493,4495,7864,
"동부","남자","75세 이상",78270,6942,5782,4613,5584,17808,9704,6506,6455,14876,
"동부","여자","합계",2211491,495743,312518,202491,212894,427151,182276,110682,100617,167119,
"동부","여자","20세 미만",26072,19491,4036,660,911,592,197,108,77,,
"동부","여자","20~24",175402,96337,46260,14731,11329,5193,745,426,359,22,
"동부","여자","25~29",188775,78729,48204,24731,20193,14088,1289,781,496,264,
"동부","여자","30~34",161938,55489,35411,22670,21600,22119,2399,1167,698,385,
"동부","여자","35~39",127666,38520,25883,17002,17598,22716,3490,1224,683,550,
"동부","여자","40~44",127981,33964,22307,16060,17728,28530,5724,2077,1014,577,
"동부","여자","45~49",134176,31091,21411,15148,16574,33629,9538,4115,1783,887,
"동부","여자","50~54",155313,30021,21253,16181,18781,40479,15042,7412,4164,1980,
"동부","여자","55~59",191988,29305,21586,18224,20230,51502,22666,12650,9385,6440,
"동부","여자","60~64",180339,21734,16183,14260,16034,45601,24416,15034,13084,13993,
"동부","여자","65~69",185021,18263,14523,12589,14638,41368,24841,17043,17377,24379,
"동부","여자","70~74",190627,16374,13089,11542,14094,41711,24687,16338,18213,34579,
"동부","여자","75세 이상",366193,26425,22372,18693,23184,79623,47242,32307,33284,83063,
"읍부","계","합계",450831,92655,51415,35256,38300,74805,27692,17906,15899,96903,
"읍부","계","20세 미만",4082,3075,565,78,171,113,32,33,15,,
"읍부","계","20~24",21747,12893,5038,1579,1286,674,131,57,84,5,
"읍부","계","25~29",25555,12506,5809,2825,2668,1295,184,112,78,78,
"읍부","계","30~34",28161,10852,5979,3549,3590,3474,361,128,86,142,
"읍부","계","35~39",25648,8473,4942,3212,3096,4471,741,305,82,326,
"읍부","계","40~44",29023,8339,5106,3427,3762,5908,1202,577,205,497,
