"동부","여자","합계",2671072,2374005,297067,78855,54386,229842,83277,50341,37597
"동부","여자","5~19세",33569,33045,524,149,39,107,332,47,24
"동부","여자","20~24세",248837,244600,4237,1580,76,823,2448,164,431
"동부","여자","25~29세",315132,309742,5390,2053,243,1191,2996,211,640
"동부","여자","30~34세",204497,200789,3708,1322,229,1401,2080,293,660
"동부","여자","35~39세",159234,155842,3392,1007,204,1511,1512,343,637
"동부","여자","40~44세",135448,131894,3554,1100,199,1937,1421,531,639
"동부","여자","45~49세",150873,145149,5724,2126,382,3005,2120,679,843
"동부","여자","50~54세",161804,152539,9265,3427,741,5569,2781,1096,1145
"동부","여자","55~59세",196760,181777,14983,5134,1246,10033,3865,1570,1373
"동부","여자","60~64세",245899,221492,24407,7172,2089,18120,5420,2720,1914
"동부","여자","65~69세",214612,184962,29650,7509,2991,23453,5809,3097,2005
"동부","여자","70~74세",194691,157460,37231,8928,4845,30815,7025,4219,2438
"동부","여자","75세 이상",409716,254714,155002,37348,41102,131877,45468,35371,24848
"읍부","계","합계",621763,560368,61395,14826,13196,45649,16331,10352,9235
"읍부","계","5~19세",5825,5768,57,14,21,6,22,11,32
"읍부","계","20~24세",36941,36444,497,228,21,91,224,43,105
"읍부","계","25~29세",53548,52825,723,245,86,213,357,81,163
"읍부","계","30~34세",46687,45979,708,231,68,280,336,57,133
"읍부","계","35~39세",42967,41984,983,255,112,501,377,98,210
"읍부","계","40~44세",40869,39760,1109,348,100,492,504,168,217
"읍부","계","45~49세",48917,47212,1705,619,148,870,503,300,300
"읍부","계","50~54세",53380,50814,2566,909,236,1421,757,417,396
"읍부","계","55~59세",57796,53952,3844,1244,400,2459,925,611,555
"읍부","계","60~64세",58737,53864,4873,1280,508,3598,1139,715,606
"읍부","계","65~69세",45559,40238,5321,1184,685,4032,1007,632,553
"읍부","계","70~74세",38714,32494,6220,1309,1038,4924,1247,783,612
"읍부","계","75세 이상",91823,59034,32789,6960,9773,26762,8933,6436,5353
"읍부","남자","합계",328440,309907,18533,5059,3881,11426,5251,3260,3418
"읍부","남자","5~19세",3128,3110,18,-,7,-,11,11,18
"읍부","남자","20~24세",19218,18990,228,114,-,43,72,17,76
"읍부","남자","25~29세",34988,34555,433,161,68,128,188,62,133
"읍부","남자","30~34세",33498,33024,474,162,45,186,187,41,85
"읍부","남자","35~39세",31358,30687,671,182,62,311,280,76,183
"읍부","남자","40~44세",28807,27971,836,248,61,380,369,137,152
"읍부","남자","45~49세",32675,31533,1142,393,107,583,344,235,219
"읍부","남자","50~54세",33593,31956,1637,581,135,921,477,318,266
"읍부","남자","55~59세",32841,30603,2238,709,281,1435,540,452,384
"읍부","남자","60~64세",29343,27126,2217,527,284,1524,568,381,319
"읍부","남자","65~69세",18761,16758,2003,491,355,1367,395,270,296
"읍부","남자","70~74세",12493,11007,1486,349,390,1011,373,222,229
"읍부","남자","75세 이상",17737,12587,5150,1142,2086,3537,1447,1038,1058
"읍부","여자","합계",293323,250461,42862,9767,9315,34223,11080,7092,5817
