"읍부","계","45~49세",48917,41927,39956,813,1158,6990,-
"읍부","계","50~54세",53380,43544,41429,890,1225,9836,-
"읍부","계","55~59세",57796,43285,41274,1100,911,14511,-
"읍부","계","60~64세",58737,35825,34028,995,802,22912,-
"읍부","계","65~69세",45559,21020,19681,836,503,24539,-
"읍부","계","70세 이상",130537,28713,26132,2029,552,101824,-
"읍부","남자","합계",328390,248660,235905,7697,5058,79730,-
"읍부","남자","15~19세",3078,994,550,444,-,2084,-
"읍부","남자","20~24세",19218,9499,7056,2312,131,9719,-
"읍부","남자","25~29세",34988,30591,28654,1617,320,4397,-
"읍부","남자","30~34세",33498,30901,29722,707,472,2597,-
"읍부","남자","35~39세",31358,29046,28117,301,628,2312,-
"읍부","남자","40~44세",28807,25917,24917,359,641,2890,-
"읍부","남자","45~49세",32675,28914,27858,328,728,3761,-
"읍부","남자","50~54세",33593,28501,27499,352,650,5092,-
"읍부","남자","55~59세",32841,25887,24940,381,566,6954,-
"읍부","남자","60~64세",29343,19835,18982,354,499,9508,-
"읍부","남자","65~69세",18761,9953,9447,235,271,8808,-
"읍부","남자","70세 이상",30230,8622,8163,307,152,21608,-
"읍부","여자","합계",293294,149938,135896,10243,3799,143356,-
"읍부","여자","15~19세",2668,800,414,372,14,1868,-
"읍부","여자","20~24세",17723,9708,6594,2985,129,8015,-
"읍부","여자","25~29세",18560,16430,15143,969,318,2130,-
"읍부","여자","30~34세",13189,11361,10531,459,371,1828,-
"읍부","여자","35~39세",11609,9537,8798,377,362,2072,-
"읍부","여자","40~44세",12062,9500,8805,375,320,2562,-
"읍부","여자","45~49세",16242,13013,12098,485,430,3229,-
"읍부","여자","50~54세",19787,15043,13930,538,575,4744,-
"읍부","여자","55~59세",24955,17398,16334,719,345,7557,-
"읍부","여자","60~64세",29394,15990,15046,641,303,13404,-
"읍부","여자","65~69세",26798,11067,10234,601,232,15731,-
"읍부","여자","70세 이상",100307,20091,17969,1722,400,80216,-
"면부","계","합계",720455,383329,358324,17542,7463,337126,-
"면부","계","15~19세",4804,1251,613,633,5,3553,-
"면부","계","20~24세",24263,12246,8332,3769,145,12017,-
"면부","계","25~29세",28508,24877,22908,1591,378,3631,-
