"행정구역별(시군구)","성별","연령별","시점","전국","서울","부산","대구","인천","광주","대전","울산","세종시","경기도","강원도","충청북도","충청남도","전라북도","전라남도","경상북도","경상남도","제주특별자치도","기타",
"면부","남자","50~54세","2021 년","37269","610","371","387","652","219","179","350","505","7244","2738","2669","4621","2628","4069","4463","5079","399","86",
"면부","남자","55~59세","2020 년","43468","717","396","428","871","213","185","412","464","7692","3462","3260","5194","3076","4692","5772","5701","346","587",
"면부","남자","55~59세","2021 년","45040","747","410","468","860","235","189","431","494","8152","3527","3379","5409","3237","5113","5937","6037","335","80",
"면부","남자","60~64세","2020 년","45487","799","490","462","904","212","199","448","407","7496","3748","3324","5188","3315","5049","6364","6232","319","531",
"면부","남자","60~64세","2021 년","51653","972","551","549","1035","232","245","499","477","8377","4368","3843","6163","3730","5787","7241","7161","333","90",
"면부","남자","65~69세","2020 년","32203","522","361","268","614","97","97","287","281","4737","2689","2339","3738","2371","3778","4837","4668","181","338",
"면부","남자","65~69세","2021 년","38354","561","369","360","778","137","138","368","305","5867","3239","2894","4512","2810","4447","5722","5579","214","54",
"면부","남자","70~74세","2020 년","22040","264","220","141","424","56","44","197","167","2909","1674","1553","2676","1918","2946","3406","3193","126","126",
"면부","남자","70~74세","2021 년","24470","308","250","151","443","61","71","225","208","3115","1768","1654","2997","2132","3315","3993","3616","139","24",
"면부","남자","75세 이상","2020 년","38143","217","171","173","622","39","39","225","306","4147","2676","2935","5070","3523","5958","6587","5163","148","144",
"면부","남자","75세 이상","2021 년","40640","225","184","178","659","44","36","243","315","4496","2919","3143","5473","3793","6239","6940","5550","184","19",
"면부","여자","합계","2020 년","375652","3991","2922","2723","5213","1187","1006","2818","4445","44437","26051","25749","45941","33609","54713","58266","56437","2471","3673",
"면부","여자","합계","2021 년","390944","4312","3155","3234","5681","1214","1109","3059","4085","46878","27380","26725","48509","35173","57422","60495","59389","2584","540",
"면부","여자","20세 미만","2020 년","3651","83","33","30","52","27","28","41","265","711","431","383","698","190","251","260","133","16","19",
"면부","여자","20세 미만","2021 년","2305","67","28","20","27","22","25","17","142","384","302","273","462","89","137","148","144","7","11",
"면부","여자","20~24세","2020 년","13423","336","111","137","110","129","123","117","1189","2570","1401","1549","2484","594","841","910","490","65","267",
"면부","여자","20~24세","2021 년","12191","320","125","139","145","127","139","139","788","2454","1255","1285","2551","579","771","797","478","58","41",
"면부","여자","25~29세","2020 년","9448","392","196","198","183","185","119","82","236","1925","811","732","959","469","875","958","922","106","100",
"면부","여자","25~29세","2021 년","10767","466","232","259","205","166","157","105","247","2298","950","827","1117","489","986","988","1103","105","67",
"면부","여자","30~34세","2020 년","6967","278","149","134","123","75","69","61","111","1423","604","547","657","342","602","762","861","104","65",
"면부","여자","30~34세","2021 년","8136","321","188","184","162","86","70","77","153","1848","692","642","833","387","669","695","991","94","44",
"면부","여자","35~39세","2020 년","6480","239","132","123","112","58","43","57","98","1360","566","502","671","321","488","651","901","98","60",
"면부","여자","35~39세","2021 년","6815","279","153","176","124","52","59","68","98","1436","611","501","690","332","588","603","905","105","35",
"면부","여자","40~44세","2020 년","7102","182","125","104","133","41","50","52","77","1483","580","567","812","390","575","743","1008","116","64",
"면부","여자","40~44세","2021 년","7633","196","141","152","155","53","38","53","101","1586","637","584","865","419","658","756","1070","147","22",
"면부","여자","45~49세","2020 년","10648","235","139","147","201","79","65","111","112","2090","886","837","1202","554","919","1135","1619","180","137",
"면부","여자","45~49세","2021 년","10531","241","170","166","230","77","65","109","118","2074","870","818","1177","563","946","1108","1612","154","33",
"면부","여자","50~54세","2020 년","16868","343","243","208","316","128","119","184","164","2973","1399","1235","1907","1055","1566","2058","2535","216","219",
"면부","여자","50~54세","2021 년","17873","376","216","259","363","125","102","206","186","3243","1494","1326","2095","1099","1674","2128","2721","205","55",
"면부","여자","55~59세","2020 년","25608","418","297","275","542","128","123","271","231","4303","2261","1846","3022","1633","2503","3431","3801","212","311",
"면부","여자","55~59세","2021 년","25151","441","313","329","511","138","111","271","235","4219","2200","1859","2982","1608","2586","3392","3673","231","52",
"면부","여자","60~64세","2020 년","34624","487","408","319","669","119","120","379","268","5392","2950","2447","4007","2426","3712","4889","5390","268","374",
"면부","여자","60~64세","2021 년","37745","542","487","383","756","111","129","416","285","5671","3312","2693","4608","2660","4102","5305","5955","282","48",
"면부","여자","65~69세","2020 년","35210","335","337","221","509","65","55","322","272","4546","2652","2396","4217","2971","4531","5744","5531","185","321",
"면부","여자","65~69세","2021 년","38488","389","356","287","622","75","73","380","306","5192","3034","2683","4567","3131","4806","6168","6138","232","49",
"면부","여자","70~74세","2020 년","41014","222","223","198","566","35","24","295","303","4106","2659","2367","5069","4224","6896","6836","6472","229","290",
"면부","여자","70~74세","2021 년","42549","216","243","204","555","42","46","333","285","4190","2631","2448","5446","4414","7053","7409","6768","235","31",
"면부","여자","75세 이상","2020 년","164609","441","529","629","1697","118","68","846","1119","11555","8851","10341","20236","18440","30954","29889","26774","676","1446",
"면부","여자","75세 이상","2021 년","170760","458","503","676","1826","140","95","885","1141","12283","9392","10786","21116","19403","32446","30998","27831","729","52",
"동부","계","합계","2020 년","5300490","1319041","432740","278734","309836","191608","220671","102619","22078","1127574","141267","137303","148182","180372","110677","209118","270698","57906","40066",
"동부","계","합계","2021 년","5729024","1433227","465696","302612","337405","210153","234869","111348","24539","1243109","149957","147446","157237","196790","119957","221186","293675","62876","16942",
"동부","계","20세 미만","2020 년","61456","9267","4266","2687","2365","2751","6556","840","238","7495","3528","3148","3018","3435","2573","4712","3141","665","771",
"동부","계","20세 미만","2021 년","44337","7586","2847","2101","1956","2152","4105","707","151","6012","2234","2018","2183","2797","1439","2860","2240","484","465",
"동부","계","20~24세","2020 년","424759","97753","32901","20057","17054","17802","32482","6256","1438","60979","16885","17170","18289","20485","10405","24216","20800","3699","6088",
"동부","계","20~24세","2021 년","428391","102577","33424","21510","17754","17945","31460","6636","1562","64882","15610","15585","17739","21235","10504","23118","21873","3903","1074",
"동부","계","25~29세","2020 년","689878","208779","46001","30536","33649","23440","31559","11785","3842","142276","15975","18674","22885","20740","12739","25838","28859","6440","5861",
"동부","계","25~29세","2021 년","775343","235329","53209","35126","38336","27375","35391","13433","4225","162212","17588","21338","24448","23472","14501","27304","32615","7097","2344",
