"울산광역시","계",103675,101510,100496,1014,1807,1745,62,358,99039,3822,548,266,101621,98507,3114,2043,1340,703,11,98499,97858,641,5176,103400,275
"울산광역시","주택",99164,97386,96804,582,1778,1716,62,,94868,3600,453,243,97186,94437,2749,1978,1297,681,,94270,93908,362,4894,98907,257
"울산광역시","주택이외의 거처",4511,4124,3692,432,29,29,,358,4171,222,95,23,4435,4070,365,65,43,22,11,4229,3950,279,282,4493,18
"세종특별자치시","계",21909,21772,21733,39,128,128,,9,18867,1915,724,403,21565,21499,66,342,337,5,2,21423,21374,49,486,21859,50
"세종특별자치시","주택",20452,20337,20302,35,115,115,,,17583,1811,686,372,20122,20061,61,330,328,2,,19991,19944,47,461,20407,45
"세종특별자치시","주택이외의 거처",1457,1435,1431,4,13,13,,9,1284,104,38,31,1443,1438,5,12,9,3,2,1432,1430,2,25,1452,5
"경기도","계",1028089,1018011,999408,18603,6442,6093,349,3636,990308,16034,14586,7161,1014910,995504,19406,12899,9359,3540,280,1006179,992610,13569,21910,1026159,1930
"경기도","주택",919154,913218,906017,7201,5936,5641,295,,887246,14741,11960,5207,907723,896884,10839,11431,8255,3176,,899798,894029,5769,19356,917723,1431
"경기도","주택이외의 거처",108935,104793,93391,11402,506,452,54,3636,103062,1293,2626,1954,107187,98620,8567,1468,1104,364,280,106381,98581,7800,2554,108436,499
"강원도","계",189651,185326,184269,1057,3807,3664,143,518,165004,15392,5885,3370,178512,176365,2147,11107,9494,1613,32,177273,175994,1279,12378,187819,1832
"강원도","주택",181900,178296,177409,887,3604,3461,143,,158981,14647,5319,2953,171211,169476,1735,10689,9146,1543,,170459,169454,1005,11441,180268,1632
"강원도","주택이외의 거처",7751,7030,6860,170,203,203,,518,6023,745,566,417,7301,6889,412,418,348,70,32,6814,6540,274,937,7551,200
"충청북도","계",173811,171047,169850,1197,2542,2453,89,222,152126,15657,3705,2323,166605,165045,1560,7168,6564,604,38,166459,165413,1046,7352,172648,1163
"충청북도","주택",167445,165024,164156,868,2421,2339,82,,146924,15195,3300,2026,160528,159395,1133,6917,6371,546,,160597,159856,741,6848,166369,1076
"충청북도","주택이외의 거처",6366,6023,5694,329,121,114,7,222,5202,462,405,297,6077,5650,427,251,193,58,38,5862,5557,305,504,6279,87
"충청남도","계",235777,231590,230090,1500,3931,3858,73,256,190436,24993,10324,10024,228067,225916,2151,7690,7123,567,20,225264,224052,1212,10513,234207,1570
"충청남도","주택",221774,218006,217001,1005,3768,3695,73,,178339,24289,9667,9479,214321,212696,1625,7453,6932,521,,212132,211166,966,9642,220307,1467
"충청남도","주택이외의 거처",14003,13584,13089,495,163,163,,256,12097,704,657,545,13746,13220,526,237,191,46,20,13132,12886,246,871,13900,103
"전라북도","계",215497,212016,210288,1728,3195,3070,125,286,200727,10074,2721,1975,208371,205716,2655,7109,6531,578,17,205598,203747,1851,9899,214122,1375
"전라북도","주택",209230,206218,205057,1161,3012,2917,95,,195360,9673,2389,1808,202353,200385,1968,6877,6342,535,,199874,198606,1268,9356,207996,1234
"전라북도","주택이외의 거처",6267,5798,5231,567,183,153,30,286,5367,401,332,167,6018,5331,687,232,189,43,17,5724,5141,583,543,6126,141
