"행정구역별","성별","연령별","시점","1인가구","미혼","배우자 있음","사별","이혼",
"전국","계","합계","2015년","5211133","2284364","585207","1531885","809677",
"전국","계","20세 미만","2015년","58636","58618","18","","",
"전국","계","20~24","2015년","358138","357064","814","28","232",
"전국","계","25~29","2015년","461560","451947","7841","69","1703",
"전국","계","30~34","2015년","453910","415323","28643","360","9584",
"전국","계","35~39","2015년","369337","302627","39566","929","26215",
"전국","계","40~44","2015년","377935","253106","57674","2972","64183",
"전국","계","45~49","2015년","381607","174726","82607","11691","112583",
"전국","계","50~54","2015년","412320","113641","102253","38448","157978",
"전국","계","55~59","2015년","448594","75572","103167","97562","172293",
"전국","계","60~64","2015년","375358","38030","66175","153501","117652",
"전국","계","65~69","2015년","359916","20644","40644","221915","76713",
"전국","계","70~74","2015년","374541","11960","26813","293294","42474",
"전국","계","75~79","2015년","369584","6362","17153","326255","19814",
"전국","계","80~84","2015년","267346","3302","8680","248956","6408",
"전국","계","85세 이상","2015년","142351","1442","3159","135905","1845",
"전국","남자","합계","2015년","2315038","1339993","352957","217376","404712",
"전국","남자","20세 미만","2015년","29001","28997","4","","",
"전국","남자","20~24","2015년","165805","165317","401","11","76",
"전국","남자","25~29","2015년","259821","255482","3761","15","563",
"전국","남자","30~34","2015년","279490","258269","17169","151","3901",
"전국","남자","35~39","2015년","230558","191541","26924","407","11686",
"전국","남자","40~44","2015년","235021","164954","39643","960","29464",
"전국","남자","45~49","2015년","225217","116214","53035","2632","53336",
"전국","남자","50~54","2015년","223684","75703","62186","7321","78474",
"전국","남자","55~59","2015년","209317","46591","59441","16809","86476",
"전국","남자","60~64","2015년","143965","20352","36840","24992","61781",
"전국","남자","65~69","2015년","108365","9276","23739","33202","42148",
"전국","남자","70~74","2015년","84769","4666","14707","42291","23105",
"전국","남자","75~79","2015년","62524","1816","9014","41645","10049",
"전국","남자","80~84","2015년","37553","625","4370","29692","2866",
"전국","남자","85세 이상","2015년","19948","190","1723","17248","787",
"전국","여자","합계","2015년","2896095","944371","232250","1314509","404965",
"전국","여자","20세 미만","2015년","29635","29621","14","","",
"전국","여자","20~24","2015년","192333","191747","413","17","156",
"전국","여자","25~29","2015년","201739","196465","4080","54","1140",
"전국","여자","30~34","2015년","174420","157054","11474","209","5683",
"전국","여자","35~39","2015년","138779","111086","12642","522","14529",
"전국","여자","40~44","2015년","142914","88152","18031","2012","34719",
"전국","여자","45~49","2015년","156390","58512","29572","9059","59247",
"전국","여자","50~54","2015년","188636","37938","40067","31127","79504",
"전국","여자","55~59","2015년","239277","28981","43726","80753","85817",
"전국","여자","60~64","2015년","231393","17678","29335","128509","55871",
"전국","여자","65~69","2015년","251551","11368","16905","188713","34565",
"전국","여자","70~74","2015년","289772","7294","12106","251003","19369",
"전국","여자","75~79","2015년","307060","4546","8139","284610","9765",
"전국","여자","80~84","2015년","229793","2677","4310","219264","3542",
"전국","여자","85세 이상","2015년","122403","1252","1436","118657","1058",
"동부","계","합계","2015년","4123510","2037153","432999","967707","685651",
"동부","계","20세 미만","2015년","51029","51020","9","","",
"동부","계","20~24","2015년","320381","319529","612","28","212",
"동부","계","25~29","2015년","422092","414190","6394","56","1452",
"동부","계","30~34","2015년","410584","378266","23632","305","8381",
"동부","계","35~39","2015년","328246","271996","32348","750","23152",
"동부","계","40~44","2015년","328543","224450","45505","2417","56171",
"동부","계","45~49","2015년","320339","151628","62739","8927","97045",
"동부","계","50~54","2015년","333392","95780","75166","29106","133340",
"동부","계","55~59","2015년","354301","62928","73883","72739","144751",
"동부","계","60~64","2015년","290427","31523","46748","113389","98767",
"동부","계","65~69","2015년","266511","16958","28244","157196","64113",
"동부","계","70~74","2015년","253202","9838","18416","189481","35467",
"동부","계","75~79","2015년","222889","5273","11620","189818","16178",
"동부","계","80~84","2015년","146674","2676","5667","133145","5186",
"동부","계","85세 이상","2015년","74900","1098","2016","70350","1436",
"동부","남자","합계","2015년","1912019","1173683","250298","151833","336205",
"동부","남자","20세 미만","2015년","24957","24957","","","",
"동부","남자","20~24","2015년","144979","144600","299","11","69",
"동부","남자","25~29","2015년","233317","229978","2859","11","469",
"동부","남자","30~34","2015년","248646","231437","13684","141","3384",
"동부","남자","35~39","2015년","200580","168634","21457","331","10158",
"동부","남자","40~44","2015년","200562","143653","30690","801","25418",
"동부","남자","45~49","2015년","186163","99277","39318","2094","45474",
"동부","남자","50~54","2015년","178079","62789","44066","5662","65562",
"동부","남자","55~59","2015년","162313","38475","39923","12738","71177",
"동부","남자","60~64","2015년","110088","16529","23544","19331","50684",
"동부","남자","65~69","2015년","81490","7508","15050","24754","34178",
"동부","남자","70~74","2015년","62575","3776","9401","30699","18699",
"동부","남자","75~79","2015년","42793","1467","5960","27339","8027",
"동부","남자","80~84","2015년","23633","471","2990","17876","2296",
"동부","남자","85세 이상","2015년","11844","132","1057","10045","610",
"동부","여자","합계","2015년","2211491","863470","182701","815874","349446",
"동부","여자","20세 미만","2015년","26072","26063","9","","",
"동부","여자","20~24","2015년","175402","174929","313","17","143",
"동부","여자","25~29","2015년","188775","184212","3535","45","983",
"동부","여자","30~34","2015년","161938","146829","9948","164","4997",
"동부","여자","35~39","2015년","127666","103362","10891","419","12994",
"동부","여자","40~44","2015년","127981","80797","14815","1616","30753",
"동부","여자","45~49","2015년","134176","52351","23421","6833","51571",
"동부","여자","50~54","2015년","155313","32991","31100","23444","67778",
"동부","여자","55~59","2015년","191988","24453","33960","60001","73574",
"동부","여자","60~64","2015년","180339","14994","23204","94058","48083",
"동부","여자","65~69","2015년","185021","9450","13194","132442","29935",
"동부","여자","70~74","2015년","190627","6062","9015","158782","16768",
"동부","여자","75~79","2015년","180096","3806","5660","162479","8151",
"동부","여자","80~84","2015년","123041","2205","2677","115269","2890",
"동부","여자","85세 이상","2015년","63056","966","959","60305","826",
"읍부","계","합계","2015년","450831","143380","67549","176938","62964",
"읍부","계","20세 미만","2015년","4082","4073","9","","",
"읍부","계","20~24","2015년","21747","21601","135","","11",
"읍부","계","25~29","2015년","25555","24510","883","7","155",
"읍부","계","30~34","2015년","28161","24215","3048","20","878",
"읍부","계","35~39","2015년","25648","19414","4125","93","2016",
"읍부","계","40~44","2015년","29023","16994","6661","322","5046",
"읍부","계","45~49","2015년","33633","12617","10447","1404","9165",
"읍부","계","50~54","2015년","38469","8688","12538","4346","12897",
"읍부","계","55~59","2015년","41953","5453","12498","10328","13674",
"읍부","계","60~64","2015년","33972","2711","7207","15442","8612",
"읍부","계","65~69","2015년","33995","1379","4266","22962","5388",
"읍부","계","70~74","2015년","39731","916","2623","33345","2847",
"읍부","계","75~79","2015년","43159","399","1772","39343","1645",
"읍부","계","80~84","2015년","33401","274","1016","31633","478",
"읍부","계","85세 이상","2015년","18302","136","321","17693","152",
"읍부","남자","합계","2015년","191116","93778","44171","21787","31380",
"읍부","남자","20세 미만","2015년","2067","2063","4","","",
"읍부","남자","20~24","2015년","11356","11293","61","","2",
"읍부","남자","25~29","2015년","16562","16001","508","4","49",
"읍부","남자","30~34","2015년","19465","17076","2038","","351",
"읍부","남자","35~39","2015년","18367","14403","3004","31","929",
"읍부","남자","40~44","2015년","19548","12325","4752","77","2394",
"읍부","남자","45~49","2015년","20516","8870","7047","296","4303",
"읍부","남자","50~54","2015년","21203","6011","8347","755","6090",
"읍부","남자","55~59","2015년","19820","3239","8023","1654","6904",
"읍부","남자","60~64","2015년","12738","1477","4662","2092","4507",
"읍부","남자","65~69","2015년","9377","536","2761","3017","3063",
"읍부","남자","70~74","2015년","7523","316","1443","4075","1689",
"읍부","남자","75~79","2015년","6310","105","880","4518","807",
"읍부","남자","80~84","2015년","4128","40","453","3409","226",
"읍부","남자","85세 이상","2015년","2136","23","188","1859","66",
"읍부","여자","합계","2015년","259715","49602","23378","155151","31584",
"읍부","여자","20세 미만","2015년","2015","2010","5","","",
"읍부","여자","20~24","2015년","10391","10308","74","","9",
"읍부","여자","25~29","2015년","8993","8509","375","3","106",
"읍부","여자","30~34","2015년","8696","7139","1010","20","527",
"읍부","여자","35~39","2015년","7281","5011","1121","62","1087",
"읍부","여자","40~44","2015년","9475","4669","1909","245","2652",
"읍부","여자","45~49","2015년","13117","3747","3400","1108","4862",
"읍부","여자","50~54","2015년","17266","2677","4191","3591","6807",
"읍부","여자","55~59","2015년","22133","2214","4475","8674","6770",
"읍부","여자","60~64","2015년","21234","1234","2545","13350","4105",
"읍부","여자","65~69","2015년","24618","843","1505","19945","2325",
"읍부","여자","70~74","2015년","32208","600","1180","29270","1158",
"읍부","여자","75~79","2015년","36849","294","892","34825","838",
"읍부","여자","80~84","2015년","29273","234","563","28224","252",
"읍부","여자","85세 이상","2015년","16166","113","133","15834","86",
"면부","계","합계","2015년","636792","103831","84659","387240","61062",
"면부","계","20세 미만","2015년","3525","3525","","","",
"면부","계","20~24","2015년","16010","15934","67","","9",
"면부","계","25~29","2015년","13913","13247","564","6","96",
"면부","계","30~34","2015년","15165","12842","1963","35","325",
"면부","계","35~39","2015년","15443","11217","3093","86","1047",
"면부","계","40~44","2015년","20369","11662","5508","233","2966",
"면부","계","45~49","2015년","27635","10481","9421","1360","6373",
"면부","계","50~54","2015년","40459","9173","14549","4996","11741",
"면부","계","55~59","2015년","52340","7191","16786","14495","13868",
"면부","계","60~64","2015년","50959","3796","12220","24670","10273",
"면부","계","65~69","2015년","59410","2307","8134","41757","7212",
"면부","계","70~74","2015년","81608","1206","5774","70468","4160",
"면부","계","75~79","2015년","103536","690","3761","97094","1991",
"면부","계","80~84","2015년","87271","352","1997","84178","744",
"면부","계","85세 이상","2015년","49149","208","822","47862","257",
"면부","남자","합계","2015년","211903","72532","58488","43756","37127",
"면부","남자","20세 미만","2015년","1977","1977","","","",
"면부","남자","20~24","2015년","9470","9424","41","","5",
"면부","남자","25~29","2015년","9942","9503","394","","45",
"면부","남자","30~34","2015년","11379","9756","1447","10","166",
"면부","남자","35~39","2015년","11611","8504","2463","45","599",
"면부","남자","40~44","2015년","14911","8976","4201","82","1652",
"면부","남자","45~49","2015년","18538","8067","6670","242","3559",
"면부","남자","50~54","2015년","24402","6903","9773","904","6822",
"면부","남자","55~59","2015년","27184","4877","11495","2417","8395",
"면부","남자","60~64","2015년","21139","2346","8634","3569","6590",
"면부","남자","65~69","2015년","17498","1232","5928","5431","4907",
"면부","남자","70~74","2015년","14671","574","3863","7517","2717",
"면부","남자","75~79","2015년","13421","244","2174","9788","1215",
"면부","남자","80~84","2015년","9792","114","927","8407","344",
"면부","남자","85세 이상","2015년","5968","35","478","5344","111",
"면부","여자","합계","2015년","424889","31299","26171","343484","23935",
"면부","여자","20세 미만","2015년","1548","1548","","","",
"면부","여자","20~24","2015년","6540","6510","26","","4",
"면부","여자","25~29","2015년","3971","3744","170","6","51",
"면부","여자","30~34","2015년","3786","3086","516","25","159",
"면부","여자","35~39","2015년","3832","2713","630","41","448",
"면부","여자","40~44","2015년","5458","2686","1307","151","1314",
"면부","여자","45~49","2015년","9097","2414","2751","1118","2814",
"면부","여자","50~54","2015년","16057","2270","4776","4092","4919",
"면부","여자","55~59","2015년","25156","2314","5291","12078","5473",
"면부","여자","60~64","2015년","29820","1450","3586","21101","3683",
"면부","여자","65~69","2015년","41912","1075","2206","36326","2305",
"면부","여자","70~74","2015년","66937","632","1911","62951","1443",
"면부","여자","75~79","2015년","90115","446","1587","87306","776",
"면부","여자","80~84","2015년","77479","238","1070","75771","400",
"면부","여자","85세 이상","2015년","43181","173","344","42518","146",
"서울특별시","계","합계","2015년","1114964","666685","90634","204096","153549",
"서울특별시","계","20세 미만","2015년","12612","12612","","","",
"서울특별시","계","20~24","2015년","93906","93766","82","9","49",
"서울특별시","계","25~29","2015년","157730","155884","1596","13","237",
"서울특별시","계","30~34","2015년","144964","137032","6065","47","1820",
"서울특별시","계","35~39","2015년","100013","87127","7363","200","5323",
"서울특별시","계","40~44","2015년","88614","66794","9785","466","11569",
"서울특별시","계","45~49","2015년","75893","43922","11754","1370","18847",
"서울특별시","계","50~54","2015년","72223","27993","12726","4616","26888",
"서울특별시","계","55~59","2015년","77869","19828","13748","12644","31649",
"서울특별시","계","60~64","2015년","66776","10058","10412","22852","23454",
"서울특별시","계","65~69","2015년","65104","5466","7048","35296","17294",
"서울특별시","계","70~74","2015년","60875","3220","5110","42329","10216",
"서울특별시","계","75~79","2015년","49976","1780","3077","40672","4447",
"서울특별시","계","80~84","2015년","31734","882","1399","28144","1309",
"서울특별시","계","85세 이상","2015년","16675","321","469","15438","447",
"서울특별시","남자","합계","2015년","511647","351095","50131","33842","76579",
"서울특별시","남자","20세 미만","2015년","5773","5773","","","",
"서울특별시","남자","20~24","2015년","36840","36785","36","","19",
"서울특별시","남자","25~29","2015년","78727","78071","585","7","64",
"서울특별시","남자","30~34","2015년","81357","77242","3319","22","774",
"서울특별시","남자","35~39","2015년","56290","49088","4679","111","2412",
"서울특별시","남자","40~44","2015년","51234","39169","6422","138","5505",
"서울특별시","남자","45~49","2015년","44115","26929","7449","414","9323",
"서울특별시","남자","50~54","2015년","39105","17030","7380","1085","13610",
"서울특별시","남자","55~59","2015년","36365","11332","7109","2171","15753",
"서울특별시","남자","60~64","2015년","25523","5160","4831","3935","11597",
"서울특별시","남자","65~69","2015년","20943","2509","3531","5703","9200",
"서울특별시","남자","70~74","2015년","16464","1326","2390","7407","5341",
"서울특별시","남자","75~79","2015년","10496","517","1493","6274","2212",
"서울특별시","남자","80~84","2015년","5441","106","693","4059","583",
"서울특별시","남자","85세 이상","2015년","2974","58","214","2516","186",
"서울특별시","여자","합계","2015년","603317","315590","40503","170254","76970",
"서울특별시","여자","20세 미만","2015년","6839","6839","","","",
"서울특별시","여자","20~24","2015년","57066","56981","46","9","30",
"서울특별시","여자","25~29","2015년","79003","77813","1011","6","173",
"서울특별시","여자","30~34","2015년","63607","59790","2746","25","1046",
"서울특별시","여자","35~39","2015년","43723","38039","2684","89","2911",
"서울특별시","여자","40~44","2015년","37380","27625","3363","328","6064",
"서울특별시","여자","45~49","2015년","31778","16993","4305","956","9524",
"서울특별시","여자","50~54","2015년","33118","10963","5346","3531","13278",
"서울특별시","여자","55~59","2015년","41504","8496","6639","10473","15896",
"서울특별시","여자","60~64","2015년","41253","4898","5581","18917","11857",
"서울특별시","여자","65~69","2015년","44161","2957","3517","29593","8094",
"서울특별시","여자","70~74","2015년","44411","1894","2720","34922","4875",
"서울특별시","여자","75~79","2015년","39480","1263","1584","34398","2235",
"서울특별시","여자","80~84","2015년","26293","776","706","24085","726",
"서울특별시","여자","85세 이상","2015년","13701","263","255","12922","261",
"종로구","계","합계","2015년","22726","14087","2684","3693","2262",
"종로구","계","20세 미만","2015년","305","305","","","",
"종로구","계","20~24","2015년","2693","2693","","","",
"종로구","계","25~29","2015년","3845","3793","52","","",
"종로구","계","30~34","2015년","2351","2161","170","","20",
"종로구","계","35~39","2015년","1548","1372","142","","34",
"종로구","계","40~44","2015년","1452","1007","234","2","209",
"종로구","계","45~49","2015년","1527","843","373","3","308",
"종로구","계","50~54","2015년","1529","533","500","82","414",
"종로구","계","55~59","2015년","1399","509","244","162","484",
"종로구","계","60~64","2015년","1253","366","319","300","268",
"종로구","계","65~69","2015년","1373","217","215","650","291",
"종로구","계","70~74","2015년","1351","135","195","846","175",
"종로구","계","75~79","2015년","1084","90","157","804","33",
"종로구","계","80~84","2015년","672","49","46","565","12",
"종로구","계","85세 이상","2015년","344","14","37","279","14",
"종로구","남자","합계","2015년","11446","7916","1538","666","1326",
"종로구","남자","20세 미만","2015년","133","133","","","",
"종로구","남자","20~24","2015년","1335","1335","","","",
"종로구","남자","25~29","2015년","2353","2320","33","","",
"종로구","남자","30~34","2015년","1294","1160","124","","10",
"종로구","남자","35~39","2015년","944","825","91","","28",
"종로구","남자","40~44","2015년","791","523","169","2","97",
"종로구","남자","45~49","2015년","868","500","209","","159",
"종로구","남자","50~54","2015년","891","302","320","24","245",
"종로구","남자","55~59","2015년","779","297","125","52","305",
"종로구","남자","60~64","2015년","581","266","136","22","157",
"종로구","남자","65~69","2015년","496","113","74","126","183",
"종로구","남자","70~74","2015년","455","76","112","158","109",
"종로구","남자","75~79","2015년","288","49","85","127","27",
"종로구","남자","80~84","2015년","143","5","31","101","6",
"종로구","남자","85세 이상","2015년","95","12","29","54","",
"종로구","여자","합계","2015년","11280","6171","1146","3027","936",
"종로구","여자","20세 미만","2015년","172","172","","","",
"종로구","여자","20~24","2015년","1358","1358","","","",
"종로구","여자","25~29","2015년","1492","1473","19","","",
"종로구","여자","30~34","2015년","1057","1001","46","","10",
"종로구","여자","35~39","2015년","604","547","51","","6",
"종로구","여자","40~44","2015년","661","484","65","","112",
"종로구","여자","45~49","2015년","659","343","164","3","149",
"종로구","여자","50~54","2015년","638","231","180","58","169",
"종로구","여자","55~59","2015년","620","212","119","110","179",
"종로구","여자","60~64","2015년","672","100","183","278","111",
"종로구","여자","65~69","2015년","877","104","141","524","108",
"종로구","여자","70~74","2015년","896","59","83","688","66",
"종로구","여자","75~79","2015년","796","41","72","677","6",
"종로구","여자","80~84","2015년","529","44","15","464","6",
"종로구","여자","85세 이상","2015년","249","2","8","225","14",
"중구","계","합계","2015년","19124","10859","1496","3950","2819",
"중구","계","20세 미만","2015년","242","242","","","",
"중구","계","20~24","2015년","1612","1606","","","6",
"중구","계","25~29","2015년","2070","2052","18","","",
"중구","계","30~34","2015년","1991","1906","69","","16",
"중구","계","35~39","2015년","1474","1305","111","18","40",
"중구","계","40~44","2015년","1462","1091","154","17","200",
"중구","계","45~49","2015년","1655","1055","228","30","342",
"중구","계","50~54","2015년","1550","665","251","101","533",
"중구","계","55~59","2015년","1350","445","162","181","562",
"중구","계","60~64","2015년","1164","178","187","357","442",
"중구","계","65~69","2015년","1331","134","149","710","338",
"중구","계","70~74","2015년","1347","90","85","931","241",
"중구","계","75~79","2015년","1070","57","63","872","78",
"중구","계","80~84","2015년","502","16","19","456","11",
"중구","계","85세 이상","2015년","304","17","","277","10",
"중구","남자","합계","2015년","9664","6132","930","940","1662",
"중구","남자","20세 미만","2015년","94","94","","","",
"중구","남자","20~24","2015년","684","684","","","",
"중구","남자","25~29","2015년","1168","1168","","","",
"중구","남자","30~34","2015년","1199","1143","51","","5",
"중구","남자","35~39","2015년","913","829","72","5","7",
"중구","남자","40~44","2015년","912","681","105","10","116",
"중구","남자","45~49","2015년","981","649","141","11","180",
"중구","남자","50~54","2015년","854","421","156","24","253",
"중구","남자","55~59","2015년","750","273","89","55","333",
"중구","남자","60~64","2015년","551","99","97","100","255",
"중구","남자","65~69","2015년","610","42","109","204","255",
"중구","남자","70~74","2015년","500","33","55","230","182",
"중구","남자","75~79","2015년","318","14","47","193","64",
"중구","남자","80~84","2015년","85","","8","69","8",
"중구","남자","85세 이상","2015년","45","2","","39","4",
"중구","여자","합계","2015년","9460","4727","566","3010","1157",
"중구","여자","20세 미만","2015년","148","148","","","",
"중구","여자","20~24","2015년","928","922","","","6",
"중구","여자","25~29","2015년","902","884","18","","",
"중구","여자","30~34","2015년","792","763","18","","11",
"중구","여자","35~39","2015년","561","476","39","13","33",
"중구","여자","40~44","2015년","550","410","49","7","84",
"중구","여자","45~49","2015년","674","406","87","19","162",
"중구","여자","50~54","2015년","696","244","95","77","280",
"중구","여자","55~59","2015년","600","172","73","126","229",
"중구","여자","60~64","2015년","613","79","90","257","187",
"중구","여자","65~69","2015년","721","92","40","506","83",
"중구","여자","70~74","2015년","847","57","30","701","59",
"중구","여자","75~79","2015년","752","43","16","679","14",
"중구","여자","80~84","2015년","417","16","11","387","3",
"중구","여자","85세 이상","2015년","259","15","","238","6",
"용산구","계","합계","2015년","31109","19275","3060","5397","3377",
"용산구","계","20세 미만","2015년","192","192","","","",
"용산구","계","20~24","2015년","2218","2218","","","",
"용산구","계","25~29","2015년","3741","3690","51","","",
"용산구","계","30~34","2015년","4262","3962","243","","57",
"용산구","계","35~39","2015년","3268","2727","408","8","125",
"용산구","계","40~44","2015년","2792","2167","275","9","341",
"용산구","계","45~49","2015년","2472","1574","446","42","410",
"용산구","계","50~54","2015년","1931","875","335","89","632",
"용산구","계","55~59","2015년","2115","812","561","325","417",
"용산구","계","60~64","2015년","1738","436","235","485","582",
"용산구","계","65~69","2015년","1533","219","153","788","373",
"용산구","계","70~74","2015년","1677","222","155","1057","243",
"용산구","계","75~79","2015년","1562","107","108","1204","143",
"용산구","계","80~84","2015년","1085","60","61","936","28",
"용산구","계","85세 이상","2015년","523","14","29","454","26",
"용산구","남자","합계","2015년","13674","9578","1608","838","1650",
"용산구","남자","20세 미만","2015년","69","69","","","",
"용산구","남자","20~24","2015년","625","625","","","",
"용산구","남자","25~29","2015년","1761","1761","","","",
"용산구","남자","30~34","2015년","2322","2187","115","","20",
"용산구","남자","35~39","2015년","1799","1444","282","8","65",
"용산구","남자","40~44","2015년","1463","1201","121","4","137",
"용산구","남자","45~49","2015년","1317","777","311","13","216",
"용산구","남자","50~54","2015년","1092","497","238","26","331",
"용산구","남자","55~59","2015년","934","421","196","75","242",
"용산구","남자","60~64","2015년","791","273","117","110","291",
"용산구","남자","65~69","2015년","497","129","62","123","183",
"용산구","남자","70~74","2015년","416","139","59","107","111",
"용산구","남자","75~79","2015년","343","47","70","191","35",
"용산구","남자","80~84","2015년","154","2","37","103","12",
"용산구","남자","85세 이상","2015년","91","6","","78","7",
"용산구","여자","합계","2015년","17435","9697","1452","4559","1727",
"용산구","여자","20세 미만","2015년","123","123","","","",
"용산구","여자","20~24","2015년","1593","1593","","","",
"용산구","여자","25~29","2015년","1980","1929","51","","",
"용산구","여자","30~34","2015년","1940","1775","128","","37",
"용산구","여자","35~39","2015년","1469","1283","126","","60",
"용산구","여자","40~44","2015년","1329","966","154","5","204",
"용산구","여자","45~49","2015년","1155","797","135","29","194",
"용산구","여자","50~54","2015년","839","378","97","63","301",
"용산구","여자","55~59","2015년","1181","391","365","250","175",
"용산구","여자","60~64","2015년","947","163","118","375","291",
"용산구","여자","65~69","2015년","1036","90","91","665","190",
"용산구","여자","70~74","2015년","1261","83","96","950","132",
"용산구","여자","75~79","2015년","1219","60","38","1013","108",
"용산구","여자","80~84","2015년","931","58","24","833","16",
"용산구","여자","85세 이상","2015년","432","8","29","376","19",
"성동구","계","합계","2015년","35225","22509","2643","5776","4297",
"성동구","계","20세 미만","2015년","622","622","","","",
"성동구","계","20~24","2015년","3694","3683","11","","",
"성동구","계","25~29","2015년","5007","4955","52","","",
"성동구","계","30~34","2015년","4010","3851","113","","46",
"성동구","계","35~39","2015년","2986","2627","210","5","144",
"성동구","계","40~44","2015년","3076","2416","286","7","367",
"성동구","계","45~49","2015년","2615","1732","317","10","556",
"성동구","계","50~54","2015년","2451","1053","469","146","783",
"성동구","계","55~59","2015년","2220","744","392","310","774",
"성동구","계","60~64","2015년","2023","448","266","602","707",
"성동구","계","65~69","2015년","1765","182","181","906","496",
"성동구","계","70~74","2015년","1822","124","169","1266","263",
"성동구","계","75~79","2015년","1509","40","109","1233","127",
"성동구","계","80~84","2015년","974","26","47","879","22",
"성동구","계","85세 이상","2015년","451","6","21","412","12",
"성동구","남자","합계","2015년","17644","13155","1445","881","2163",
"성동구","남자","20세 미만","2015년","332","332","","","",
"성동구","남자","20~24","2015년","1952","1952","","","",
"성동구","남자","25~29","2015년","2854","2829","25","","",
"성동구","남자","30~34","2015년","2353","2276","61","","16",
"성동구","남자","35~39","2015년","1737","1554","125","","58",
"성동구","남자","40~44","2015년","1910","1525","223","","162",
"성동구","남자","45~49","2015년","1691","1160","177","","354",
"성동구","남자","50~54","2015년","1535","755","274","50","456",
"성동구","남자","55~59","2015년","1086","418","211","57","400",
"성동구","남자","60~64","2015년","761","212","125","92","332",
"성동구","남자","65~69","2015년","574","91","85","177","221",
"성동구","남자","70~74","2015년","387","39","50","187","111",
"성동구","남자","75~79","2015년","273","6","51","171","45",
"성동구","남자","80~84","2015년","134","6","23","97","8",
"성동구","남자","85세 이상","2015년","65","","15","50","",
"성동구","여자","합계","2015년","17581","9354","1198","4895","2134",
"성동구","여자","20세 미만","2015년","290","290","","","",
"성동구","여자","20~24","2015년","1742","1731","11","","",
"성동구","여자","25~29","2015년","2153","2126","27","","",
"성동구","여자","30~34","2015년","1657","1575","52","","30",
"성동구","여자","35~39","2015년","1249","1073","85","5","86",
"성동구","여자","40~44","2015년","1166","891","63","7","205",
"성동구","여자","45~49","2015년","924","572","140","10","202",
"성동구","여자","50~54","2015년","916","298","195","96","327",
"성동구","여자","55~59","2015년","1134","326","181","253","374",
"성동구","여자","60~64","2015년","1262","236","141","510","375",
"성동구","여자","65~69","2015년","1191","91","96","729","275",
"성동구","여자","70~74","2015년","1435","85","119","1079","152",
"성동구","여자","75~79","2015년","1236","34","58","1062","82",
"성동구","여자","80~84","2015년","840","20","24","782","14",
"성동구","여자","85세 이상","2015년","386","6","6","362","12",
"광진구","계","합계","2015년","54407","37626","3443","6612","6726",
"광진구","계","20세 미만","2015년","750","750","","","",
"광진구","계","20~24","2015년","6189","6189","","","",
"광진구","계","25~29","2015년","9892","9803","72","","17",
"광진구","계","30~34","2015년","8303","7921","288","","94",
"광진구","계","35~39","2015년","5501","4903","249","15","334",
"광진구","계","40~44","2015년","4262","3317","381","6","558",
"광진구","계","45~49","2015년","3531","1978","477","61","1015",
"광진구","계","50~54","2015년","3151","1320","410","193","1228",
"광진구","계","55~59","2015년","3352","798","637","554","1363",
"광진구","계","60~64","2015년","2362","299","420","763","880",
"광진구","계","65~69","2015년","2065","197","236","997","635",
"광진구","계","70~74","2015년","2007","44","159","1402","402",
"광진구","계","75~79","2015년","1536","101","93","1178","164",
"광진구","계","80~84","2015년","986","6","14","939","27",
"광진구","계","85세 이상","2015년","520","","7","504","9",
"광진구","남자","합계","2015년","26575","19952","2012","1261","3350",
"광진구","남자","20세 미만","2015년","365","365","","","",
"광진구","남자","20~24","2015년","2521","2521","","","",
"광진구","남자","25~29","2015년","4976","4940","36","","",
"광진구","남자","30~34","2015년","4485","4306","144","","35",
"광진구","남자","35~39","2015년","3227","2834","194","15","184",
"광진구","남자","40~44","2015년","2428","1932","253","","243",
"광진구","남자","45~49","2015년","2157","1307","315","25","510",
"광진구","남자","50~54","2015년","1817","911","224","53","629",
"광진구","남자","55~59","2015년","1644","520","342","126","656",
"광진구","남자","60~64","2015년","987","161","224","173","429",
"광진구","남자","65~69","2015년","777","120","154","170","333",
"광진구","남자","70~74","2015년","565","8","86","262","209",
"광진구","남자","75~79","2015년","400","27","33","247","93",
"광진구","남자","80~84","2015년","135","","","115","20",
"광진구","남자","85세 이상","2015년","91","","7","75","9",
"광진구","여자","합계","2015년","27832","17674","1431","5351","3376",
"광진구","여자","20세 미만","2015년","385","385","","","",
"광진구","여자","20~24","2015년","3668","3668","","","",
"광진구","여자","25~29","2015년","4916","4863","36","","17",
"광진구","여자","30~34","2015년","3818","3615","144","","59",
"광진구","여자","35~39","2015년","2274","2069","55","","150",
"광진구","여자","40~44","2015년","1834","1385","128","6","315",
"광진구","여자","45~49","2015년","1374","671","162","36","505",
"광진구","여자","50~54","2015년","1334","409","186","140","599",
"광진구","여자","55~59","2015년","1708","278","295","428","707",
"광진구","여자","60~64","2015년","1375","138","196","590","451",
"광진구","여자","65~69","2015년","1288","77","82","827","302",
"광진구","여자","70~74","2015년","1442","36","73","1140","193",
"광진구","여자","75~79","2015년","1136","74","60","931","71",
"광진구","여자","80~84","2015년","851","6","14","824","7",
"광진구","여자","85세 이상","2015년","429","","","429","",
"동대문구","계","합계","2015년","52738","33416","2864","9414","7044",
"동대문구","계","20세 미만","2015년","1510","1510","","","",
"동대문구","계","20~24","2015년","8615","8615","","","",
"동대문구","계","25~29","2015년","7491","7401","61","","29",
"동대문구","계","30~34","2015년","5190","5018","114","","58",
