"행정구역별","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별","성별","연령별",취업 1인가구(15세 이상)-계,관리자,전문가 및 관련 종사자,사무 종사자,서비스 종사자,판매 종사자,농림어업 숙련 종사자,기능원 및 관련 기능 종사자,장치·기계조작 및 조립 종사자,단순 노무 종사자,기타,미상
"동부","남자","50~54세",136615,3413,15772,16478,7022,10801,1153,28859,27584,25370,163,
"동부","남자","55~59세",111650,2365,11752,11440,5702,7873,1411,22022,24209,24818,58,
"동부","남자","60~64세",61440,840,5403,4318,2855,3864,1117,10292,14324,18423,4,
"동부","남자","65~69세",30444,342,2431,1906,1491,1843,894,3534,6155,11848,,
"동부","남자","70세 이상",20807,176,2103,1338,1119,1541,1361,1300,2714,9155,,
"동부","여자","합계",1034559,7369,261416,179695,217869,142641,9242,33432,48039,134145,711,
"동부","여자","15~19세",6403,,592,891,2784,1232,6,116,347,435,,
"동부","여자","20~24세",85364,65,30393,17604,17319,11486,24,1458,4603,2333,79,
"동부","여자","25~29세",152050,376,67147,41144,16708,15505,19,2296,6532,2005,318,
"동부","여자","30~34세",132437,1124,50353,37282,16720,17097,59,2019,5382,2293,108,
"동부","여자","35~39세",100959,1091,33554,26836,15005,14866,72,2039,4375,3045,76,
"동부","여자","40~44세",97431,1195,26437,21431,18745,16530,143,2961,5125,4812,52,
"동부","여자","45~49세",96583,1023,20656,14819,23563,16890,237,4590,6106,8650,49,
"동부","여자","50~54세",100820,1069,15260,9455,31492,15999,358,5660,5947,15562,18,
"동부","여자","55~59세",105157,894,9501,6014,36631,14343,1005,5848,5615,25295,11,
"동부","여자","60~64세",71346,363,4442,2482,22409,8394,1298,3796,2610,25552,,
"동부","여자","65~69세",39906,102,1717,1021,9935,4845,1488,1591,872,18335,,
"동부","여자","70세 이상",46103,67,1364,716,6558,5454,4533,1058,525,25828,,
"읍부","계","합계",251500,2179,35418,31528,31000,18872,24084,24653,39837,40764,3165,
"읍부","계","15~19세",948,,54,140,227,86,,126,216,99,,
"읍부","계","20~24세",8840,,2274,1511,994,747,22,573,1591,466,662,
"읍부","계","25~29세",21587,27,6755,4824,1476,1098,60,1593,4184,769,801,
"읍부","계","30~34세",25148,195,5966,5416,1885,1899,123,2639,5322,1227,476,
"읍부","계","35~39세",22613,111,4023,4760,1790,1731,242,2908,5004,1620,424,
"읍부","계","40~44세",24949,234,4092,4184,2612,2070,428,3401,5244,2330,354,
"읍부","계","45~49세",28013,340,3873,4001,3569,2490,682,3756,5683,3350,269,
"읍부","계","50~54세",29698,519,3548,3140,5029,2483,1470,3684,4975,4695,155,
"읍부","계","55~59세",29466,499,2748,2254,6043,2113,2213,3127,4376,6069,24,
"읍부","계","60~64세",19499,182,1126,775,3727,1551,2822,1721,2080,5515,,
"읍부","계","65~69세",14038,41,519,317,2054,994,3923,746,746,4698,,
"읍부","계","70세 이상",26701,31,440,206,1594,1610,12099,379,416,9926,,
"읍부","남자","합계",140346,1704,19639,19675,7294,8243,8544,21652,31774,18978,2843,
"읍부","남자","15~19세",540,,12,45,106,27,,122,168,60,,
"읍부","남자","20~24세",4149,,544,427,529,308,15,500,932,346,548,
"읍부","남자","25~29세",13734,27,3359,2646,839,736,54,1471,3237,662,703,
"읍부","남자","30~34세",18044,142,3767,3326,993,1171,98,2524,4529,1058,436,
"읍부","남자","35~39세",16871,85,2509,3170,804,1203,238,2699,4436,1331,396,
"읍부","남자","40~44세",17524,190,2298,2709,945,1128,341,3221,4440,1916,336,
"읍부","남자","45~49세",18038,233,2270,2575,850,1137,542,3379,4529,2265,258,
"읍부","남자","50~54세",17651,421,2008,2122,796,1090,1137,3251,3772,2904,150,
"읍부","남자","55~59세",15290,400,1677,1682,693,773,1285,2569,3221,2974,16,
"읍부","남자","60~64세",8507,146,644,569,406,337,1179,1331,1746,2149,,
"읍부","남자","65~69세",4729,29,268,248,180,180,1257,441,519,1607,,
"읍부","남자","70세 이상",5269,31,283,156,153,153,2398,144,245,1706,,
"읍부","여자","합계",111154,475,15779,11853,23706,10629,15540,3001,8063,21786,322,
"읍부","여자","15~19세",408,,42,95,121,59,,4,48,39,,
"읍부","여자","20~24세",4691,,1730,1084,465,439,7,73,659,120,114,
"읍부","여자","25~29세",7853,,3396,2178,637,362,6,122,947,107,98,
"읍부","여자","30~34세",7104,53,2199,2090,892,728,25,115,793,169,40,
"읍부","여자","35~39세",5742,26,1514,1590,986,528,4,209,568,289,28,
"읍부","여자","40~44세",7425,44,1794,1475,1667,942,87,180,804,414,18,
"읍부","여자","45~49세",9975,107,1603,1426,2719,1353,140,377,1154,1085,11,
"읍부","여자","50~54세",12047,98,1540,1018,4233,1393,333,433,1203,1791,5,
"읍부","여자","55~59세",14176,99,1071,572,5350,1340,928,558,1155,3095,8,
"읍부","여자","60~64세",10992,36,482,206,3321,1214,1643,390,334,3366,,
"읍부","여자","65~69세",9309,12,251,69,1874,814,2666,305,227,3091,,
"읍부","여자","70세 이상",21432,,157,50,1441,1457,9701,235,171,8220,,
"면부","계","합계",298171,1847,23644,18115,28679,13640,101555,19995,28003,58982,3711,
"면부","계","15~19세",552,,40,63,111,74,2,46,162,51,3,
"면부","계","20~24세",4587,11,777,641,607,384,57,403,843,328,536,
"면부","계","25~29세",11180,17,3044,1947,805,596,136,931,2376,418,910,
"면부","계","30~34세",13434,84,3123,2690,1018,877,274,1312,2646,679,731,
"면부","계","35~39세",13655,120,2306,2383,1128,896,509,1782,2868,1171,492,
"면부","계","40~44세",17556,169,2403,2381,1874,1203,1116,2379,3612,1926,493,
"면부","계","45~49세",22362,264,2605,2321,2922,1466,2645,2880,3819,3087,353,
"면부","계","50~54세",31315,418,3271,2322,5105,1866,5275,3400,4290,5207,161,
"면부","계","55~59세",37587,489,3095,1889,6362,2129,9104,3444,3771,7274,30,
"면부","계","60~64세",31889,217,1580,871,4448,1335,11825,1932,2219,7460,2,
"면부","계","65~69세",30331,48,765,342,2583,1063,16092,862,898,7678,,
"면부","계","70세 이상",83723,10,635,265,1716,1751,54520,624,499,23703,,
"면부","남자","합계",140753,1396,14226,12287,6959,6422,32478,17229,23323,22957,3476,
"면부","남자","15~19세",365,,22,34,47,47,,46,118,48,3,
"면부","남자","20~24세",2800,,237,231,322,189,55,361,616,288,501,
"면부","남자","25~29세",7961,10,1779,1142,452,399,113,880,1996,337,853,
"면부","남자","30~34세",10307,73,2016,1828,654,588,234,1254,2402,591,667,
"면부","남자","35~39세",10656,86,1482,1736,546,673,455,1688,2539,995,456,
"면부","남자","40~44세",13290,135,1496,1672,757,830,1019,2250,3109,1549,473,
"면부","남자","45~49세",15656,200,1412,1631,876,807,2209,2634,3178,2372,337,
"면부","남자","50~54세",19921,298,1886,1601,1046,930,3904,3016,3564,3519,157,
"면부","남자","55~59세",20670,363,1926,1364,1040,889,5286,2831,3070,3874,27,
"면부","남자","60~64세",14204,191,1062,602,632,548,4735,1496,1761,3175,2,
"면부","남자","65~69세",9689,36,495,268,367,277,4724,539,685,2298,,
"면부","남자","70세 이상",15234,4,413,178,220,245,9744,234,285,3911,,
"면부","여자","합계",157418,451,9418,5828,21720,7218,69077,2766,4680,36025,235,
"면부","여자","15~19세",187,,18,29,64,27,2,,44,3,,
"면부","여자","20~24세",1787,11,540,410,285,195,2,42,227,40,35,
"면부","여자","25~29세",3219,7,1265,805,353,197,23,51,380,81,57,
"면부","여자","30~34세",3127,11,1107,862,364,289,40,58,244,88,64,
"면부","여자","35~39세",2999,34,824,647,582,223,54,94,329,176,36,
"면부","여자","40~44세",4266,34,907,709,1117,373,97,129,503,377,20,
"면부","여자","45~49세",6706,64,1193,690,2046,659,436,246,641,715,16,
"면부","여자","50~54세",11394,120,1385,721,4059,936,1371,384,726,1688,4,
"면부","여자","55~59세",16917,126,1169,525,5322,1240,3818,613,701,3400,3,
"면부","여자","60~64세",17685,26,518,269,3816,787,7090,436,458,4285,,
"면부","여자","65~69세",20642,12,270,74,2216,786,11368,323,213,5380,,
"면부","여자","70세 이상",68489,6,222,87,1496,1506,44776,390,214,19792,,
"서울특별시","계","합계",658984,11635,193667,127650,84322,85209,489,49993,31892,73632,495,
"서울특별시","계","15~19세",2932,,465,384,1097,469,,83,11,423,,
"서울특별시","계","20~24세",40804,57,14391,8137,9168,5491,4,1237,634,1685,,
"서울특별시","계","25~29세",115082,608,52537,28399,12859,12490,16,3624,1691,2752,106,
"서울특별시","계","30~34세",121822,2171,48623,31169,12171,16355,67,4965,2590,3561,150,
"서울특별시","계","35~39세",83919,1780,28825,19925,8912,12574,40,5170,2561,4024,108,
"서울특별시","계","40~44세",71950,2135,19608,15569,7668,10544,30,7002,3921,5424,49,
"서울특별시","계","45~49세",58722,1673,11850,9894,6819,9053,30,7830,4306,7195,72,
"서울특별시","계","50~54세",51242,1371,7445,6024,7603,6563,76,8129,4758,9263,10,
"서울특별시","계","55~59세",48625,1033,5055,4380,8584,5498,64,6698,5060,12253,,
"서울특별시","계","60~64세",31395,423,2459,2031,5370,3112,65,3468,3535,10932,,
"서울특별시","계","65~69세",17789,290,1272,1007,2434,1614,36,1305,1874,7957,,
"서울특별시","계","70세 이상",14702,94,1137,731,1637,1446,61,482,951,8163,,
"서울특별시","남자","합계",342652,8214,93884,57653,31207,42509,310,38181,28038,42211,445,
"서울특별시","남자","15~19세",1175,,187,109,397,203,,35,,244,,
"서울특별시","남자","20~24세",12197,25,3252,1730,3470,1907,,562,323,928,,
"서울특별시","남자","25~29세",52229,338,22981,10440,6439,5926,16,2626,1232,2141,90,
"서울특별시","남자","30~34세",68497,1545,26666,14639,6355,9856,48,4116,2191,2939,142,
"서울특별시","남자","35~39세",47799,1160,15681,9120,4493,7283,35,4421,2194,3313,99,
"서울특별시","남자","40~44세",42674,1542,10464,7988,3134,5730,14,5718,3623,4412,49,
"서울특별시","남자","45~49세",35157,1306,6089,5304,2312,4611,30,6042,3822,5581,60,
"서울특별시","남자","50~54세",29317,985,3436,3418,1870,2894,43,6271,4299,6096,5,
"서울특별시","남자","55~59세",25084,700,2554,2534,1448,2084,39,4872,4571,6282,,
