"행정구역별(시군구)","거처의 종류",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"서울특별시","연립주택",21613,21613,21552,61,X,X,X,X,21613,X,X,X,21613,21519,94,X,X,X,X,21613,21560,53,X,21613,X
"서울특별시","다세대주택",250810,250810,250197,613,X,X,X,X,250795,X,10,5,250810,250111,699,X,X,X,X,250810,250354,456,X,250810,X
"서울특별시","비거주용건물내 주택",43501,43291,41498,1793,210,189,21,X,43458,X,34,5,43301,41663,1638,200,156,44,X,43243,41905,1338,258,43441,60
"서울특별시","주택이외의 거처",227011,225426,212914,12512,404,358,46,1181,226588,182,85,156,226047,214402,11645,926,732,194,38,226424,218073,8351,587,226574,437
"부산광역시","계",455207,449192,446361,2831,5713,5566,147,302,454061,713,164,269,448762,440454,8308,6439,4282,2157,6,444746,443013,1733,10461,449309,5898
"부산광역시","주택",398449,392882,391456,1426,5567,5434,133,X,397405,665,153,226,392200,385213,6987,6249,4132,2117,X,388283,387404,879,10166,392765,5684
"부산광역시","단독주택",152360,146907,145799,1108,5453,5327,126,X,151427,617,122,194,146217,139814,6403,6143,4067,2076,X,142438,141775,663,9922,146824,5536
"부산광역시","아파트",166184,166184,166161,23,X,X,X,X,166184,X,X,X,166184,166075,109,X,X,X,X,166184,166168,16,X,166184,X
"부산광역시","연립주택",8044,8044,8038,6,X,X,X,X,7998,14,23,9,8044,8035,9,X,X,X,X,8044,8039,5,X,8044,X
"부산광역시","다세대주택",64262,64262,64159,103,X,X,X,X,64242,13,X,6,64262,64092,170,X,X,X,X,64262,64177,85,X,64262,X
"부산광역시","비거주용건물내 주택",7599,7485,7299,186,114,107,7,X,7554,21,7,17,7493,7197,296,106,65,41,X,7355,7245,110,244,7451,148
"부산광역시","주택이외의 거처",56758,56310,54905,1405,146,132,14,302,56656,48,11,43,56562,55241,1321,190,150,40,6,56463,55609,854,295,56544,214
"대구광역시","계",304543,302230,299784,2446,2107,2008,99,206,304223,126,158,36,300097,296391,3706,4428,3391,1037,18,300487,298955,1532,4056,302569,1974
"대구광역시","주택",287474,285472,283892,1580,2002,1917,85,X,287185,118,148,23,283267,280434,2833,4207,3261,946,X,283659,282721,938,3815,285709,1765
"대구광역시","단독주택",154841,152877,151374,1503,1964,1884,80,X,154560,116,142,23,150739,148038,2701,4102,3176,926,X,151156,150270,886,3685,153156,1685
"대구광역시","아파트",113508,113508,113494,14,X,X,X,X,113508,X,X,X,113508,113495,13,X,X,X,X,113508,113502,6,X,113508,X
"대구광역시","연립주택",2290,2290,2290,X,X,X,X,X,2290,X,X,X,2290,2289,X,X,X,X,X,2290,2290,X,X,2290,X
"대구광역시","다세대주택",12191,12191,12183,8,X,X,X,X,12191,X,X,X,12191,12184,7,X,X,X,X,12191,12185,6,X,12191,X
"대구광역시","비거주용건물내 주택",4644,4606,4551,55,38,33,5,X,4636,X,6,X,4539,4428,111,105,85,20,X,4514,4474,40,130,4564,80
"대구광역시","주택이외의 거처",17069,16758,15892,866,105,91,14,206,17038,8,10,13,16830,15957,873,221,130,91,18,16828,16234,594,241,16860,209
"인천광역시","계",324841,323796,321344,2452,959,931,28,86,321309,2700,374,458,323448,320926,2522,1388,1140,248,5,323650,322199,1451,1191,324309,532
"인천광역시","주택",273787,272870,272315,555,917,889,28,X,270420,2590,355,422,272474,271606,868,1313,1072,241,X,272656,272354,302,1131,273300,487
"인천광역시","단독주택",82477,81580,81128,452,897,870,27,X,79379,2488,321,289,81184,80450,734,1293,1055,238,X,81377,81153,224,1100,82002,475
"인천광역시","아파트",111710,111710,111687,23,X,X,X,X,111710,X,X,X,111710,111681,29,X,X,X,X,111710,111692,18,X,111710,X
"인천광역시","연립주택",6230,6230,6230,X,X,X,X,X,6191,20,11,8,6230,6230,X,X,X,X,X,6230,6230,X,X,6230,X
"인천광역시","다세대주택",68502,68502,68476,26,X,X,X,X,68351,23,16,112,68502,68478,24,X,X,X,X,68502,68487,15,X,68502,X
"인천광역시","비거주용건물내 주택",4868,4848,4794,54,20,19,X,X,4789,59,7,13,4848,4767,81,20,17,X,X,4837,4792,45,31,4856,12
"인천광역시","주택이외의 거처",51054,50926,49029,1897,42,42,X,86,50889,110,19,36,50974,49320,1654,75,68,7,5,50994,49845,1149,60,51009,45
"광주광역시","계",193948,192874,191549,1325,1009,979,30,65,193034,259,145,510,192783,191328,1455,1164,999,165,X,192544,191825,719,1404,193054,894
"광주광역시","주택",182484,181512,180796,716,972,944,28,X,181606,249,140,489,181373,180370,1003,1111,953,158,X,181125,180723,402,1359,181632,852
"광주광역시","단독주택",80427,79485,78799,686,942,914,28,X,79558,247,135,487,79328,78370,958,1099,941,158,X,79116,78737,379,1311,79606,821
"광주광역시","아파트",92954,92954,92947,7,X,X,X,X,92954,X,X,X,92954,92946,8,X,X,X,X,92954,92949,5,X,92954,X
"광주광역시","연립주택",2774,2774,2774,X,X,X,X,X,2774,X,X,X,2774,2774,X,X,X,X,X,2774,2774,X,X,2774,X
"광주광역시","다세대주택",3690,3690,3683,7,X,X,X,X,3690,X,X,X,3690,3686,X,X,X,X,X,3690,3687,X,X,3690,X
"광주광역시","비거주용건물내 주택",2639,2609,2593,16,30,30,X,X,2630,X,5,X,2627,2594,33,12,12,X,X,2591,2576,15,48,2608,31
"광주광역시","주택이외의 거처",11464,11362,10753,609,37,35,X,65,11428,10,5,21,11410,10958,452,53,46,7,X,11419,11102,317,45,11422,42
"대전광역시","계",228842,227784,225529,2255,942,898,44,116,228190,189,156,307,226760,225184,1576,2078,1751,327,X,227506,226243,1263,1336,227882,960
"대전광역시","주택",217646,216733,215113,1620,913,871,42,X,217032,181,149,284,215625,214604,1021,2021,1705,316,X,216378,215539,839,1268,216745,901
"대전광역시","단독주택",123309,122422,120881,1541,887,846,41,X,122712,179,148,270,121329,120393,936,1980,1668,312,X,122087,121294,793,1222,122447,862
"대전광역시","아파트",77841,77841,77825,16,X,X,X,X,77841,X,X,X,77841,77828,13,X,X,X,X,77841,77832,9,X,77841,X
"대전광역시","연립주택",2962,2962,2960,X,X,X,X,X,2962,X,X,X,2962,2960,X,X,X,X,X,2962,2961,X,X,2962,X
"대전광역시","다세대주택",9895,9895,9886,9,X,X,X,X,9887,X,X,8,9895,9888,7,X,X,X,X,9895,9889,6,X,9895,X
"대전광역시","비거주용건물내 주택",3639,3613,3561,52,26,25,X,X,3630,X,X,6,3598,3535,63,41,37,X,X,3593,3563,30,46,3600,39
"대전광역시","주택이외의 거처",11196,11051,10416,635,29,27,X,116,11158,8,7,23,11135,10580,555,57,46,11,X,11128,10704,424,68,11137,59
"울산광역시","계",122848,121778,120832,946,1019,982,37,51,120028,2596,95,129,121441,119276,2165,1405,970,435,X,121141,120588,553,1707,122182,666
"울산광역시","주택",113734,112732,112270,462,1002,966,36,X,111020,2523,80,111,112364,110619,1745,1370,942,428,X,112068,111827,241,1666,113093,641
"울산광역시","단독주택",58222,57245,56834,411,977,945,32,X,55687,2383,65,87,56875,55205,1670,1347,928,419,X,56614,56409,205,1608,57603,619
"울산광역시","아파트",44955,44955,44949,6,X,X,X,X,44955,X,X,X,44955,44948,7,X,X,X,X,44955,44950,5,X,44955,X
