"행정구역별(시군구)","성별",2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"전국","계",5203440,4783231,2710775,1433666,85109,432990,120691,420209,5397615,4921788,2742516,1504073,90023,468830,116346,475827,5618677,5088437,2765198,1605878,93832,500929,122600,530240,5848594,5269889,2762080,1750760,98323,538112,120614,578705,6147516,5521438,2789981,1926935,104497,575578,124447,626078,6643354,5920184,2921200,2124418,114584,635537,124445,723170,7165788,6356409,3024891,2373162,126862,699190,132304,809379
"전국","남자",2592963,2339842,1395997,627810,37035,209715,69285,253121,2675861,2390023,1413701,647345,38872,224774,65331,285838,2791849,2472990,1433565,690834,40645,238690,69256,318859,2906320,2562867,1439547,755843,42371,257199,67907,343453,3053733,2689181,1467214,832760,45034,273851,70322,364552,3304398,2888583,1543310,921921,50188,303554,69610,415815,3583770,3121254,1616676,1035510,56344,336932,75792,462516
"전국","여자",2610477,2443389,1314778,805856,48074,223275,51406,167088,2721754,2531765,1328815,856728,51151,244056,51015,189989,2826828,2615447,1331633,915044,53187,262239,53344,211381,2942274,2707022,1322533,994917,55952,280913,52707,235252,3093783,2832257,1322767,1094175,59463,301727,54125,261526,3338956,3031601,1377890,1202497,64396,331983,54835,307355,3582018,3235155,1408215,1337652,70518,362258,56512,346863
"읍부","계",448466,419385,243776,133302,12249,21370,8688,29081,477006,443407,254634,143100,13172,23906,8595,33599,499489,464749,262032,154381,13580,25610,9146,34740,539706,500727,272158,175509,14770,29059,9231,38979,563446,524877,274295,193155,15904,32071,9452,38569,620899,577090,297818,215827,17583,35726,10136,43809,674454,625806,311585,244714,19314,39611,10582,48648
"읍부","남자",230177,211007,124380,65611,5485,10700,4831,19170,246541,224012,130920,70397,5980,11905,4810,22529,259733,236453,136055,76140,6141,13015,5102,23280,282942,256953,143301,86799,6682,14985,5186,25989,295882,270294,146013,95426,7122,16460,5273,25588,328162,299371,160656,106764,7941,18358,5652,28791,358824,327050,170097,121670,8817,20517,5949,31774
"읍부","여자",218289,208378,119396,67691,6764,10670,3857,9911,230465,219395,123714,72703,7192,12001,3785,11070,239756,228296,125977,78241,7439,12595,4044,11460,256764,243774,128857,88710,8088,14074,4045,12990,267564,254583,128282,97729,8782,15611,4179,12981,292737,277719,137162,109063,9642,17368,4484,15018,315630,298756,141488,123044,10497,19094,4633,16874
"면부","계",630013,588993,502524,59774,5994,12283,8418,41020,657406,610256,513793,67863,6455,13602,8543,47150,677415,629479,524574,74213,6639,14581,9472,47936,684456,632656,527008,75875,6712,14122,8939,51800,686531,637330,524085,82749,7151,14413,8932,49201,721965,667769,544353,90146,7759,16049,9462,54196,762310,702584,567484,98750,8782,17923,9645,59726
"면부","남자",281075,253593,206513,32971,2919,6579,4611,27482,299492,267219,214503,37523,3200,7330,4663,32273,313029,279679,222000,41439,3243,7803,5194,33350,319872,284087,226246,42090,3310,7479,4962,35785,323363,289454,227632,45623,3526,7716,4957,33909,346313,308951,241824,49483,3882,8642,5120,37362,371366,329928,256260,54080,4438,9752,5398,41438
"면부","여자",348938,335400,296011,26803,3075,5704,3807,13538,357914,343037,299290,30340,3255,6272,3880,14877,364386,349800,302574,32774,3396,6778,4278,14586,364584,348569,300762,33785,3402,6643,3977,16015,363168,347876,296453,37126,3625,6697,3975,15292,375652,358818,302529,40663,3877,7407,4342,16834,390944,372656,311224,44670,4344,8171,4247,18288
"동부","계",4124961,3774853,1964475,1240590,66866,399337,103585,350108,4263203,3868125,1974089,1293110,70396,431322,99208,395078,4441773,3994209,1978592,1377284,73613,460738,103982,447564,4624432,4136506,1962914,1499376,76841,494931,102444,487926,4897539,4359231,1991601,1651031,81442,529094,106063,538308,5300490,4675325,2079029,1818445,89242,583762,104847,625165,5729024,5028019,2145822,2029698,98766,641656,112077,701005
"동부","남자",2081711,1875242,1065104,529228,28631,192436,59843,206469,2129828,1898792,1068278,539425,29692,205539,55858,231036,2219087,1956858,1075510,573255,31261,217872,58960,262229,2303506,2021827,1070000,626954,32379,234735,57759,281679,2434488,2129433,1093569,691711,34386,249675,60092,305055,2629923,2280261,1140830,765674,38365,276554,58838,349662,2853580,2464276,1190319,859760,43089,306663,64445,389304
