"동부","여자","30~34",161938,17754,41659,85941,8025,1351,7208
"동부","여자","35~39",127666,20848,31581,61236,6420,986,6595
"동부","여자","40~44",127981,29034,29810,55156,5978,1373,6630
"동부","여자","45~49",134176,37652,27603,54611,6415,1566,6329
"동부","여자","50~54",155313,52171,29112,57850,7435,2078,6667
"동부","여자","55~59",191988,81586,33838,59030,7880,2361,7293
"동부","여자","60~64",180339,89978,29795,45792,6264,1798,6712
"동부","여자","65~69",185021,102796,29778,38476,5705,1832,6434
"동부","여자","70~74",190627,107726,31555,36369,5564,1927,7486
"동부","여자","75~79",180096,101387,30858,32903,5690,1971,7287
"동부","여자","80~84",123041,63790,22917,24175,4005,1325,6829
"동부","여자","85세 이상",63056,29556,11665,13218,2540,963,5114
"읍부","계","합계",450831,209695,43560,116757,23982,14729,42108
"읍부","계","20세 미만",4082,203,192,1957,498,869,363
"읍부","계","20~24",21747,761,1561,10588,1898,4882,2057
"읍부","계","25~29",25555,2062,4557,11894,1478,1190,4374
"읍부","계","30~34",28161,4424,5527,12055,1446,408,4301
"읍부","계","35~39",25648,5678,4366,10598,1218,362,3426
"읍부","계","40~44",29023,7551,4138,11492,1673,556,3613
"읍부","계","45~49",33633,9987,3888,12735,2296,712,4015
"읍부","계","50~54",38469,14258,3731,12148,2929,873,4530
"읍부","계","55~59",41953,18996,3784,11188,2701,1014,4270
"읍부","계","60~64",33972,19609,2601,6601,1984,885,2292
"읍부","계","65~69",33995,22983,2104,4763,1560,673,1912
"읍부","계","70~74",39731,29477,2287,3921,1441,695,1910
"읍부","계","75~79",43159,33495,2230,3260,1401,692,2081
"읍부","계","80~84",33401,26286,1596,2358,942,506,1713
"읍부","계","85세 이상",18302,13925,998,1199,517,412,1251
"읍부","남자","합계",191116,57594,21376,65046,13335,7557,26208
"읍부","남자","20세 미만",2067,107,75,910,226,471,278
"읍부","남자","20~24",11356,447,742,5128,1045,2751,1243
"읍부","남자","25~29",16562,1318,2848,7313,991,920,3172
"읍부","남자","30~34",19465,3006,3848,8035,1054,257,3265
"읍부","남자","35~39",18367,4030,3026,7378,869,256,2808
"읍부","남자","40~44",19548,4788,2666,7465,1365,371,2893
"읍부","남자","45~49",20516,5466,2052,8052,1583,375,2988
"읍부","남자","50~54",21203,6516,1806,7211,1861,547,3262
"읍부","남자","55~59",19820,7175,1577,6017,1638,541,2872
"읍부","남자","60~64",12738,5608,1000,3317,1060,454,1299
"읍부","남자","65~69",9377,5169,476,1954,744,252,782
"읍부","남자","70~74",7523,4633,575,1076,430,196,613
"읍부","남자","75~79",6310,4475,330,678,314,108,405
"읍부","남자","80~84",4128,3114,243,359,122,31,259
"읍부","남자","85세 이상",2136,1742,112,153,33,27,69
"읍부","여자","합계",259715,152101,22184,51711,10647,7172,15900
"읍부","여자","20세 미만",2015,96,117,1047,272,398,85
"읍부","여자","20~24",10391,314,819,5460,853,2131,814
"읍부","여자","25~29",8993,744,1709,4581,487,270,1202
"읍부","여자","30~34",8696,1418,1679,4020,392,151,1036
"읍부","여자","35~39",7281,1648,1340,3220,349,106,618
"읍부","여자","40~44",9475,2763,1472,4027,308,185,720
"읍부","여자","45~49",13117,4521,1836,4683,713,337,1027
"읍부","여자","50~54",17266,7742,1925,4937,1068,326,1268
"읍부","여자","55~59",22133,11821,2207,5171,1063,473,1398
"읍부","여자","60~64",21234,14001,1601,3284,924,431,993
"읍부","여자","65~69",24618,17814,1628,2809,816,421,1130
"읍부","여자","70~74",32208,24844,1712,2845,1011,499,1297
"읍부","여자","75~79",36849,29020,1900,2582,1087,584,1676
"읍부","여자","80~84",29273,23172,1353,1999,820,475,1454
"읍부","여자","85세 이상",16166,12183,886,1046,484,385,1182
"면부","계","합계",636792,465775,22437,58000,22704,14059,53817
"면부","계","20세 미만",3525,114,180,1141,508,1307,275
"면부","계","20~24",16010,478,785,4878,2474,5330,2065
"면부","계","25~29",13913,1506,1650,4197,1368,871,4321
"면부","계","30~34",15165,2976,2183,4749,951,240,4066
"면부","계","35~39",15443,4224,1990,4788,880,231,3330
"면부","계","40~44",20369,6912,1933,5810,1275,317,4122
"면부","계","45~49",27635,12047,1878,6495,1837,624,4754
"면부","계","50~54",40459,21901,2274,7265,2524,779,5716
"면부","계","55~59",52340,33397,2209,6790,2996,949,5999
"면부","계","60~64",50959,37972,1658,4150,2299,716,4164
"면부","계","65~69",59410,49707,1389,2699,1587,676,3352
"면부","계","70~74",81608,72980,1451,2029,1337,592,3219
"면부","계","75~79",103536,95233,1277,1535,1210,625,3656
"면부","계","80~84",87271,80828,1078,991,953,519,2902
"면부","계","85세 이상",49149,45500,502,483,505,283,1876
"면부","남자","합계",211903,113110,11478,33644,13261,7642,32768
"면부","남자","20세 미만",1977,80,102,596,302,720,177
"면부","남자","20~24",9470,279,435,2698,1437,3217,1404
"면부","남자","25~29",9942,1022,1162,2809,1008,719,3222
"면부","남자","30~34",11379,2244,1689,3265,759,167,3255
"면부","남자","35~39",11611,3186,1452,3388,698,185,2702
"면부","남자","40~44",14911,5097,1266,3953,960,201,3434
"면부","남자","45~49",18538,7964,1046,4072,1325,389,3742
"면부","남자","50~54",24402,12541,1192,4388,1727,466,4088
"면부","남자","55~59",27184,15834,1127,3782,1933,515,3993
"면부","남자","60~64",21139,13878,723,2168,1386,402,2582
"면부","남자","65~69",17498,13169,468,1137,844,278,1602
"면부","남자","70~74",14671,11816,396,764,407,183,1105
"면부","남자","75~79",13421,11699,211,324,277,87,823
"면부","남자","80~84",9792,8775,152,204,152,98,411
"면부","남자","85세 이상",5968,5526,57,96,46,15,228
"면부","여자","합계",424889,352665,10959,24356,9443,6417,21049
"면부","여자","20세 미만",1548,34,78,545,206,587,98
"면부","여자","20~24",6540,199,350,2180,1037,2113,661
"면부","여자","25~29",3971,484,488,1388,360,152,1099
"면부","여자","30~34",3786,732,494,1484,192,73,811
"면부","여자","35~39",3832,1038,538,1400,182,46,628
"면부","여자","40~44",5458,1815,667,1857,315,116,688
"면부","여자","45~49",9097,4083,832,2423,512,235,1012
"면부","여자","50~54",16057,9360,1082,2877,797,313,1628
"면부","여자","55~59",25156,17563,1082,3008,1063,434,2006
"면부","여자","60~64",29820,24094,935,1982,913,314,1582
"면부","여자","65~69",41912,36538,921,1562,743,398,1750
"면부","여자","70~74",66937,61164,1055,1265,930,409,2114
"면부","여자","75~79",90115,83534,1066,1211,933,538,2833
"면부","여자","80~84",77479,72053,926,787,801,421,2491
"면부","여자","85세 이상",43181,39974,445,387,459,268,1648
"서울특별시","계","합계",1114964,203309,288518,482501,82808,8005,49823
"서울특별시","계","20세 미만",12612,309,1259,7932,2520,174,418
"서울특별시","계","20~24",93906,2480,13993,63078,11391,493,2471
"서울특별시","계","25~29",157730,6084,41176,91910,12225,837,5498
"서울특별시","계","30~34",144964,10760,47244,71255,8597,663,6445
"서울특별시","계","35~39",100013,12080,30415,45126,6665,603,5124
"서울특별시","계","40~44",88614,14579,24517,37043,6623,763,5089
"서울특별시","계","45~49",75893,12803,18901,32141,7175,766,4107
"서울특별시","계","50~54",72223,12310,17054,30931,6981,776,4171
"서울특별시","계","55~59",77869,17618,18157,30094,7257,826,3917
"서울특별시","계","60~64",66776,20474,16601,21653,4495,652,2901
"서울특별시","계","65~69",65104,25623,15749,17258,3328,545,2601
"서울특별시","계","70~74",60875,26566,15551,13592,2303,399,2464
"서울특별시","계","75~79",49976,21957,13871,10387,1607,272,1882
"서울특별시","계","80~84",31734,13353,9415,6286,1095,141,1444
"서울특별시","계","85세 이상",16675,6313,4615,3815,546,95,1291
"서울특별시","남자","합계",511647,63193,125863,238768,53321,4838,25664
"서울특별시","남자","20세 미만",5773,126,566,3495,1349,59,178
"서울특별시","남자","20~24",36840,981,5289,24293,5023,194,1060
"서울특별시","남자","25~29",78727,3288,20862,43806,7302,429,3040
"서울특별시","남자","30~34",81357,6193,27416,37685,5725,326,4012
"서울특별시","남자","35~39",56290,7121,16765,24588,4551,410,2855
"서울특별시","남자","40~44",51234,7829,12951,21938,4908,480,3128
"서울특별시","남자","45~49",44115,6041,9305,19909,5679,588,2593
"서울특별시","남자","50~54",39105,4318,7707,18620,5401,572,2487
"서울특별시","남자","55~59",36365,4824,6566,16542,5659,571,2203
"서울특별시","남자","60~64",25523,4576,5138,10631,3378,473,1327
"서울특별시","남자","65~69",20943,5074,4666,7622,2264,321,996
"서울특별시","남자","70~74",16464,5343,3951,4911,1171,237,851
"서울특별시","남자","75~79",10496,3869,2708,2796,565,116,442
"서울특별시","남자","80~84",5441,2167,1408,1294,270,46,256
"서울특별시","남자","85세 이상",2974,1443,565,638,76,16,236
"서울특별시","여자","합계",603317,140116,162655,243733,29487,3167,24159
"서울특별시","여자","20세 미만",6839,183,693,4437,1171,115,240
"서울특별시","여자","20~24",57066,1499,8704,38785,6368,299,1411
"서울특별시","여자","25~29",79003,2796,20314,48104,4923,408,2458
"서울특별시","여자","30~34",63607,4567,19828,33570,2872,337,2433
"서울특별시","여자","35~39",43723,4959,13650,20538,2114,193,2269
"서울특별시","여자","40~44",37380,6750,11566,15105,1715,283,1961
"서울특별시","여자","45~49",31778,6762,9596,12232,1496,178,1514
"서울특별시","여자","50~54",33118,7992,9347,12311,1580,204,1684
"서울특별시","여자","55~59",41504,12794,11591,13552,1598,255,1714
"서울특별시","여자","60~64",41253,15898,11463,11022,1117,179,1574
"서울특별시","여자","65~69",44161,20549,11083,9636,1064,224,1605
"서울특별시","여자","70~74",44411,21223,11600,8681,1132,162,1613
"서울특별시","여자","75~79",39480,18088,11163,7591,1042,156,1440
"서울특별시","여자","80~84",26293,11186,8007,4992,825,95,1188
