"읍부","계","65~69",45559,2982,10077,20584,11916
"읍부","계","70~74",38714,1738,6006,25259,5711
"읍부","계","75~79",37780,766,3573,31019,2422
"읍부","계","80~84",31797,277,1944,28788,788
"읍부","계","85세 이상",22246,180,850,20982,234
"읍부","남자","합계",328440,177245,71867,24401,54927
"읍부","남자","20세 미만",3128,3128,-,-,-
"읍부","남자","20~24",19218,19143,56,-,19
"읍부","남자","25~29",34988,34144,752,9,83
"읍부","남자","30~34",33498,30812,2134,11,541
"읍부","남자","35~39",31358,25184,4347,36,1791
"읍부","남자","40~44",28807,19379,5918,69,3441
"읍부","남자","45~49",32675,17342,9020,209,6104
"읍부","남자","50~54",33593,12429,11421,675,9068
"읍부","남자","55~59",32841,8029,12422,1588,10802
"읍부","남자","60~64",29343,4776,11419,2642,10506
"읍부","남자","65~69",18761,1686,6517,3603,6955
"읍부","남자","70~74",12493,795,4031,4125,3542
"읍부","남자","75~79",8195,304,2193,4204,1494
"읍부","남자","80~84",5883,64,1127,4203,489
"읍부","남자","85세 이상",3659,30,510,3027,92
"읍부","여자","합계",293323,82706,37311,128346,44960
"읍부","여자","20세 미만",2697,2697,-,-,-
"읍부","여자","20~24",17723,17552,127,-,44
"읍부","여자","25~29",18560,17857,520,8,175
"읍부","여자","30~34",13189,11133,1323,8,725
"읍부","여자","35~39",11609,8475,1835,112,1187
"읍부","여자","40~44",12062,6920,2450,164,2528
"읍부","여자","45~49",16242,5904,3981,606,5751
"읍부","여자","50~54",19787,3867,5883,2144,7893
"읍부","여자","55~59",24955,2813,6856,5731,9555
"읍부","여자","60~64",29394,2424,6264,12103,8603
"읍부","여자","65~69",26798,1296,3560,16981,4961
"읍부","여자","70~74",26221,943,1975,21134,2169
"읍부","여자","75~79",29585,462,1380,26815,928
"읍부","여자","80~84",25914,213,817,24585,299
"읍부","여자","85세 이상",18587,150,340,17955,142
"면부","계","합계",720479,175596,153985,299554,91344
"면부","계","20세 미만",4828,4828,-,-,-
"면부","계","20~24",24263,24066,164,-,33
"면부","계","25~29",28508,27289,1019,-,200
"면부","계","30~34",25239,21860,2713,22,644
"면부","계","35~39",24637,18386,4592,56,1603
"면부","계","40~44",26951,16256,7230,169,3296
"면부","계","45~49",37051,17285,11941,634,7191
"면부","계","50~54",51269,15162,19914,2750,13443
"면부","계","55~59",69914,12904,28368,8828,19814
"면부","계","60~64",81943,9075,30945,21302,20621
"면부","계","65~69",70655,4613,20934,31572,13536
"면부","계","70~74",65692,2208,12423,44245,6816
"면부","계","75~79",76725,1105,7508,65143,2969
"면부","계","80~84",75066,400,4119,69612,935
"면부","계","85세 이상",57738,159,2115,55221,243
"면부","남자","합계",345918,127684,110428,48178,59628
"면부","남자","20세 미만",2829,2829,-,-,-
"면부","남자","20~24",13733,13675,52,-,6
"면부","남자","25~29",20280,19600,565,-,115
"면부","남자","30~34",19082,16999,1771,7,305
"면부","남자","35~39",18553,14157,3378,28,990
"면부","남자","40~44",20101,12581,5461,88,1971
"면부","남자","45~49",26977,13721,8752,253,4251
"면부","남자","50~54",35378,12268,13836,715,8559
"면부","남자","55~59",44313,10160,19856,1899,12398
"면부","남자","60~64",47052,6493,22267,4606,13686
"면부","남자","65~69",34278,2997,15811,5930,9540
"면부","남자","70~74",23208,1349,9460,7467,4932
"면부","남자","75~79",17127,625,5252,9065,2185
"면부","남자","80~84",13441,172,2653,10036,580
"면부","남자","85세 이상",9566,58,1314,8084,110
"면부","여자","합계",374561,47912,43557,251376,31716
"면부","여자","20세 미만",1999,1999,-,-,-
"면부","여자","20~24",10530,10391,112,-,27
"면부","여자","25~29",8228,7689,454,-,85
"면부","여자","30~34",6157,4861,942,15,339
"면부","여자","35~39",6084,4229,1214,28,613
"면부","여자","40~44",6850,3675,1769,81,1325
"면부","여자","45~49",10074,3564,3189,381,2940
"면부","여자","50~54",15891,2894,6078,2035,4884
"면부","여자","55~59",25601,2744,8512,6929,7416
"면부","여자","60~64",34891,2582,8678,16696,6935
"면부","여자","65~69",36377,1616,5123,25642,3996
"면부","여자","70~74",42484,859,2963,36778,1884
"면부","여자","75~79",59598,480,2256,56078,784
"면부","여자","80~84",61625,228,1466,59576,355
"면부","여자","85세 이상",48172,101,801,47137,133
"서울특별시","계","합계",1390701,903917,114519,186947,185318
"서울특별시","계","20세 미만",14237,14237,-,-,-
"서울특별시","계","20~24",123938,123773,109,-,56
"서울특별시","계","25~29",238517,236454,1467,32,564
"서울특별시","계","30~34",183573,175875,5174,128,2396
"서울특별시","계","35~39",126485,112879,7983,208,5415
"서울특별시","계","40~44",91518,73318,8842,280,9078
"서울특별시","계","45~49",90186,59791,12427,781,17187
"서울특별시","계","50~54",82704,41576,13300,2422,25406
"서울특별시","계","55~59",84976,28051,15809,7143,33973
"서울특별시","계","60~64",94834,18890,18116,19232,38596
"서울특별시","계","65~69",77047,10113,12663,27406,26865
"서울특별시","계","70~74",65469,4682,8922,36903,14962
"서울특별시","계","75~79",54109,2690,5061,38876,7482
"서울특별시","계","80~84",37968,1079,3063,31272,2554
"서울특별시","계","85세 이상",25140,509,1583,22264,784
"서울특별시","남자","합계",650999,463781,62174,30264,94780
"서울특별시","남자","20세 미만",5345,5345,-,-,-
"서울특별시","남자","20~24",42602,42542,27,-,33
"서울특별시","남자","25~29",114318,113471,635,15,197
"서울특별시","남자","30~34",102247,98384,2836,74,953
"서울특별시","남자","35~39",70540,62719,5118,156,2547
"서울특별시","남자","40~44",51144,40501,5733,140,4770
"서울특별시","남자","45~49",52330,35776,8037,170,8347
"서울특별시","남자","50~54",48793,26730,8078,644,13341
"서울특별시","남자","55~59",46352,18754,8189,1490,17919
"서울특별시","남자","60~64",42318,11270,8532,3208,19308
"서울특별시","남자","65~69",28985,4940,5816,4176,14053
"서울특별시","남자","70~74",20181,2071,4180,5912,8018
"서울특별시","남자","75~79",13245,941,2480,6034,3790
"서울특별시","남자","80~84",7863,278,1684,4671,1230
"서울특별시","남자","85세 이상",4736,59,829,3574,274
"서울특별시","여자","합계",739702,440136,52345,156683,90538
"서울특별시","여자","20세 미만",8892,8892,-,-,-
"서울특별시","여자","20~24",81336,81231,82,-,23
"서울특별시","여자","25~29",124199,122983,832,17,367
"서울특별시","여자","30~34",81326,77491,2338,54,1443
"서울특별시","여자","35~39",55945,50160,2865,52,2868
