"행정구역별","성별","연령별","혼인상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"서울특별시","여자","75~79","배우자 있음","2020년","2581","319","","556","211","1230","242","23",
"서울특별시","여자","75~79","사별","2020년","32842","515","","2932","637","9180","19503","75",
"서울특별시","여자","75~79","이혼","2020년","3692","173","","1402","98","1483","531","5",
"서울특별시","여자","80~84","합계","2020년","30105","109","","","798","12713","16402","83",
"서울특별시","여자","80~84","미혼","2020년","801","6","","","53","564","161","17",
"서울특별시","여자","80~84","배우자 있음","2020년","1379","18","","","131","1040","177","13",
"서울특별시","여자","80~84","사별","2020년","26601","73","","","585","10066","15829","48",
"서울특별시","여자","80~84","이혼","2020년","1324","12","","","29","1043","235","5",
"서울특별시","여자","85세 이상","합계","2020년","20404","","","","1018","7852","11471","63",
"서울특별시","여자","85세 이상","미혼","2020년","450","","","","71","254","125","",
"서울특별시","여자","85세 이상","배우자 있음","2020년","754","","","","60","580","114","",
"서울특별시","여자","85세 이상","사별","2020년","18690","","","","855","6634","11138","63",
"서울특별시","여자","85세 이상","이혼","2020년","510","","","","32","384","94","",
"부산광역시","계","합계","합계","2020년","455207","111890","26691","133533","7181","95997","77402","2513",
"부산광역시","계","합계","미혼","2020년","213423","82639","26665","81152","2404","10841","8155","1567",
"부산광역시","계","합계","배우자 있음","2020년","48634","18086","26","6070","1368","21305","1187","592",
"부산광역시","계","합계","사별","2020년","109292","1705","","6398","1431","36464","63165","129",
"부산광역시","계","합계","이혼","2020년","83858","9460","","39913","1978","27387","4895","225",
"부산광역시","계","20세 미만","합계","2020년","4513","509","3909","","","89","6","",
"부산광역시","계","20세 미만","미혼","2020년","4513","509","3909","","","89","6","",
"부산광역시","계","20~24","합계","2020년","36903","10506","18703","6112","","1156","385","41",
"부산광역시","계","20~24","미혼","2020년","36835","10501","18697","6090","","1121","385","41",
"부산광역시","계","20~24","배우자 있음","2020년","36","","6","","","30","","",
"부산광역시","계","20~24","이혼","2020년","32","5","","22","","5","","",
"부산광역시","계","25~29","합계","2020년","46740","26787","3678","13716","","1752","624","183",
"부산광역시","계","25~29","미혼","2020년","46137","26432","3678","13570","","1673","601","183",
"부산광역시","계","25~29","배우자 있음","2020년","431","322","","44","","65","","",
"부산광역시","계","25~29","사별","2020년","18","","","7","","","11","",
"부산광역시","계","25~29","이혼","2020년","154","33","","95","","14","12","",
"부산광역시","계","30~34","합계","2020년","33655","17985","268","12805","152","1789","526","130",
"부산광역시","계","30~34","미혼","2020년","31265","16751","268","12154","152","1348","495","97",
"부산광역시","계","30~34","배우자 있음","2020년","1659","983","","224","","403","16","33",
"부산광역시","계","30~34","사별","2020년","24","14","","","","","10","",
"부산광역시","계","30~34","이혼","2020년","707","237","","427","","38","5","",
"부산광역시","계","35~39","합계","2020년","27809","11547","76","13248","175","1818","759","186",
"부산광역시","계","35~39","미혼","2020년","23398","9423","70","11773","163","1137","695","137",
"부산광역시","계","35~39","배우자 있음","2020년","2224","1414","6","209","4","546","11","34",
"부산광역시","계","35~39","사별","2020년","79","27","","17","","6","29","",
"부산광역시","계","35~39","이혼","2020년","2108","683","","1249","8","129","24","15",
"부산광역시","계","40~44","합계","2020년","24544","9221","46","11778","263","1959","1062","215",
"부산광역시","계","40~44","미혼","2020년","18445","6639","43","9562","214","945","885","157",
"부산광역시","계","40~44","배우자 있음","2020년","2852","1867","3","243","13","666","16","44",
"부산광역시","계","40~44","사별","2020년","125","20","","28","","27","50","",
"부산광역시","계","40~44","이혼","2020년","3122","695","","1945","36","321","111","14",
"부산광역시","계","45~49","합계","2020년","28650","9244","","13397","540","3550","1521","398",
"부산광역시","계","45~49","미혼","2020년","17059","5252","","9012","359","1120","1023","293",
"부산광역시","계","45~49","배우자 있음","2020년","4182","2431","","431","47","1168","46","59",
"부산광역시","계","45~49","사별","2020년","371","40","","28","15","74","214","",
"부산광역시","계","45~49","이혼","2020년","7038","1521","","3926","119","1188","238","46",
"부산광역시","계","50~54","합계","2020년","31838","8620","6","13310","653","6546","2406","297",
"부산광역시","계","50~54","미혼","2020년","13092","3411","","6906","342","1033","1219","181",
"부산광역시","계","50~54","배우자 있음","2020년","6146","3293","6","553","52","2138","52","52",
"부산광역시","계","50~54","사별","2020년","1614","146","","157","28","516","730","37",
"부산광역시","계","50~54","이혼","2020년","10986","1770","","5694","231","2859","405","27",
"부산광역시","계","55~59","합계","2020년","37611","7406","","13258","947","11337","4267","396",
"부산광역시","계","55~59","미혼","2020년","8990","1966","","4662","434","715","944","269",
"부산광역시","계","55~59","배우자 있음","2020년","7938","3194","","975","115","3412","170","72",
"부산광역시","계","55~59","사별","2020년","4992","306","","492","33","1804","2342","15",
"부산광역시","계","55~59","이혼","2020년","15691","1940","","7129","365","5406","811","40",
"부산광역시","계","60~64","합계","2020년","46987","5761","5","15062","1101","15996","8816","246",
"부산광역시","계","60~64","미혼","2020년","6661","1079","","3794","293","597","784","114",
"부산광역시","계","60~64","배우자 있음","2020년","8692","2635","5","1350","227","4232","148","95",
"부산광역시","계","60~64","사별","2020년","12723","452","","1160","64","4380","6667","",
"부산광역시","계","60~64","이혼","2020년","18911","1595","","8758","517","6787","1217","37",
"부산광역시","계","65~69","합계","2020년","41298","2743","","11034","915","14790","11628","188",
"부산광역시","계","65~69","미혼","2020년","3717","465","","2168","221","299","514","50",
"부산광역시","계","65~69","배우자 있음","2020년","6303","1231","","1041","225","3480","212","114",
"부산광역시","계","65~69","사별","2020년","17880","377","","1492","130","5766","10111","4",
"부산광역시","계","65~69","이혼","2020년","13398","670","","6333","339","5245","791","20",
"부산광역시","계","70~74","합계","2020년","34080","1063","","6531","774","11609","13998","105",
"부산광역시","계","70~74","미혼","2020년","1752","135","","1027","127","173","262","28",
"부산광역시","계","70~74","배우자 있음","2020년","3941","526","","680","230","2236","220","49",
"부산광역시","계","70~74","사별","2020년","21410","172","","1702","222","6512","12792","10",
"부산광역시","계","70~74","이혼","2020년","6977","230","","3122","195","2688","724","18",
"부산광역시","계","75~79","합계","2020년","28761","437","","3282","674","10135","14175","58",
"부산광역시","계","75~79","미혼","2020년","965","74","","434","47","160","244","6",
"부산광역시","계","75~79","배우자 있음","2020년","2437","168","","320","269","1524","125","31",
"부산광역시","계","75~79","사별","2020년","22302","127","","1315","257","7129","13457","17",
"부산광역시","계","75~79","이혼","2020년","3057","68","","1213","101","1322","349","4",
"부산광역시","계","80~84","합계","2020년","20250","61","","","531","8870","10756","32",
"부산광역시","계","80~84","미혼","2020년","397","2","","","21","292","75","7",
"부산광역시","계","80~84","배우자 있음","2020년","1312","22","","","144","1030","107","9",
"부산광역시","계","80~84","사별","2020년","17193","24","","","321","6393","10443","12",
"부산광역시","계","80~84","이혼","2020년","1348","13","","","45","1155","131","4",
"부산광역시","계","85세 이상","합계","2020년","11568","","","","456","4601","6473","38",
"부산광역시","계","85세 이상","미혼","2020년","197","","","","31","139","23","4",
"부산광역시","계","85세 이상","배우자 있음","2020년","481","","","","42","375","64","",
"부산광역시","계","85세 이상","사별","2020년","10561","","","","361","3857","6309","34",
"부산광역시","계","85세 이상","이혼","2020년","329","","","","22","230","77","",
"부산광역시","남자","합계","합계","2020년","206311","66011","14332","71721","3509","29745","19581","1412",
"부산광역시","남자","합계","미혼","2020년","120841","46688","14312","45665","1450","6398","5386","942",
"부산광역시","남자","합계","배우자 있음","2020년","25112","12762","20","2954","630","8089","354","303",
"부산광역시","남자","합계","사별","2020년","16925","520","","1025","238","3760","11372","10",
"부산광역시","남자","합계","이혼","2020년","43433","6041","","22077","1191","11498","2469","157",
"부산광역시","남자","20세 미만","합계","2020년","1863","242","1576","","","45","","",
"부산광역시","남자","20세 미만","미혼","2020년","1863","242","1576","","","45","","",
"부산광역시","남자","20~24","합계","2020년","15709","3070","9493","2368","","564","194","20",
"부산광역시","남자","20~24","미혼","2020년","15675","3065","9487","2351","","558","194","20",
"부산광역시","남자","20~24","배우자 있음","2020년","12","","6","","","6","","",
"부산광역시","남자","20~24","이혼","2020년","22","5","","17","","","","",
"부산광역시","남자","25~29","합계","2020년","24621","13476","2959","6721","","1026","370","69",
"부산광역시","남자","25~29","미혼","2020년","24396","13342","2959","6657","","1014","355","69",
"부산광역시","남자","25~29","배우자 있음","2020년","157","130","","23","","4","","",
"부산광역시","남자","25~29","사별","2020년","18","","","7","","","11","",
"부산광역시","남자","25~29","이혼","2020년","50","4","","34","","8","4","",
"부산광역시","남자","30~34","합계","2020년","20296","11279","234","7238","58","1006","388","93",
"부산광역시","남자","30~34","미혼","2020년","19164","10598","234","7020","58","823","371","60",
"부산광역시","남자","30~34","배우자 있음","2020년","860","559","","104","","160","4","33",
"부산광역시","남자","30~34","사별","2020년","24","14","","","","","10","",
"부산광역시","남자","30~34","이혼","2020년","248","108","","114","","23","3","",
"부산광역시","남자","35~39","합계","2020년","16917","7636","40","7545","106","965","509","116",
"부산광역시","남자","35~39","미혼","2020년","14429","6246","34","6818","102","674","465","90",
"부산광역시","남자","35~39","배우자 있음","2020년","1314","946","6","106","4","226","5","21",
"부산광역시","남자","35~39","사별","2020년","51","22","","10","","","19","",
"부산광역시","남자","35~39","이혼","2020년","1123","422","","611","","65","20","5",
"부산광역시","남자","40~44","합계","2020년","15010","6292","25","6586","160","1048","768","131",
"부산광역시","남자","40~44","미혼","2020년","11450","4435","22","5537","117","568","668","103",
"부산광역시","남자","40~44","배우자 있음","2020년","1907","1435","3","119","9","327","","14",
"부산광역시","남자","40~44","사별","2020년","44","12","","10","","6","16","",
"부산광역시","남자","40~44","이혼","2020년","1609","410","","920","34","147","84","14",
"부산광역시","남자","45~49","합계","2020년","16979","6278","","7611","275","1633","945","237",
"부산광역시","남자","45~49","미혼","2020년","10818","3546","","5413","204","740","736","179",
"부산광역시","남자","45~49","배우자 있음","2020년","2494","1785","","155","27","486","17","24",
"부산광역시","남자","45~49","사별","2020년","116","18","","10","","18","70","",
"부산광역시","남자","45~49","이혼","2020년","3551","929","","2033","44","389","122","34",
"부산광역시","남자","50~54","합계","2020년","18453","6142","","7949","426","2516","1263","157",
"부산광역시","남자","50~54","미혼","2020년","8954","2551","","4466","273","704","852","108",
"부산광역시","남자","50~54","배우자 있음","2020년","3565","2423","","301","11","794","20","16",
"부산광역시","남자","50~54","사별","2020년","331","39","","41","9","54","182","6",
"부산광역시","남자","50~54","이혼","2020년","5603","1129","","3141","133","964","209","27",
"부산광역시","남자","55~59","합계","2020년","19225","5131","","7788","575","3670","1833","228",
"부산광역시","남자","55~59","미혼","2020년","6377","1468","","3219","262","548","714","166",
"부산광역시","남자","55~59","배우자 있음","2020년","3846","2330","","447","77","886","64","42",
"부산광역시","남자","55~59","사별","2020년","908","75","","95","","165","573","",
"부산광역시","남자","55~59","이혼","2020년","8094","1258","","4027","236","2071","482","20",
"부산광역시","남자","60~64","합계","2020년","20026","3788","5","8133","587","4985","2351","177",
"부산광역시","남자","60~64","미혼","2020년","4393","777","","2402","193","376","552","93",
"부산광역시","남자","60~64","배우자 있음","2020년","3940","1828","5","581","83","1350","46","47",
"부산광역시","남자","60~64","사별","2020년","1974","137","","189","10","476","1162","",
"부산광역시","남자","60~64","이혼","2020년","9719","1046","","4961","301","2783","591","37",
"부산광역시","남자","65~69","합계","2020년","15015","1779","","5470","472","4625","2585","84",
"부산광역시","남자","65~69","미혼","2020년","2002","293","","1143","137","148","255","26",
"부산광역시","남자","65~69","배우자 있음","2020년","2900","831","","525","89","1365","41","49",
"부산광역시","남자","65~69","사별","2020년","2968","138","","254","25","653","1898","",
"부산광역시","남자","65~69","이혼","2020년","7145","517","","3548","221","2459","391","9",
"부산광역시","남자","70~74","합계","2020년","9789","676","","3139","333","2820","2757","64",
"부산광역시","남자","70~74","미혼","2020년","863","79","","514","70","58","121","21",
"부산광역시","남자","70~74","배우자 있음","2020년","1919","381","","416","107","911","68","36",
"부산광역시","남자","70~74","사별","2020년","3140","61","","237","34","563","2245","",
"부산광역시","남자","70~74","이혼","2020년","3867","155","","1972","122","1288","323","7",
"부산광역시","남자","75~79","합계","2020년","6395","202","","1173","232","2245","2521","22",
"부산광역시","남자","75~79","미혼","2020년","358","44","","125","29","72","82","6",
"부산광역시","남자","75~79","배우자 있음","2020년","1202","107","","177","116","760","30","12",
"부산광역시","남자","75~79","사별","2020년","3161","4","","172","29","743","2209","4",
"부산광역시","남자","75~79","이혼","2020년","1674","47","","699","58","670","200","",
"부산광역시","남자","80~84","합계","2020년","3872","20","","","173","1787","1878","14",
"부산광역시","남자","80~84","미혼","2020년","72","2","","","","52","17","1",
"부산광역시","남자","80~84","배우자 있음","2020년","710","7","","","85","566","43","9",
"부산광역시","남자","80~84","사별","2020년","2487","","","","57","640","1790","",
"부산광역시","남자","80~84","이혼","2020년","603","11","","","31","529","28","4",
"부산광역시","남자","85세 이상","합계","2020년","2141","","","","112","810","1219","",
"부산광역시","남자","85세 이상","미혼","2020년","27","","","","5","18","4","",
"부산광역시","남자","85세 이상","배우자 있음","2020년","286","","","","22","248","16","",
"부산광역시","남자","85세 이상","사별","2020년","1703","","","","74","442","1187","",
"부산광역시","남자","85세 이상","이혼","2020년","125","","","","11","102","12","",
"부산광역시","여자","합계","합계","2020년","248896","45879","12359","61812","3672","66252","57821","1101",
"부산광역시","여자","합계","미혼","2020년","92582","35951","12353","35487","954","4443","2769","625",
"부산광역시","여자","합계","배우자 있음","2020년","23522","5324","6","3116","738","13216","833","289",
"부산광역시","여자","합계","사별","2020년","92367","1185","","5373","1193","32704","51793","119",
"부산광역시","여자","합계","이혼","2020년","40425","3419","","17836","787","15889","2426","68",
"부산광역시","여자","20세 미만","합계","2020년","2650","267","2333","","","44","6","",
"부산광역시","여자","20세 미만","미혼","2020년","2650","267","2333","","","44","6","",
"부산광역시","여자","20~24","합계","2020년","21194","7436","9210","3744","","592","191","21",
"부산광역시","여자","20~24","미혼","2020년","21160","7436","9210","3739","","563","191","21",
"부산광역시","여자","20~24","배우자 있음","2020년","24","","","","","24","","",
"부산광역시","여자","20~24","이혼","2020년","10","","","5","","5","","",
"부산광역시","여자","25~29","합계","2020년","22119","13311","719","6995","","726","254","114",
"부산광역시","여자","25~29","미혼","2020년","21741","13090","719","6913","","659","246","114",
"부산광역시","여자","25~29","배우자 있음","2020년","274","192","","21","","61","","",
"부산광역시","여자","25~29","이혼","2020년","104","29","","61","","6","8","",
"부산광역시","여자","30~34","합계","2020년","13359","6706","34","5567","94","783","138","37",
"부산광역시","여자","30~34","미혼","2020년","12101","6153","34","5134","94","525","124","37",
"부산광역시","여자","30~34","배우자 있음","2020년","799","424","","120","","243","12","",
"부산광역시","여자","30~34","이혼","2020년","459","129","","313","","15","2","",
"부산광역시","여자","35~39","합계","2020년","10892","3911","36","5703","69","853","250","70",
"부산광역시","여자","35~39","미혼","2020년","8969","3177","36","4955","61","463","230","47",
"부산광역시","여자","35~39","배우자 있음","2020년","910","468","","103","","320","6","13",
"부산광역시","여자","35~39","사별","2020년","28","5","","7","","6","10","",
"부산광역시","여자","35~39","이혼","2020년","985","261","","638","8","64","4","10",
"부산광역시","여자","40~44","합계","2020년","9534","2929","21","5192","103","911","294","84",
"부산광역시","여자","40~44","미혼","2020년","6995","2204","21","4025","97","377","217","54",
"부산광역시","여자","40~44","배우자 있음","2020년","945","432","","124","4","339","16","30",
"부산광역시","여자","40~44","사별","2020년","81","8","","18","","21","34","",
"부산광역시","여자","40~44","이혼","2020년","1513","285","","1025","2","174","27","",
"부산광역시","여자","45~49","합계","2020년","11671","2966","","5786","265","1917","576","161",
"부산광역시","여자","45~49","미혼","2020년","6241","1706","","3599","155","380","287","114",
"부산광역시","여자","45~49","배우자 있음","2020년","1688","646","","276","20","682","29","35",
"부산광역시","여자","45~49","사별","2020년","255","22","","18","15","56","144","",
"부산광역시","여자","45~49","이혼","2020년","3487","592","","1893","75","799","116","12",
"부산광역시","여자","50~54","합계","2020년","13385","2478","6","5361","227","4030","1143","140",
"부산광역시","여자","50~54","미혼","2020년","4138","860","","2440","69","329","367","73",
"부산광역시","여자","50~54","배우자 있음","2020년","2581","870","6","252","41","1344","32","36",
"부산광역시","여자","50~54","사별","2020년","1283","107","","116","19","462","548","31",
"부산광역시","여자","50~54","이혼","2020년","5383","641","","2553","98","1895","196","",
"부산광역시","여자","55~59","합계","2020년","18386","2275","","5470","372","7667","2434","168",
"부산광역시","여자","55~59","미혼","2020년","2613","498","","1443","172","167","230","103",
"부산광역시","여자","55~59","배우자 있음","2020년","4092","864","","528","38","2526","106","30",
"부산광역시","여자","55~59","사별","2020년","4084","231","","397","33","1639","1769","15",
"부산광역시","여자","55~59","이혼","2020년","7597","682","","3102","129","3335","329","20",
"부산광역시","여자","60~64","합계","2020년","26961","1973","","6929","514","11011","6465","69",
"부산광역시","여자","60~64","미혼","2020년","2268","302","","1392","100","221","232","21",
"부산광역시","여자","60~64","배우자 있음","2020년","4752","807","","769","144","2882","102","48",
"부산광역시","여자","60~64","사별","2020년","10749","315","","971","54","3904","5505","",
"부산광역시","여자","60~64","이혼","2020년","9192","549","","3797","216","4004","626","",
"부산광역시","여자","65~69","합계","2020년","26283","964","","5564","443","10165","9043","104",
"부산광역시","여자","65~69","미혼","2020년","1715","172","","1025","84","151","259","24",
"부산광역시","여자","65~69","배우자 있음","2020년","3403","400","","516","136","2115","171","65",
"부산광역시","여자","65~69","사별","2020년","14912","239","","1238","105","5113","8213","4",
"부산광역시","여자","65~69","이혼","2020년","6253","153","","2785","118","2786","400","11",
"부산광역시","여자","70~74","합계","2020년","24291","387","","3392","441","8789","11241","41",
"부산광역시","여자","70~74","미혼","2020년","889","56","","513","57","115","141","7",
"부산광역시","여자","70~74","배우자 있음","2020년","2022","145","","264","123","1325","152","13",
"부산광역시","여자","70~74","사별","2020년","18270","111","","1465","188","5949","10547","10",
"부산광역시","여자","70~74","이혼","2020년","3110","75","","1150","73","1400","401","11",
"부산광역시","여자","75~79","합계","2020년","22366","235","","2109","442","7890","11654","36",
"부산광역시","여자","75~79","미혼","2020년","607","30","","309","18","88","162","",
"부산광역시","여자","75~79","배우자 있음","2020년","1235","61","","143","153","764","95","19",
"부산광역시","여자","75~79","사별","2020년","19141","123","","1143","228","6386","11248","13",
"부산광역시","여자","75~79","이혼","2020년","1383","21","","514","43","652","149","4",
"부산광역시","여자","80~84","합계","2020년","16378","41","","","358","7083","8878","18",
"부산광역시","여자","80~84","미혼","2020년","325","","","","21","240","58","6",
"부산광역시","여자","80~84","배우자 있음","2020년","602","15","","","59","464","64","",
"부산광역시","여자","80~84","사별","2020년","14706","24","","","264","5753","8653","12",
"부산광역시","여자","80~84","이혼","2020년","745","2","","","14","626","103","",
"부산광역시","여자","85세 이상","합계","2020년","9427","","","","344","3791","5254","38",
"부산광역시","여자","85세 이상","미혼","2020년","170","","","","26","121","19","4",
"부산광역시","여자","85세 이상","배우자 있음","2020년","195","","","","20","127","48","",
"부산광역시","여자","85세 이상","사별","2020년","8858","","","","287","3415","5122","34",
"부산광역시","여자","85세 이상","이혼","2020년","204","","","","11","128","65","",
"대구광역시","계","합계","합계","2020년","304543","81015","15267","87239","4508","60516","54192","1806",
"대구광역시","계","합계","미혼","2020년","142145","58197","15249","53871","1512","7312","4845","1159",
"대구광역시","계","합계","배우자 있음","2020년","36915","15238","18","4141","732","15615","759","412",
"대구광역시","계","합계","사별","2020년","71981","1339","","3303","1059","21265","44924","91",
"대구광역시","계","합계","이혼","2020년","53502","6241","","25924","1205","16324","3664","144",
"대구광역시","계","20세 미만","합계","2020년","2757","277","2385","","","77","18","",
"대구광역시","계","20세 미만","미혼","2020년","2757","277","2385","","","77","18","",
"대구광역시","계","20~24","합계","2020년","21684","6493","10216","3957","","806","164","48",
"대구광역시","계","20~24","미혼","2020년","21620","6487","10214","3932","","778","161","48",
"대구광역시","계","20~24","배우자 있음","2020년","50","6","2","18","","24","","",
"대구광역시","계","20~24","사별","2020년","4","","","","","4","","",
"대구광역시","계","20~24","이혼","2020년","10","","","7","","","3","",
"대구광역시","계","25~29","합계","2020년","31704","18349","2352","9448","","1141","301","113",
"대구광역시","계","25~29","미혼","2020년","31088","18008","2352","9322","","1006","296","104",
"대구광역시","계","25~29","배우자 있음","2020년","430","256","","37","","128","","9",
"대구광역시","계","25~29","사별","2020년","12","12","","","","","","",
"대구광역시","계","25~29","이혼","2020년","174","73","","89","","7","5","",
"대구광역시","계","30~34","합계","2020년","23990","13152","249","8625","91","1359","385","129",
"대구광역시","계","30~34","미혼","2020년","22184","12150","249","8247","91","995","337","115",
"대구광역시","계","30~34","배우자 있음","2020년","1292","874","","87","","317","","14",
"대구광역시","계","30~34","사별","2020년","52","5","","5","","","42","",
"대구광역시","계","30~34","이혼","2020년","462","123","","286","","47","6","",
"대구광역시","계","35~39","합계","2020년","19702","8907","39","8546","153","1434","487","136",
"대구광역시","계","35~39","미혼","2020년","16412","7208","39","7777","142","745","395","106",
"대구광역시","계","35~39","배우자 있음","2020년","2168","1396","","142","6","586","13","25",
"대구광역시","계","35~39","사별","2020년","42","10","","10","","5","17","",
"대구광역시","계","35~39","이혼","2020년","1080","293","","617","5","98","62","5",
"대구광역시","계","40~44","합계","2020년","18143","7077","26","8162","259","1821","657","141",
"대구광역시","계","40~44","미혼","2020년","13104","5001","10","6480","182","772","541","118",
"대구광역시","계","40~44","배우자 있음","2020년","2435","1408","16","225","11","737","20","18",
"대구광역시","계","40~44","사별","2020년","94","14","","21","","33","26","",
"대구광역시","계","40~44","이혼","2020년","2510","654","","1436","66","279","70","5",
"대구광역시","계","45~49","합계","2020년","21874","7743","","9593","274","2836","1253","175",
"대구광역시","계","45~49","미혼","2020년","12980","4480","","6633","179","805","758","125",
"대구광역시","계","45~49","배우자 있음","2020년","3665","2255","","390","6","953","27","34",
"대구광역시","계","45~49","사별","2020년","356","57","","33","5","71","190","",
"대구광역시","계","45~49","이혼","2020년","4873","951","","2537","84","1007","278","16",
"대구광역시","계","50~54","합계","2020년","24351","7065","","9671","477","5172","1641","325",
"대구광역시","계","50~54","미혼","2020년","8980","2518","","4558","286","670","689","259",
"대구광역시","계","50~54","배우자 있음","2020년","5424","2969","","550","46","1761","46","52",
"대구광역시","계","50~54","사별","2020년","1179","155","","119","4","390","507","4",
"대구광역시","계","50~54","이혼","2020년","8768","1423","","4444","141","2351","399","10",
"대구광역시","계","55~59","합계","2020년","27615","5649","","9642","643","8005","3315","361",
"대구광역시","계","55~59","미혼","2020년","5908","1263","","3078","244","447","649","227",
"대구광역시","계","55~59","배우자 있음","2020년","6238","2664","","713","86","2642","60","73",
"대구광역시","계","55~59","사별","2020년","3832","302","","272","40","1259","1938","21",
"대구광역시","계","55~59","이혼","2020년","11637","1420","","5579","273","3657","668","40",
"대구광역시","계","60~64","합계","2020년","29264","3809","","8566","617","9998","6152","122",
"대구광역시","계","60~64","미혼","2020년","3503","526","","1954","195","324","482","22",
"대구광역시","계","60~64","배우자 있음","2020년","6441","2044","","868","109","3238","130","52",
"대구광역시","계","60~64","사별","2020년","8065","334","","457","49","2584","4634","7",
"대구광역시","계","60~64","이혼","2020년","11255","905","","5287","264","3852","906","41",
"대구광역시","계","65~69","합계","2020년","24493","1600","","5865","531","8428","7970","99",
"대구광역시","계","65~69","미혼","2020년","1735","171","","1022","89","214","231","8",
"대구광역시","계","65~69","배우자 있음","2020년","4013","934","","602","119","2182","122","54",
"대구광역시","계","65~69","사별","2020년","11599","218","","817","154","3394","7006","10",
"대구광역시","계","65~69","이혼","2020년","7146","277","","3424","169","2638","611","27",
"대구광역시","계","70~74","합계","2020년","19568","587","","3449","467","6106","8897","62",
"대구광역시","계","70~74","미혼","2020년","999","54","","634","51","109","143","8",
"대구광역시","계","70~74","배우자 있음","2020년","2312","315","","348","170","1294","144","41",
"대구광역시","계","70~74","사별","2020년","12978","130","","818","144","3578","8295","13",
"대구광역시","계","70~74","이혼","2020년","3279","88","","1649","102","1125","315","",
"대구광역시","계","75~79","합계","2020년","17391","269","","1715","378","5396","9604","29",
"대구광역시","계","75~79","미혼","2020년","499","30","","234","38","111","81","5",
"대구광역시","계","75~79","배우자 있음","2020년","1357","115","","161","85","886","90","20",
"대구광역시","계","75~79","사별","2020년","14129","90","","751","193","3837","9254","4",
"대구광역시","계","75~79","이혼","2020년","1406","34","","569","62","562","179","",
"대구광역시","계","80~84","합계","2020년","13637","38","","","281","4954","8326","38",
"대구광역시","계","80~84","미혼","2020년","255","24","","","5","187","31","8",
"대구광역시","계","80~84","배우자 있음","2020년","741","2","","","65","586","78","10",
"대구광역시","계","80~84","사별","2020년","11981","12","","","188","3656","8105","20",
"대구광역시","계","80~84","이혼","2020년","660","","","","23","525","112","",
"대구광역시","계","85세 이상","합계","2020년","8370","","","","337","2983","5022","28",
"대구광역시","계","85세 이상","미혼","2020년","121","","","","10","72","33","6",
"대구광역시","계","85세 이상","배우자 있음","2020년","349","","","","29","281","29","10",
"대구광역시","계","85세 이상","사별","2020년","7658","","","","282","2454","4910","12",
"대구광역시","계","85세 이상","이혼","2020년","242","","","","16","176","50","",
"대구광역시","남자","합계","합계","2020년","140952","50382","8049","47336","2057","19188","12872","1068",
"대구광역시","남자","합계","미혼","2020년","83976","35215","8040","31450","968","4333","3222","748",
"대구광역시","남자","합계","배우자 있음","2020년","19214","10771","9","1767","302","5915","237","213",
"대구광역시","남자","합계","사별","2020년","10845","385","","525","142","2183","7586","24",
"대구광역시","남자","합계","이혼","2020년","26917","4011","","13594","645","6757","1827","83",
"대구광역시","남자","20세 미만","합계","2020년","1219","145","1034","","","33","7","",
"대구광역시","남자","20세 미만","미혼","2020년","1219","145","1034","","","33","7","",
"대구광역시","남자","20~24","합계","2020년","9202","2237","4899","1601","","375","67","23",
"대구광역시","남자","20~24","미혼","2020년","9195","2237","4899","1601","","371","64","23",
"대구광역시","남자","20~24","배우자 있음","2020년","4","","","","","4","","",
"대구광역시","남자","20~24","이혼","2020년","3","","","","","","3","",
"대구광역시","남자","25~29","합계","2020년","17456","9859","1871","4868","","623","188","47",
"대구광역시","남자","25~29","미혼","2020년","17249","9731","1871","4827","","585","188","47",
"대구광역시","남자","25~29","배우자 있음","2020년","140","96","","13","","31","","",
"대구광역시","남자","25~29","사별","2020년","9","9","","","","","","",
"대구광역시","남자","25~29","이혼","2020년","58","23","","28","","7","","",
"대구광역시","남자","30~34","합계","2020년","15489","8866","200","5268","45","793","230","87",
"대구광역시","남자","30~34","미혼","2020년","14578","8306","200","5111","45","626","203","87",
"대구광역시","남자","30~34","배우자 있음","2020년","702","506","","43","","153","","",
"대구광역시","남자","30~34","사별","2020년","32","","","5","","","27","",
"대구광역시","남자","30~34","이혼","2020년","177","54","","109","","14","","",
"대구광역시","남자","35~39","합계","2020년","12459","6071","26","4988","66","894","353","61",
"대구광역시","남자","35~39","미혼","2020년","10511","4897","26","4673","66","519","293","37",
"대구광역시","남자","35~39","배우자 있음","2020년","1437","1021","","70","","320","7","19",
"대구광역시","남자","35~39","사별","2020년","30","5","","10","","5","10","",
"대구광역시","남자","35~39","이혼","2020년","481","148","","235","","50","43","5",
"대구광역시","남자","40~44","합계","2020년","11244","4973","19","4685","138","898","432","99",
"대구광역시","남자","40~44","미혼","2020년","8507","3530","10","3948","105","446","392","76",
"대구광역시","남자","40~44","배우자 있음","2020년","1526","1034","9","88","4","365","8","18",
"대구광역시","남자","40~44","사별","2020년","19","7","","7","","","5","",
"대구광역시","남자","40~44","이혼","2020년","1192","402","","642","29","87","27","5",
"대구광역시","남자","45~49","합계","2020년","13208","5422","","5497","195","1233","755","106",
"대구광역시","남자","45~49","미혼","2020년","8593","3056","","4220","142","561","524","90",
