"행정구역별","성별","연령별","시점","1인가구","초등학교","중학교","고등학교","대학(4년제미만)","대학교(4년제이상)","대학원","안받았음(미취학 포함)",
"동부","남자","45~49","2015년","186163","3784","13717","92852","19879","45117","10625","189",
"동부","남자","50~54","2015년","178079","12081","25448","80529","13868","36018","9710","425",
"동부","남자","55~59","2015년","162313","20571","33704","65738","9435","24130","7950","785",
"동부","남자","60~64","2015년","110088","20649","26621","39750","4239","12423","3835","2571",
"동부","남자","65~69","2015년","81490","18802","18878","26817","2244","8823","2261","3665",
"동부","남자","70~74","2015년","62575","18267","13510","16492","1441","6836","1289","4740",
"동부","남자","75~79","2015년","42793","13336","7543","10071","1025","5426","1035","4357",
"동부","남자","80~84","2015년","23633","6989","3915","5075","492","3427","502","3233",
"동부","남자","85세 이상","2015년","11844","3819","2187","1547","336","1407","294","2254",
"동부","여자","합계","2015년","2211491","423629","248180","555436","213707","469026","94618","206895",
"동부","여자","20세 미만","2015년","26072","6","512","6858","5096","13600","","",
"동부","여자","20~24","2015년","175402","","834","22803","36514","111931","3320","",
"동부","여자","25~29","2015년","188775","","921","28407","38886","103209","17308","44",
"동부","여자","30~34","2015년","161938","","1286","38129","36273","68330","17890","30",
"동부","여자","35~39","2015년","127666","","1651","41755","26818","43135","14285","22",
"동부","여자","40~44","2015년","127981","173","3006","57996","20753","33537","12479","37",
"동부","여자","45~49","2015년","134176","2367","9185","69003","15273","28099","10172","77",
"동부","여자","50~54","2015년","155313","11689","26097","76420","11849","21612","7385","261",
"동부","여자","55~59","2015년","191988","33185","50616","78038","8560","15184","5573","832",
"동부","여자","60~64","2015년","180339","54181","50218","50782","5442","10283","3156","6277",
"동부","여자","65~69","2015년","185021","76678","41512","34962","3685","8228","1522","18434",
"동부","여자","70~74","2015년","190627","89769","29591","22435","2014","5685","683","40450",
"동부","여자","75~79","2015년","180096","83987","19395","14592","1344","3531","543","56704",
"동부","여자","80~84","2015년","123041","50120","9963","9481","741","1994","209","50533",
"동부","여자","85세 이상","2015년","63056","21474","3393","3775","459","668","93","33194",
"읍부","계","합계","2015년","450831","94292","45797","113711","39859","77006","13493","66673",
"읍부","계","20세 미만","2015년","4082","","95","1315","860","1812","","",
"읍부","계","20~24","2015년","21747","","123","2991","4140","14230","253","10",
"읍부","계","25~29","2015년","25555","","113","5005","5634","12958","1835","10",
"읍부","계","30~34","2015년","28161","","381","7992","6972","10809","2003","4",
"읍부","계","35~39","2015년","25648","","434","10168","5953","7573","1506","14",
"읍부","계","40~44","2015년","29023","66","1100","14939","4840","6397","1667","14",
"읍부","계","45~49","2015년","33633","1049","2430","17755","3878","6759","1692","70",
"읍부","계","50~54","2015년","38469","3265","6107","17917","3067","6289","1723","101",
"읍부","계","55~59","2015년","41953","8070","10007","15366","2152","4577","1464","317",
"읍부","계","60~64","2015년","33972","11491","8475","8510","1083","2136","672","1605",
"읍부","계","65~69","2015년","33995","15609","6397","5068","666","1349","332","4574",
"읍부","계","70~74","2015년","39731","18771","4661","3025","260","1041","187","11786",
"읍부","계","75~79","2015년","43159","18979","3226","2105","162","634","131","17922",
"읍부","계","80~84","2015년","33401","12039","1728","1164","143","344","17","17966",
"읍부","계","85세 이상","2015년","18302","4953","520","391","49","98","11","12280",
"읍부","남자","합계","2015년","191116","18361","17727","65647","25741","51076","7980","4584",
"읍부","남자","20세 미만","2015년","2067","","46","760","410","851","","",
"읍부","남자","20~24","2015년","11356","","48","1569","2097","7539","97","6",
"읍부","남자","25~29","2015년","16562","","63","3136","3838","8634","881","10",
"읍부","남자","30~34","2015년","19465","","192","5308","4909","7844","1208","4",
"읍부","남자","35~39","2015년","18367","","297","7104","4495","5624","847","",
"읍부","남자","40~44","2015년","19548","39","719","9995","3229","4503","1049","14",
"읍부","남자","45~49","2015년","20516","622","1349","10417","2436","4605","1037","50",
