"행정구역별","성별","연령별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별","성별","연령별",전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,기타,미상
"전국","여자","60~64",310184,30052,17689,10982,7362,5868,5032,2876,907,26319,19474,16988,25508,25339,36052,39022,34254,3261,3199,-
"전국","여자","65~69",277787,22271,15970,9724,5851,4689,3889,2983,927,21547,15240,15403,23627,23395,34293,38532,34589,2537,2320,-
"전국","여자","70~74",263396,19889,10528,8016,5188,4478,3294,2642,796,18483,13109,13351,22983,25480,37498,36516,33244,2762,5139,-
"전국","여자","75세 이상",653197,35605,16231,15350,10953,9067,6744,6554,1919,45498,37328,35803,59525,58787,92559,97033,80081,7565,36595,-
"동부","계","합계",5301112,829829,387333,247442,174482,151403,135469,94959,10914,558219,255659,223925,311716,371617,457675,489178,459173,62513,79606,-
"동부","계","20세 미만",61466,6891,3776,3144,2142,2046,3479,1929,140,9371,2608,3117,4028,3470,4041,4955,4680,1148,501,-
"동부","계","20~24",434915,58169,30305,24402,17861,17322,18254,14285,771,64226,20094,17305,21614,24174,24555,35217,36901,6942,2518,-
"동부","계","25~29",693054,125021,58442,43820,31770,27351,25435,21437,1053,102738,25176,23464,25772,34392,34163,46182,53074,9730,4034,-
"동부","계","30~34",546390,117615,51626,31739,23553,19060,17279,14113,836,75061,20499,17467,20154,27034,27498,34892,37729,5824,4411,-
"동부","계","35~39",429423,98581,41623,22880,16279,13994,11862,8783,689,46790,18618,14159,18821,24817,27069,28955,27994,4652,2857,-
"동부","계","40~44",359437,78728,34296,16913,11769,10289,8879,6040,730,32685,17440,12350,18794,23400,29344,27137,23798,4129,2716,-
"동부","계","45~49",390531,78646,32734,16972,10984,10330,8620,4343,875,32237,20674,15809,23155,29319,35686,33128,28353,4957,3709,-
"동부","계","50~54",393310,61988,27118,15620,10732,9002,7796,3653,968,32924,24385,17930,25817,31958,42591,38211,33359,4928,4330,-
"동부","계","55~59",413826,51525,24436,15958,11154,9263,7578,3639,1082,35261,25011,21608,31147,35079,47842,45753,38674,4478,4338,-
"동부","계","60~64",440021,50771,28371,16459,12105,9910,8295,4302,1128,36924,24994,22868,33483,36778,50423,50564,44400,4691,3555,-
"동부","계","65~69",342070,33275,22918,13375,8528,7051,5872,3645,822,27057,16670,17638,26613,29758,40394,42438,40192,3081,2743,-
"동부","계","70~74",278118,26772,13601,9798,6605,5726,4386,2840,705,21018,12081,13061,21821,27406,35736,34770,32788,2804,6200,-
"동부","계","75세 이상",518551,41847,18087,16362,11000,10059,7734,5950,1115,41927,27409,27149,40497,44032,58333,66976,57231,5149,37694,-
"동부","남자","합계",2630040,447531,206618,128453,92924,77850,71193,50015,5155,286465,122239,105204,144698,180536,218297,227369,212978,30138,22377,-
"동부","남자","20세 미만",27897,3237,1569,1680,991,896,1731,814,52,4188,991,1275,1683,1800,1875,2295,2079,534,207,-
"동부","남자","20~24",186078,26017,13355,10501,8172,7155,7590,6274,383,27740,8235,7307,8673,10125,10106,15302,15204,2988,951,-
"동부","남자","25~29",377922,68827,32220,24430,17566,14591,13927,11644,564,55835,13625,12585,14159,18121,18162,25945,28753,5094,1874,-
"동부","남자","30~34",341893,72415,31946,20286,15033,11880,10986,9369,538,47971,12544,10942,12043,16653,17102,22824,24029,3474,1858,-
"동부","남자","35~39",270189,61723,25955,14593,10484,8645,7434,5443,445,29609,11432,9044,11875,15630,17293,18616,17984,2753,1231,-
"동부","남자","40~44",223989,47547,21469,10313,7293,6413,5537,3865,421,20538,11116,7939,11585,14813,19138,17075,15248,2518,1161,-
