"행정구역별(시군구)","연령별",2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"면부","30~34",24667,18368,6299,24827,18563,6264,25464,19157,6307,24534,18394,6140,24859,18601,6258,26896,19929,6967,30488,22352,8136
"면부","35~39",23479,17610,5869,23827,17929,5898,25688,19358,6330,25701,19356,6345,25403,19091,6312,25800,19320,6480,26560,19745,6815
"면부","40~44",29439,22012,7427,28295,21177,7118,28281,21054,7227,26868,19859,7009,26211,19328,6883,27315,20213,7102,29209,21576,7633
"면부","45~49",37387,26679,10708,38140,26972,11168,39551,28203,11348,38244,27475,10769,37099,26582,10517,37741,27093,10648,37310,26779,10531
"면부","50~54",48588,31646,16942,49060,32331,16729,49546,32731,16815,50281,33340,16941,50676,33960,16716,52358,35490,16868,55142,37269,17873
"면부","55~59",57636,33040,24596,63297,37096,26201,67863,40322,27541,68676,41606,27070,67626,41635,25991,69076,43468,25608,70191,45040,25151
"면부","60~64",51559,25233,26326,59184,30307,28877,63951,33668,30283,69512,37725,31787,73256,40469,32787,80111,45487,34624,89398,51653,37745
"면부","65~69",52860,20000,32860,56224,22344,33880,58803,24744,34059,59346,26066,33280,60995,28064,32931,67413,32203,35210,76842,38354,38488
"면부","70~74",67646,16982,50664,64282,17456,46826,60670,17731,42939,60041,18932,41109,60484,20404,40080,63054,22040,41014,67019,24470,42549
"면부","75~79",79121,15077,64044,80151,15990,64161,83241,16897,66344,81132,16837,64295,76637,16547,60090,73722,16183,57539,71266,16631,54635
"면부","80~84",62088,9732,52356,66040,10963,55077,69003,11840,57163,70809,12359,58450,72521,12822,59699,72492,12840,59652,75878,13518,62360
"면부","85세 이상",38022,5922,32100,40903,6260,34643,44084,6942,37142,47791,7639,40152,52505,8542,43963,56538,9120,47418,64256,10491,53765
"동부","합계",4124961,2081711,2043250,4263203,2129828,2133375,4441773,2219087,2222686,4624432,2303506,2320926,4897539,2434488,2463051,5300490,2629923,2670567,5729024,2853580,2875444
"동부","20세 미만",49289,23287,26002,52223,24763,27460,50769,23616,27153,47982,21937,26045,49975,23399,26576,61456,27983,33473,44337,20107,24230
"동부","20~24",314019,146123,167896,333040,152894,180146,338243,151631,186612,346419,151121,195298,377549,164955,212594,424759,180994,243765,428391,182243,246148
"동부","25~29",459619,263502,196117,473103,269530,203573,501773,286747,215026,545672,309059,236613,610709,340343,270366,689878,375809,314069,775343,417545,357798
"동부","30~34",472495,295334,177161,458206,286309,171897,454424,284678,169746,459027,287100,171927,488990,305648,183342,545181,341012,204169,621270,386287,234983
"동부","35~39",364460,229997,134463,371562,233670,137892,389779,244593,145186,405371,255195,150176,414913,261066,153847,429101,270059,159042,450260,284073,166187
"동부","40~44",363926,230361,133565,346097,217027,129070,344073,214803,129270,336171,209769,126402,338228,210434,127794,359236,223750,135486,393203,245835,147368
"동부","45~49",347093,214273,132820,356952,217286,139666,374030,228637,145393,381052,232754,148298,386916,236149,150767,390895,239991,150904,395631,243520,152111
"동부","50~54",342002,196454,145548,339553,195853,143700,343232,199075,144157,354178,206486,147692,371784,216980,154804,393104,231987,161117,428897,253841,175056
"동부","55~59",347438,170533,176905,372234,183495,188739,394554,198073,196481,401922,204023,197899,406195,209640,196555,415006,218338,196668,428140,229377,198763
"동부","60~64",269862,112212,157650,309829,130676,179153,339681,145537,194144,376098,164328,211770,405768,177493,228275,441772,195826,245946,490282,221055,269227
"동부","65~69",230970,78717,152253,247426,85701,161725,265889,95081,170808,278334,100333,178001,300258,110900,189358,344784,129407,215377,398935,153529,245406
"동부","70~74",209512,54312,155200,214840,57806,157034,221540,61625,159915,237297,68363,168934,256540,76131,180409,280285,84394,195891,303279,93408,209871
"동부","75~79",177578,36763,140815,191055,40994,150061,210932,46595,164337,221296,49787,171509,229354,52206,177148,238502,55224,183278,248018,59309,188709
"동부","80~84",112645,19181,93464,124851,21910,102941,134875,24909,109966,147278,27910,119368,162069,31336,130733,174607,34370,140237,193567,39106,154461
"동부","85세 이상",64053,10662,53391,72232,11914,60318,77979,13487,64492,86335,15341,70994,98291,17808,80483,111924,20779,91145,129471,24345,105126
"서울특별시","합계",1115744,544059,571685,1138860,544607,594253,1180540,561524,619016,1229421,581944,647477,1299787,611561,688226,1390701,650999,739702,1489893,698324,791569
"서울특별시","20세 미만",13721,5604,8117,14937,6174,8763,14190,5769,8421,14487,5629,8858,12806,5010,7796,14185,5345,8840,10687,4021,6666
"서울특별시","20~24",93068,37155,55913,101069,39091,61978,103451,38633,64818,109213,39816,69397,116592,41263,75329,123990,42602,81388,126833,43490,83343
"서울특별시","25~29",165410,84013,81397,169534,84947,84587,179568,90451,89117,195284,97792,97492,216707,106618,110089,238517,114318,124199,263071,124539,138532
"서울특별시","30~34",157667,89993,67674,152434,85936,66498,152797,85828,66969,155740,87035,68705,166340,92561,73779,183573,102247,81326,204717,113310,91407
"서울특별시","35~39",105540,60969,44571,107045,60794,46251,112945,63595,49350,118254,66348,51906,121980,68322,53658,126485,70540,55945,131942,73811,58131
"서울특별시","40~44",94750,56732,38018,88976,52144,36832,87540,50156,37384,84910,48293,36617,85728,48156,37572,91518,51144,40374,99293,55555,43738
"서울특별시","45~49",82138,50215,31923,83763,50151,33612,87497,51922,35575,88852,52190,36662,90140,52545,37595,90186,52330,37856,89640,51706,37934
"서울특별시","50~54",77390,45825,31565,74817,43972,30845,73980,43351,30629,75442,44348,31094,78665,46217,32448,82704,48793,33911,89413,52407,37006
"서울특별시","55~59",77679,38696,38983,79744,39741,40003,83472,42590,40882,83433,43292,40141,84285,44855,39430,84976,46352,38624,86500,47858,38642
"서울특별시","60~64",62250,26040,36210,70085,29683,40402,75860,32292,43568,82818,35991,46827,88456,38575,49881,94834,42318,52516,102413,46587,55826
"서울특별시","65~69",56374,19525,36849,58448,20312,38136,61577,22070,39507,63468,22888,40580,67696,25180,42516,77047,28985,48062,88494,34324,54170
"서울특별시","70~74",50095,13667,36428,51275,14274,37001,52768,14973,37795,56393,16656,39737,61035,18463,42572,65469,20181,45288,69402,21800,47602
"서울특별시","75~79",39946,8777,31169,43075,9731,33344,47620,11185,36435,49529,11828,37701,51747,12486,39261,54109,13245,40864,57061,14397,42664
"서울특별시","80~84",24674,4257,20417,27040,4860,22180,29344,5553,23791,31917,6298,25619,35227,7167,28060,37968,7863,30105,42020,8983,33037
"서울특별시","85세 이상",15042,2591,12451,16618,2797,13821,17931,3156,14775,19681,3540,16141,22383,4143,18240,25140,4736,20404,28407,5536,22871
"부산광역시","합계",361749,164617,197132,372412,168035,204377,388899,176932,211967,404408,183579,220829,423227,191796,231431,455207,206311,248896,487362,222040,265322
"부산광역시","20세 미만",4850,2279,2571,4624,2087,2537,4491,1976,2515,4460,2026,2434,4781,2272,2509,4873,2210,2663,3274,1421,1853
"부산광역시","20~24",29487,13332,16155,29404,12876,16528,28923,12569,16354,30068,12843,17225,32388,13845,18543,36543,15362,21181,36967,15261,21706
"부산광역시","25~29",29500,17023,12477,31123,17597,13526,34377,19381,14996,37510,20754,16756,41339,22413,18926,46740,24621,22119,53212,27603,25609
"부산광역시","30~34",27535,16642,10893,26751,16192,10559,27527,16842,10685,27764,16849,10915,29525,17794,11731,33655,20296,13359,39647,23882,15765
"부산광역시","35~39",22796,13855,8941,23682,14303,9379,25570,15613,9957,26476,16236,10240,26674,16279,10395,27809,16917,10892,28877,17613,11264
"부산광역시","40~44",25034,15258,9776,23549,14152,9397,23265,13962,9303,22776,13858,8918,22725,13804,8921,24544,15010,9534,27218,16675,10543
"부산광역시","45~49",26775,16137,10638,27378,16319,11059,28325,16950,11375,28513,16972,11541,28559,16921,11638,28650,16979,11671,28461,16909,11552
"부산광역시","50~54",29567,16551,13016,28825,16382,12443,28755,16451,12304,29232,16797,12435,30209,17447,12762,31838,18453,13385,33971,19704,14267
"부산광역시","55~59",36492,17222,19270,37902,18001,19901,38919,18885,20034,38461,18893,19568,37779,18909,18870,37611,19225,18386,37536,19675,17861
"부산광역시","60~64",32662,12958,19704,36297,14707,21590,39356,16180,23176,42559,17880,24679,44513,18714,25799,46987,20026,26961,50051,21576,28475
"부산광역시","65~69",28529,9297,19232,30706,10198,20508,32906,11258,21648,34236,11884,22352,36399,13056,23343,41298,15015,26283,46192,17234,28958
"부산광역시","70~74",25997,6409,19588,26085,6779,19306,27062,7279,19783,29071,8054,21017,31214,8830,22384,34080,9789,24291,36853,10800,26053
"부산광역시","75~79",22059,4386,17673,23648,4841,18807,25621,5436,20185,27162,5807,21355,27926,6147,21779,28761,6395,22366,29123,6723,22400
"부산광역시","80~84",13465,2194,11271,14663,2403,12260,15625,2776,12849,17139,3135,14004,18886,3493,15393,20250,3872,16378,22651,4490,18161
"부산광역시","85세 이상",7001,1074,5927,7775,1198,6577,8177,1374,6803,8981,1591,7390,10310,1872,8438,11568,2141,9427,13329,2474,10855
"대구광역시","합계",239517,112180,127337,247444,114434,133010,259525,119917,139608,269903,124823,145080,284416,131500,152916,304543,140952,163591,326866,152723,174143
"대구광역시","20세 미만",3080,1454,1626,2828,1235,1593,2879,1216,1663,2682,1183,1499,3693,1651,2042,2757,1219,1538,2039,905,1134
"대구광역시","20~24",18000,8460,9540,17048,7742,9306,17609,7733,9876,18057,7815,10242,20916,9273,11643,21684,9202,12482,22083,9598,12485
"대구광역시","25~29",20032,12027,8005,20391,12055,8336,22684,13272,9412,25076,14470,10606,27730,15620,12110,31704,17456,14248,35514,19419,16095
"대구광역시","30~34",20640,12699,7941,20165,12720,7445,19984,12711,7273,20153,13000,7153,21138,13678,7460,23990,15489,8501,27563,17687,9876
"대구광역시","35~39",17533,10948,6585,17710,11053,6657,18494,11488,7006,19056,11962,7094,19196,12020,7176,19702,12459,7243,20654,13353,7301
"대구광역시","40~44",19866,12530,7336,18730,11613,7117,18292,11255,7037,17640,10895,6745,17148,10527,6621,18143,11244,6899,19357,11959,7398
"대구광역시","45~49",20549,12618,7931,21125,12682,8443,21696,12992,8704,21914,13016,8898,21858,13102,8756,21874,13208,8666,21873,13274,8599
"대구광역시","50~54",21342,11659,9683,21238,11750,9488,21695,12208,9487,22346,12703,9643,22983,13068,9915,24351,13982,10369,26009,14920,11089
