"동부","남자","85세 이상",20541,-,-,-,1113,7882,11436,110
"동부","여자","합계",2671072,729873,134872,689242,35940,570865,498154,12126
"동부","여자","20세 미만",33569,4674,27574,-,-,1103,201,17
"동부","여자","20~24",248837,95713,94144,46212,-,9976,2429,363
"동부","여자","25~29",315132,204754,10780,83153,-,12323,3309,813
"동부","여자","30~34",204497,120129,1498,67411,591,11161,3015,692
"동부","여자","35~39",159234,76152,505,65568,1091,11564,3447,907
"동부","여자","40~44",135448,53400,188,62543,1551,12731,4039,996
"동부","여자","45~49",150873,48670,110,67465,2148,24306,6790,1384
"동부","여자","50~54",161804,40863,25,62462,2654,43159,11220,1421
"동부","여자","55~59",196760,35161,23,62114,3823,69396,24463,1780
"동부","여자","60~64",245899,27852,11,67141,4492,90339,54841,1223
"동부","여자","65~69",214612,12623,6,50431,4087,74124,72334,1007
"동부","여자","70~74",194691,5951,8,34388,3590,62179,88056,519
"동부","여자","75~79",181119,3466,-,20354,4200,57539,95080,480
"동부","여자","80~84",138252,465,-,-,3515,56362,77640,270
"동부","여자","85세 이상",90345,-,-,-,4198,34603,51290,254
"읍부","계","합계",621763,230878,23148,127517,11223,110884,114923,3190
"읍부","계","20세 미만",5825,1122,4507,-,-,146,44,6
"읍부","계","20~24",36941,13957,15287,5181,-,1824,571,121
"읍부","계","25~29",53548,37871,2847,9918,-,2012,849,51
"읍부","계","30~34",46687,32115,394,10767,119,2242,837,213
"읍부","계","35~39",42967,26432,69,12205,290,2521,1228,222
"읍부","계","40~44",40869,23590,14,12120,442,3014,1353,336
"읍부","계","45~49",48917,25519,10,14253,651,5646,2379,459
"읍부","계","50~54",53380,24064,-,14972,1047,9104,3779,414
"읍부","계","55~59",57796,21174,20,14372,1513,13999,6312,406
"읍부","계","60~64",58737,14524,-,14793,1889,15958,11230,343
"읍부","계","65~69",45559,6436,-,9770,1437,13061,14614,241
"읍부","계","70~74",38714,2749,-,6148,1266,11412,16940,199
"읍부","계","75~79",37780,1158,-,3018,999,11420,21091,94
"읍부","계","80~84",31797,167,-,-,847,11143,19584,56
"읍부","계","85세 이상",22246,-,-,-,723,7382,14112,29
"읍부","남자","합계",328440,165110,13089,73970,5809,39858,28643,1961
"읍부","남자","20세 미만",3128,657,2348,-,-,106,11,6
"읍부","남자","20~24",19218,7262,8205,2388,-,966,326,71
"읍부","남자","25~29",34988,25237,2203,5683,-,1325,504,36
"읍부","남자","30~34",33498,24004,283,6997,57,1438,605,114
"읍부","남자","35~39",31358,20522,42,8048,206,1498,893,149
"읍부","남자","40~44",28807,18340,8,7402,271,1646,887,253
"읍부","남자","45~49",32675,19075,-,8466,380,2842,1620,292
"읍부","남자","50~54",33593,17852,-,9070,612,3620,2171,268
"읍부","남자","55~59",32841,14977,-,8198,965,5827,2622,252
"읍부","남자","60~64",29343,10263,-,8234,1185,6307,3134,220
"읍부","남자","65~69",18761,4461,-,5232,827,4629,3483,129
"읍부","남자","70~74",12493,1796,-,3054,560,3544,3450,89
"읍부","남자","75~79",8195,575,-,1198,405,2609,3351,57
"읍부","남자","80~84",5883,89,-,-,197,2309,3278,10
"읍부","남자","85세 이상",3659,-,-,-,144,1192,2308,15
"읍부","여자","합계",293323,65768,10059,53547,5414,71026,86280,1229
"읍부","여자","20세 미만",2697,465,2159,-,-,40,33,-
"읍부","여자","20~24",17723,6695,7082,2793,-,858,245,50
"읍부","여자","25~29",18560,12634,644,4235,-,687,345,15
"읍부","여자","30~34",13189,8111,111,3770,62,804,232,99
"읍부","여자","35~39",11609,5910,27,4157,84,1023,335,73
"읍부","여자","40~44",12062,5250,6,4718,171,1368,466,83
"읍부","여자","45~49",16242,6444,10,5787,271,2804,759,167
"읍부","여자","50~54",19787,6212,-,5902,435,5484,1608,146
"읍부","여자","55~59",24955,6197,20,6174,548,8172,3690,154
"읍부","여자","60~64",29394,4261,-,6559,704,9651,8096,123
"읍부","여자","65~69",26798,1975,-,4538,610,8432,11131,112
"읍부","여자","70~74",26221,953,-,3094,706,7868,13490,110
"읍부","여자","75~79",29585,583,-,1820,594,8811,17740,37
"읍부","여자","80~84",25914,78,-,-,650,8834,16306,46
"읍부","여자","85세 이상",18587,-,-,-,579,6190,11804,14
"면부","계","합계",720479,182321,17051,107962,21498,158490,229212,3945
"면부","계","20세 미만",4828,794,3921,-,-,84,29,-
"면부","계","20~24",24263,8944,11550,2288,-,1191,269,21
"면부","계","25~29",28508,20622,1390,4613,-,1241,554,88
"면부","계","30~34",25239,17976,128,5098,144,1243,550,100
"면부","계","35~39",24637,15496,27,6166,278,1667,830,173
"면부","계","40~44",26951,15949,15,6539,522,2480,1199,247
