"가구원수별","가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4
"가구원수별","가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"전체 평균","02.주류 · 담배",36489,40141,31592,35550,38418,31297,37370,39618,34152,33809,35844,30831,34436,37191,30735,38889,42192,34455,40230,44093,34798,36448,40381,30826,36499,41362,30104,39512,43494,33657,42376,45398,37930,37811,41271,32825,36279,39535,31669,38346,42032,32877,42052,46244,35598,39413,42016,35238
"전체 평균","03.의류 · 신발",134719,160770,99787,144409,169193,107658,111399,128978,86236,163304,186919,128743,97489,115958,72682,134561,159074,101646,96306,112780,73142,143790,168008,109173,106509,126516,80199,128920,148467,100177,105894,122581,81340,161273,184455,127876,112625,132673,84247,144980,162617,118816,122077,141979,91437,163875,188970,123634
"전체 평균","04.주거 · 수도 · 광열",321450,330405,309441,265155,273763,252392,250660,251967,248790,273103,285924,254340,318010,324103,309827,283702,292638,271702,263000,278142,241708,279471,289037,265799,339681,354324,320424,305945,321031,283761,269469,279364,254909,279023,284941,270497,347599,359985,330069,295947,299020,291388,268742,270369,266237,295824,298757,291120
"전체 평균","05.가정용품 · 가사서비스",118167,135217,95303,118880,124717,110227,109794,123501,90174,116087,129208,96883,103958,119463,83132,143076,156848,124583,130945,138985,119639,127864,139889,110676,118656,137461,93926,133004,157018,97692,140309,152854,121850,129290,140378,113316,106280,118496,88988,120479,129638,106894,127566,126145,129753,114446,120895,104105
"전체 평균","06.보건",207099,204393,210729,197888,195624,201244,195754,186202,209425,208402,208198,208701,224818,228638,219688,211678,205859,219493,216218,209824,225209,229094,229277,228833,214730,215778,213352,234101,243629,220091,223178,225445,219842,233248,222914,248135,230818,227648,235305,239971,231064,253185,227314,221118,236852,231286,224995,241374
"전체 평균","07.교통",285307,331389,223514,265880,311323,198497,307792,376903,208867,323291,380344,239789,278881,304604,244329,297292,338484,241980,271294,300463,230282,305879,355940,234324,270775,315574,211863,295996,330693,244976,287161,336668,214317,296148,339432,233793,278347,317141,223435,330965,391919,240541,311724,334289,276986,344681,383024,283196
"전체 평균","08.통신",117159,129726,100308,122189,131054,109042,124483,136818,106827,128299,138456,113433,118363,129644,103209,117103,126288,104770,124036,135165,108388,119958,132500,102031,120094,130660,106199,118830,131655,99971,127767,140687,108757,128467,140786,110721,121676,133537,104887,123161,132894,108723,131373,141950,115090,134917,148930,112447
"전체 평균","09.오락 · 문화",195295,229221,149803,178765,200009,147264,185039,211652,146945,163452,192971,120249,151646,175595,119477,141346,164617,110098,136496,156432,108466,129506,155029,93024,137391,163598,102927,147101,166327,118830,141510,162333,110871,143778,166543,110981,143824,169643,107278,176256,198637,143055,180949,200971,150124,172561,182470,156671
"전체 평균","10.교육",258482,325286,168901,165121,211361,96555,243397,301379,160401,153169,192019,96309,187560,241597,114975,114338,148177,68900,206918,256021,137878,127438,160450,80253,202477,246068,145153,149886,186251,96414,221198,271904,146590,153735,192198,98325,229823,286537,149548,166451,200137,116478,239347,288451,163751,175683,219636,105202
"전체 평균","11.음식 · 숙박",335250,410359,234534,343207,406470,249399,354046,419879,259812,349821,414047,255823,299615,364413,212575,332287,394988,248092,335402,396079,250088,309449,366783,227498,292485,357212,207366,343397,404758,253169,352921,412884,264692,361915,426300,269161,333221,399526,239371,401937,463375,310793,433731,498223,334446,414746,476975,314960
"전체 평균","12.기타상품 · 서비스",204617,233624,165720,211186,230761,182160,200007,221448,169317,209164,231028,177165,206690,226585,179965,206759,223994,183616,198641,216594,173397,204260,216710,186464,195033,216217,167175,207128,227376,177353,202353,223569,171137,218632,240302,187412,202834,230568,163578,216333,225567,202636,210852,228945,182999,210438,227972,182321
"전체 평균","비소비지출",913833,1150909,595926,834284,1038281,531794,918894,1119039,632404,823192,1000039,564363,884553,1118525,570270,796425,990053,536425,857846,1060016,573585,819889,1013396,543300,872915,1120350,547529,833200,1050157,514177,955665,1177852,628748,859005,1077584,544112,964606,1228715,590776,888228,1106455,564490,1018368,1211632,720841,928166,1147407,576609
"전체 평균","처분가능소득",3358077,4068849,2404967,3334581,3852559,2566512,3383085,3890712,2656464,3461781,3834191,2916733,3481518,4157967,2572876,3518960,4042757,2815612,3519456,4022225,2812541,3541834,3914748,3008808,3510898,4169688,2644565,3453761,3961851,2706643,3773240,4283080,3023080,3783306,4191279,3195568,3860431,4440755,3039020,3942833,4173246,3601017,3850299,4298408,3160441,3905409,4316724,3245854
"전체 평균","흑자액",813159,1192180,304909,977487,1237122,592495,915308,1139800,593968,997240,1095714,853115,1101941,1510772,552779,1133956,1412294,760207,1093041,1364075,711957,1134224,1267770,943339,1092195,1472496,592085,978682,1217409,627648,1229077,1471377,872566,1236466,1413939,980793,1329123,1629632,903772,1323431,1330292,1313253,1147954,1390791,774109,1208578,1407373,889807
"전체 평균","흑자율 (%)",24.2,29.3,12.7,29.3,32.1,23.1,27.1,29.3,22.4,28.8,28.6,29.2,31.7,36.3,21.5,32.2,34.9,27.0,31.1,33.9,25.3,32.0,32.4,31.4,31.1,35.3,22.4,28.3,30.7,23.2,32.6,34.4,28.9,32.7,33.7,30.7,34.4,36.7,29.7,33.6,31.9,36.5,29.8,32.4,24.5,30.9,32.6,27.4
"전체 평균","평균소비성향 (%)",75.8,70.7,87.3,70.7,67.9,76.9,72.9,70.7,77.6,71.2,71.4,70.8,68.3,63.7,78.5,67.8,65.1,73.0,68.9,66.1,74.7,68.0,67.6,68.6,68.9,64.7,77.6,71.7,69.3,76.8,67.4,65.6,71.1,67.3,66.3,69.3,65.6,63.3,70.3,66.4,68.1,63.5,70.2,67.6,75.5,69.1,67.4,72.6
"1인","가구원수 (명)",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"1인","가구주연령 (세)",50.24,41.99,59.17,50.08,43.38,58.28,50.07,43.55,57.98,50.28,43.56,58.63,50.40,43.36,59.22,50.34,43.71,58.63,50.60,43.61,59.72,50.55,44.03,59.21,51.11,43.88,60.23,50.89,45.37,58.63,50.59,44.61,59.25,50.61,44.44,59.36,49.73,42.94,59.08,49.85,43.83,58.56,49.71,43.87,58.45,49.59,43.46,58.80
"1인","가구분포 (%)",29.17,26.46,32.80,29.35,27.04,32.77,29.16,27.17,32.01,29.15,27.19,32.03,29.65,28.75,30.87,29.68,28.76,30.90,29.75,28.83,31.03,29.75,28.85,31.03,30.24,29.68,30.97,30.27,29.70,31.11,30.27,30.05,30.59,30.29,30.09,30.59,31.75,31.41,32.23,31.75,31.42,32.23,31.75,31.39,32.30,31.75,30.95,33.02
"1인","소득",2407648,3167443,1585811,2361746,2989643,1593391,2290356,2939179,1502138,2254577,2868134,1492281,2295401,2991933,1423946,2305677,2947290,1503699,2365787,3039003,1486382,2294730,2885134,1509942,2473262,3295805,1436406,2424039,3061706,1528932,2644641,3255947,1760953,2538700,3110166,1728689,2725847,3373824,1832029,2805444,3218095,2208621,2851084,3381495,2057585,2715204,3313821,1815259
"1인","경상소득",2341772,3117968,1502194,2328837,2966462,1548580,2261634,2918599,1463524,2203310,2816637,1441299,2272118,2965726,1404323,2281683,2925237,1477280,2318958,3001280,1427658,2263483,2864819,1464164,2431501,3248052,1402199,2387650,3013571,1509029,2606731,3221751,1717675,2472083,3029941,1681360,2683991,3340172,1778856,2755259,3167472,2159068,2814393,3356510,2003382,2654433,3257613,1747629
"1인","근로소득",1480923,2787653,67489,1456926,2603936,53338,1437108,2588114,38817,1407838,2503791,46203,1504100,2678075,35302,1416992,2534200,20549,1557053,2717165,41629,1519848,2619274,58449,1655717,2939971,36853,1607323,2728275,33816,1695098,2848895,27202,1625679,2745229,38797,1784001,3032060,62428,1716660,2857631,66453,1827651,3032417,25310,1795261,2963440,39052
"1인","사업소득",378508,36717,748209,394789,39054,830101,364478,45680,751767,374970,44446,785620,328651,23373,710596,300802,30805,638282,309608,35917,667124,317826,41386,685280,275188,37741,574501,311593,26446,711861,342158,35956,784793,404418,58667,894495,359492,29572,814584,426988,31291,999291,485442,39124,1153138,418258,59752,957226
"1인","재산소득",18913,23835,13589,62289,100382,15674,11351,10817,11999,15423,11870,19837,15796,14637,17246,10657,7196,14984,12819,7886,19262,12476,7496,19096,11476,4769,19930,21945,19842,24897,12663,11084,14944,14068,10866,18607,11460,5958,19051,16579,12012,23185,23079,25463,19513,13693,12274,15825
"1인","이전소득",463428,269763,672907,414833,223090,649467,448697,273988,660941,405079,256529,589639,423571,249641,641180,553233,353036,803466,439478,240312,699643,413333,196663,701339,489121,265571,770915,446788,239008,738454,556813,325815,890736,427919,215179,729462,529037,272582,882792,595032,266537,1070140,478221,259506,805421,427222,222147,735527
"1인","비경상소득",65876,49475,83617,32908,23182,44811,28722,20580,38615,51267,51497,50982,23282,26207,19623,23993,22053,26419,46829,37723,58724,31247,20315,45778,41761,47753,34207,36390,48135,19903,37910,34197,43278,66617,80225,47329,41856,33652,53174,50185,50623,49552,36691,24985,54203,60771,56208,67630
